Date,CountryName_x,CountryCode_x,Jurisdiction,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,Daily_cases,like_index,retweet_index,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),Daily_cases_previous,Daily_cases_next
1/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0.0,,,,,
2/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0.0,,,,,
3/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0.0,,,,,
4/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0.0,,,,,
5/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0.0,,,,,
6/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0.0,,,,,
7/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
9/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
10/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
11/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
12/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
13/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
14/1/2020,Brazil,BRA,NAT_TOTAL,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0.0,0.0
15/1/2020,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
