,username,retweets,likes,text,hashtags,time
0,COVIDNewsByMIB,6,18,"#IndiaFightsCorona

📍कोविड अनुरूप व्यवहारों को अपनाएंगे, देश को कोरोना मुक्त बनाएंगे

➡️मास्क पहनें
➡️दूसरों से उचित दूरी बनाए रखें
➡️साबुन से हाथ धोएं
➡️भीड़ भाड़ से बचें

✅बदलकर अपना व्यवहार, करें कोरोना पर वार

सफाई भी, दवाई भी, कड़ाई भी
जीतेंगे कोरोना से लड़ाई भी

#StaySafe https://t.co/2GWOAxchKY","['IndiaFightsCorona', 'StaySafe']",2021-09-15 16:37:23
1,COVIDNewsByMIB,5,17,"#IndiaFightsCorona:

📍Children and Psychosocial Health

➡️It is important for the parents or guardians to provide a cheerful environment to children

➡️Involve children in some form of physical activity at home

➡️Create an environment for mental activity &amp; creativity

#StaySafe https://t.co/ohmPoK90p0","['IndiaFightsCorona', 'StaySafe']",2021-09-15 16:12:10
2,COVIDNewsByMIB,6,17,"#IndiaFightsCorona:

𝙄𝙣 𝙨𝙚𝙖𝙧𝙘𝙝 𝙤𝙛 𝙂𝙤𝙡𝙙

𝙒𝙚 𝙨𝙝𝙤𝙪𝙡𝙙 𝙣𝙤𝙩 𝙡𝙤𝙨𝙚 𝘿𝙞𝙖𝙢𝙤𝙣𝙙𝙨 

2 Gaz Doori, Mask Hai Zaroori 😷

#StaySafe #Unite2FightCorona https://t.co/zBW3iBTOpH","['IndiaFightsCorona', 'StaySafe', 'Unite2FightCorona']",2021-09-15 15:54:42
3,COVIDNewsByMIB,10,28,"#IndiaFightsCorona:

➡️ India's Cumulative Vaccination Coverage crosses 76 Cr landmark milestone.

➡️ More than 57 lakh Vaccine Doses administered today till 7 pm.

Details: https://t.co/UJy17NiVh4

#Unite2FightCorona
#LargestVaccinationDrive https://t.co/PDOVCP1PID","['IndiaFightsCorona', 'Unite2FightCorona', 'LargestVaccinationDrive']",2021-09-15 15:23:29
4,COVIDNewsByMIB,2,6,"#IndiaFightsCorona:

➡️Maintain #COVID Appropriate Behaviour

❌Do Not lower your guard!

✅Wear Double Masks
✅Wash Hands with Soap Often
✅Keep Your Home Well Ventilated 
✅Maintain #PhysicalDistancing 

#Unite2FightCorona #StaySafe https://t.co/ITATg6OCBg","['IndiaFightsCorona', 'COVID', 'PhysicalDistancing', 'Unite2FightCorona', 'StaySafe']",2021-09-15 14:57:57
5,COVIDNewsByMIB,7,24,"#IndiaFightsCorona:

➡️ Doctor, I have tested positive for #COVID19, can I get vaccinated now❓❓❓

✅ No Rajat, you should take the vaccine at least 3 months after recovery from COVID.

#Unite2FightCorona 
#StaySafeStayHealthy https://t.co/m0LyU85MMH","['IndiaFightsCorona', 'COVID19', 'Unite2FightCorona', 'StaySafeStayHealthy']",2021-09-15 14:19:19
6,COVIDNewsByMIB,16,25,"#IndiaFightsCorona

📍किसी भी कोविड–19 वैक्सीन को लगवाने के 20 दिनों के भीतर होने वाले लक्षणों पर तत्काल ध्यान देने की आवश्यकता है

✅सांस की तकलीफ
✅छाती में दर्द
✅उल्टी होना या लगातार पेट दर्द होना
✅धुंधला दिखाई देना
✅तेज़ या लगातार सिरदर्द

#StaySafe https://t.co/LFmsL99biW","['IndiaFightsCorona', 'StaySafe']",2021-09-15 13:55:05
7,COVIDNewsByMIB,8,12,"#IndiaFightsCorona:

📍FAQs during #COVID19Pandemic

☑️What should I do if a family member has tested #COVID19 positive❓❓

➡️Other family members should get themselves tested for COVID-19 and take all protective measures 👇

#Unite2FightCorona 
#StaySafe https://t.co/3Uqlo32j1U","['IndiaFightsCorona', 'COVID19Pandemic', 'COVID19', 'Unite2FightCorona', 'StaySafe']",2021-09-15 13:26:53
8,COVIDNewsByMIB,17,48,"#IndiaFightsCorona:

☑️ Cleanliness
☑️ Vaccination
☑️ Strictness
Will help you win the fight against #COVID19

""𝑺𝒂𝒇𝒂𝒊 𝒃𝒉𝒊, 𝑫𝒂𝒘𝒂𝒊 𝒃𝒉𝒊, 𝑲𝒂𝒅𝒂𝒊 𝒃𝒉𝒊
𝑱𝒆𝒆𝒕𝒆𝒏𝒈𝒆 𝒄𝒐𝒓𝒐𝒏𝒂 𝒔𝒆 𝑳𝒂𝒅𝒂𝒊 𝒃𝒉𝒊""

#Unite2FightCorona https://t.co/to2z5cQuLO","['IndiaFightsCorona', 'COVID19', 'Unite2FightCorona']",2021-09-15 13:01:28
9,COVIDNewsByMIB,14,33,"#IndiaFightsCorona

📍टीका ही सुरक्षा कवच है

कोरोना की बीमारी एक सच्चाई है
वैक्सीन लगवाने में ही भलाई है

सफाई भी, दवाई भी, कड़ाई भी
जीतेंगे कोरोना से लड़ाई भी

#Unite2FightCorona
#StaySafe

@MoHFW_INDIA @mansukhmandviya @mopr_goi @MoRD_GOI @ianuragthakur https://t.co/8xyFP0ejJq","['IndiaFightsCorona', 'Unite2FightCorona', 'StaySafe']",2021-09-15 12:24:00
