,username,retweets,likes,text,hashtags,time
9,GobiernoMX,80,224,"La @SSalud_mx informa que continúa la reducción de la epidemia de #COVID19 en todo el país. 

Reiteramos que vacunarse salva vidas, ya que el 95% de los casos activos de enfermedad grave y hospitalización corresponde a personas no protegidas. https://t.co/E4DJFG5U5A",['COVID19'],2021-09-15 01:40:00
12,GobiernoMX,66,187,"Hoy concluye la vacunación contra #COVID19, con segundas dosis, en los 45 municipios de la frontera norte del país. En total, se habrán aplicado 3.8 millones de dosis. 

Mantenemos firme el compromiso de proteger al 100% de la población adulta, aun con una dosis, en octubre. https://t.co/Ki2AdMrckN",['COVID19'],2021-09-14 22:40:00
50,GobiernoMX,108,285,"El presidente @lopezobrador_ señaló que es un buen presupuesto el presentado ayer al Congreso en el #PaqueteEconómico2022, ya que permitirá al Ejecutivo tener ingresos para financiar obras y programas sociales de bienestar, sin aumentar deuda ni impuestos. https://t.co/uWK1CAbwDq",['PaqueteEconómico2022'],2021-09-10 01:30:00
79,GobiernoMX,56,132,"El Director General del @Tu_IMSS, @zoerobledo confirmó que son 16 pacientes fallecidos y se rescató con vida a un enfermo de covid de 84 años de edad.
De igual forma, agradecemos el apoyo a la @GN_MEXICO_ y los rescatistas del @GobCDMX.
Sigamos los protocolos de protección civil.",[],2021-09-08 00:51:07
82,GobiernoMX,225,545,"No se descarta la vacunación contra #COVID19 de personas de 16 y 17 años, una vez que concluya el proceso de inmunización de adultos este 31 de octubre. 

En su momento, y sólo con base en evidencia científica, se podrá considerar la vacunación en personas de 15 años o menores. https://t.co/h1q3WzVCOd",['COVID19'],2021-09-07 23:20:00
95,GobiernoMX,63,148,"La @Profeco informa el #QuiénEsQuién en los precios promedio nacionales de las gasolinas:

– Regular 20.58 x litro
– Premium 22.44 x litro
– Diésel 21.75 x litro

Esta semana la gasolina regular contará con un porcentaje de estímulo fiscal del 54.8%. https://t.co/teM4onzynE",['QuiénEsQuién'],2021-09-07 02:35:25
98,GobiernoMX,261,630,"Las grandes obras de infraestructura de esta administración como el @TrenMayaMX y el #AIFA, pertenecen al pueblo de México y quedarán como patrimonio nacional, ya que nos son concesiones y para su construcción no se contrató deuda ni se crearon asociaciones público-privadas. https://t.co/VVymbJyeYA",['AIFA'],2021-09-06 23:00:00
102,GobiernoMX,464,1404,"Sin corrupción y sin deuda, construimos grandes obras.

Con la ejecución de las obras del Aeropuerto Felipe Ángeles, el Tren Maya, la Refinería de Dos Bocas y el Programa Integral del Istmo de Tehuantepec, generamos 200 mil empleos.

#TercerInforme https://t.co/prGu8Y7C9u",['TercerInforme'],2021-09-06 17:00:02
119,GobiernoMX,240,676,"No se puede aplicar la vacuna contra #COVID19 en menores de edad si hasta la fecha no contamos con investigaciones científicas sólidas que lo avalen, indicó el presidente @lopezobrador_.
 
Organismos internacionales como la #OMS informan que no es prioritario. https://t.co/UwZJqm0ZAg","['COVID19', 'OMS']",2021-09-04 03:00:02
139,GobiernoMX,73,218,"Hemos mejorado la recaudación de impuestos. Hasta ayer, los ingresos del #GobiernoFederal sumaban 2 billones 438 mil 557 mdp; es decir, 0.8% más que lo estimado en la Ley de Ingresos de la Federación para este año. 

#TercerInforme
#ALaMitadDelCamino","['GobiernoFederal', 'TercerInforme', 'ALaMitadDelCamino']",2021-09-03 01:15:34
140,GobiernoMX,207,574,"En vez de solicitar crédito para endeudar al país, como se hacía en el periodo neoliberal en tiempo de crisis, optamos eliminar la condonación de impuestos a los grandes contribuyentes, que en los últimos dos sexenios se elevó a 366 mil 174 mdp

#TercerInforme
#ALaMitadDelCamino https://t.co/pwhoRDB3E7","['TercerInforme', 'ALaMitadDelCamino']",2021-09-03 01:15:00
