,username,retweets,likes,text,hashtags,time
5,CDCgov,76,114,"People who are moderately to severely immunocompromised may not build the same level of protection against #COVID19 following a 2-dose vaccine series compared to others.

CDC recommends that this group gets an additional dose of COVID-19 vaccine: https://t.co/Iq5JmS6ZuE.",['COVID19'],2021-09-15 16:00:04
12,CDCgov,40,82,Additional findings from a recent @NEJM publication support recommendations that the benefits of receiving a #COVID19 vaccine during pregnancy outweigh any known or potential risks and that vaccination is essential to protect people. Learn more: https://t.co/tUVQpmwfWt. https://t.co/zno2tgsHrs,['COVID19'],2021-09-14 18:18:07
13,CDCgov,137,246,Accumulating evidence shows no increased risk of miscarriage after #COVID19 vaccination during early pregnancy. New @JAMA_current findings can inform discussions about COVID-19 vaccination during pregnancy between pregnant ppl &amp; their healthcare providers. https://t.co/4MSk5nZ705 https://t.co/JeOjWfj9nP,['COVID19'],2021-09-14 18:16:41
14,CDCgov,216,391,"#Parents: Keep your kids safe as they return to school.

Get your kids ages 12 years and up vaccinated against #COVID19 as soon as possible. Remind children ages 2 years and older that they should wear masks indoors, including in school and daycare.

More: https://t.co/p4fdYarnsK","['Parents', 'COVID19']",2021-09-14 17:00:01
18,CDCgov,275,447,"If you’ve had #COVID19 in the past 3 months and you’ve been exposed to someone with COVID-19, you don’t need to get tested if you don’t have new symptoms.

Find a testing location near you: https://t.co/8Yx3XcHCLM.",['COVID19'],2021-09-14 15:01:06
19,CDCgov,210,361,"You should get tested for #COVID19 if you have symptoms or you've been exposed to someone with COVID-19, even if you're fully vaccinated. Find a testing location near you: https://t.co/8Yx3XcHCLM. https://t.co/LW3bum9hJx",['COVID19'],2021-09-14 15:00:18
20,CDCgov,248,455,"As of September 13, 209.7 million people in the US have received at least one dose of a #COVID19 vaccine. Of those, 179 million, or about 53.9%, are fully vaccinated. Getting vaccinated is safe, easy, &amp; free. Make your vaccination appointment today. More: https://t.co/zYLe3H12re. https://t.co/AFRUtj7T7D",['COVID19'],2021-09-13 21:00:06
21,CDCgov,78,188,"#Pediatricians– Parents trust you as a source of information on #COVID19 vaccines. Your strong vaccine recommendation is important.

Remind parents that getting all family members 12 yrs &amp; older vaccinated can help protect them and those around them. More: https://t.co/Hru6Gz3vyJ https://t.co/Ahjkzu3TQO","['Pediatricians', 'COVID19']",2021-09-13 19:55:50
25,CDCgov,93,145,#Norovirus is an extremely contagious virus that causes vomiting &amp; diarrhea. Explore 5 ways to protect yourself &amp; others from norovirus: https://t.co/lQGy01Q8pe. https://t.co/Deny6GLatD,['Norovirus'],2021-09-13 16:32:02
27,CDCgov,46,0,"RT @TODAYshow: What metric will be used to determine when to end COVID-19 restrictions in schools?

Teachers and parents from across the co…",[],2021-09-13 13:10:29
