,username,retweets,likes,text,hashtags,time
0,GobiernoMX,1233,3170,"Grito de Independencia por la Libertad y la Justicia, desde Palacio Nacional. https://t.co/bCbhtFu8yS",[],2021-09-16 03:48:28
1,GobiernoMX,181,0,"RT @cultura_mx: #DescubreMexico 🇲🇽

El @INAHmx descubre escalinata original y ofrenda con dos figurillas masculinas en la Zona Arqueológica…",['DescubreMexico'],2021-09-16 00:51:24
2,GobiernoMX,50,0,"RT @STPS_mx: Compartimos el documental Mariachi Camargo, una historia de #JóvenesConstruyendoelFuturo en #Chihuahua que en su capacitación…","['JóvenesConstruyendoelFuturo', 'Chihuahua']",2021-09-15 23:00:54
3,GobiernoMX,269,588,Gran Sorteo Especial 248 de la Lotería Nacional. https://t.co/yimwEcWKdF,[],2021-09-15 19:39:32
4,GobiernoMX,53,0,"RT @Economia_UDP: ⚠ ¡REGISTRO ABIERTO!
📣 Tú puedes formar parte del Programa de Apoyo Financiero para la industria de la masa y la tortilla…",[],2021-09-15 17:51:58
5,GobiernoMX,882,2065,"Te esperamos hoy a partir de las 10:50 pm para la celebración del #GritoDeIndependencia, a través de nuestras plataformas digitales. https://t.co/a7vXepNrsP",['GritoDeIndependencia'],2021-09-15 15:05:06
6,GobiernoMX,321,996,"El presidente @lopezobrador_ analiza la posibilidad de viajar a Nueva York en noviembre para asistir a la sede de #NacionesUnidas @ONU_es, ya que nuestro país tendrá el honor de presidir el Consejo de Seguridad de este organismo internacional. https://t.co/zm1O553QAJ",['NacionesUnidas'],2021-09-15 04:30:00
7,GobiernoMX,176,465,"¿Te imaginas ver en vivo los juegos de la Copa del Mundo 2026, además de eliminatorias mundialistas y finales emocionantes? 
Compra tu cachito para el #GranSorteo del 15 de septiembre de @lotenal, donde se rifa, entre otros premios especiales, un palco en el @EstadioAzteca. https://t.co/TkwOG16yGH",['GranSorteo'],2021-09-15 03:40:00
8,GobiernoMX,83,301,"#ConferenciaPresidente, de este martes 14 de septiembre de 2021 https://t.co/3ENDIKouSn",['ConferenciaPresidente'],2021-09-15 02:40:00
9,GobiernoMX,80,224,"La @SSalud_mx informa que continúa la reducción de la epidemia de #COVID19 en todo el país. 

Reiteramos que vacunarse salva vidas, ya que el 95% de los casos activos de enfermedad grave y hospitalización corresponde a personas no protegidas. https://t.co/E4DJFG5U5A",['COVID19'],2021-09-15 01:40:00
10,GobiernoMX,93,287,"Al inicio de la segunda semana de #ClasesPresenciales, @SEP_mx informa que han regresado a las aulas:

–  13.23 millones de alumnos
– 1.26 millones de docentes
– 138,817 planteles han abierto sus puertas

No se reporta un incremento en el número de contagios en menores de edad. https://t.co/33bCOIKrz0",['ClasesPresenciales'],2021-09-15 00:40:00
11,GobiernoMX,260,705,"Invitamos al pueblo de México a que siga la transmisión de la ceremonia del #GritoDeIndependencia, este 15 de septiembre, a través de plataformas digitales, radio y tv.

Será un espectáculo cívico de primer orden para celebrar 211 años del inicio de la lucha que nos dio libertad. https://t.co/gGsuABj1xO",['GritoDeIndependencia'],2021-09-14 23:40:00
12,GobiernoMX,66,187,"Hoy concluye la vacunación contra #COVID19, con segundas dosis, en los 45 municipios de la frontera norte del país. En total, se habrán aplicado 3.8 millones de dosis. 

Mantenemos firme el compromiso de proteger al 100% de la población adulta, aun con una dosis, en octubre. https://t.co/Ki2AdMrckN",['COVID19'],2021-09-14 22:40:00
13,GobiernoMX,118,377,"El presidente @lopezobrador_ informó que seguirá sumando a su gobierno a mujeres y hombres con vocación de servicio y que estén dispuestos a ayudar en la transformación de México, independientemente de su procedencia partidista. https://t.co/YAn4BwsVjf",[],2021-09-14 21:40:00
14,GobiernoMX,105,289,"A través de @bienestarmx se realizará un censo en Acapulco para determinar el número de viviendas dañadas por el sismo de 7.1 grados de la semana pasada y proceder con el apoyo a las familias afectadas.
Guerrero es un estado que demanda mucho apoyo y lo seguiremos otorgando. https://t.co/NHyLumzB3F",[],2021-09-14 20:49:52
15,GobiernoMX,249,544,#ConferenciaPresidente | Martes 14 de septiembre de 2021 https://t.co/Cdp5FWwxMx,['ConferenciaPresidente'],2021-09-14 11:56:16
16,GobiernoMX,183,504,"El #PaqueteEconómico2022 contempla que los productos de higiene menstrual tengan #TasaCero. 

Dentro de las modificaciones para la Ley del IVA, se destaca que gravar estos productos tiene una incidencia económica en las mujeres por una condición natural del género femenino.","['PaqueteEconómico2022', 'TasaCero']",2021-09-14 02:35:33
17,GobiernoMX,174,472,"Como parte del plan de movilidad para tener accesos al #AeropuertoFelipeÁngeles, la @SCT_mx invertirá mil 657 millones de pesos para la ampliación del #TrenSuburbano, de la estación Lechería al nuevo aeropuerto, en el Estado de México.","['AeropuertoFelipeÁngeles', 'TrenSuburbano']",2021-09-14 01:40:01
18,GobiernoMX,238,548,"Los agravios que sufrió México a lo largo de 36 años de periodo neoliberal son incontables y se suscitaron en todo lo relacionado con la esfera pública.

En esta administración, además de cimentar el desarrollo del país, intentamos #EnderezarEntuertos en la medida de lo posible. https://t.co/U6jhDk1lM4",['EnderezarEntuertos'],2021-09-14 01:00:00
19,GobiernoMX,75,192,"La @Profeco informa los precios promedio nacionales de las gasolinas:
– Regular: 20.55 pesos x litro
– Premium: 22.44 pesos x litro
– Diésel: 21.73 pesos x litro

#GasLP:
– Tanque estacionario: 12.58 pesos x litro
– Cilindro: 23.30 pesos x kilo",['GasLP'],2021-09-14 00:30:08
20,GobiernoMX,148,415,"La @SEDENAmx reafirma su compromiso de concluir el #AIFA en tiempo y forma con el presupuesto asignado de 74 mil 535 millones de pesos, aun cuando en los dos años de la obra ha tenido que afrontar múltiples incrementos en los costos de materiales de construcción como el acero.",['AIFA'],2021-09-13 23:31:41
21,GobiernoMX,71,189,"Durante los trabajos de construcción del #AIFA, se han recibido 246 visitas de diversos actores de la aviación civil, asociaciones del sector turístico y medios.

Destaca el reconocimiento de la @ACI_LAC, que califica la obra de rápida, eficiente y con alta calidad.",['AIFA'],2021-09-13 22:40:29
22,GobiernoMX,131,326,"Sin trabas burocráticas se facilitará el voto de mexicanos en el extranjero. El asunto será tratado incluso antes de que se envíe al Congreso la iniciativa de #ReformaElectoral.

Se calcula que en EEUU hay alrededor de 12 millones de personas con derecho a votar en nuestro país. https://t.co/w2fMC9NRZj",['ReformaElectoral'],2021-09-13 22:00:01
