,username,retweets,likes,text,hashtags,time
0,CDCgov,8,18,"Interested in learning about Emergency Use Authorizations &amp; #COVID19 changes? Join CDC’s OneLab Network meeting, Wed, 9/22 at 1:30 pm ET. We will be joined by a panel from FDA, CMS, &amp; Quest Diagnostics.

Register: https://t.co/gr54r914OZ. https://t.co/fAuOKKpbZw",['COVID19'],2021-09-15 17:40:02
1,CDCgov,13,0,RT @CDCEnvironment: Food safety programs: Celebrate Food Safety Education Month with these resources from CDC and partners. https://t.co/ZH…,[],2021-09-15 17:23:09
2,CDCgov,96,152,"#COVID19-related hospitalizations among children &amp; adolescents are rising, especially in areas with low vaccination rates. 

Vaccination is more urgent than ever. Everyone 12 and older should get vaccinated as soon as possible: https://t.co/xbvNiaVJKV. https://t.co/KHKXXAqbt2",['COVID19'],2021-09-15 17:00:26
3,CDCgov,29,0,RT @CDCEnvironment: Floodwater can pose a drowning risk for everyone—regardless of their ability to swim. Swiftly moving shallow water can…,[],2021-09-15 16:30:08
4,CDCgov,8,0,RT @CDCemergency: Join @CDCgov &amp; @CDC_NCBDDD today at 1 PM ET for a webinar about CDC’s work with @CIDIaccess to improve whole community ac…,[],2021-09-15 16:02:48
5,CDCgov,76,114,"People who are moderately to severely immunocompromised may not build the same level of protection against #COVID19 following a 2-dose vaccine series compared to others.

CDC recommends that this group gets an additional dose of COVID-19 vaccine: https://t.co/Iq5JmS6ZuE.",['COVID19'],2021-09-15 16:00:04
6,CDCgov,32,0,"RT @CDCEnvironment: Disasters can happen anywhere, and everyone can play a part in preparing. Help protect children in your community durin…",[],2021-09-15 15:30:03
7,CDCgov,35,79,Did you know serious birth defects can be prevented if women get #FolicAcid daily starting BEFORE pregnancy? Get 400mcg of folic acid daily for your baby’s protection. For more information visit: https://t.co/Ny02Rch3zA. https://t.co/3uVPbtJnIl,['FolicAcid'],2021-09-15 15:00:23
8,CDCgov,9,0,"RT @SOAlumniNetwork: Calling all Disease Detective fans! Tune in 📺 for our first MY SO STEM Session of the school year, featuring @CDCgov e…",[],2021-09-15 14:42:00
9,CDCgov,39,0,"RT @CDCEnvironment: Heat related illnesses can be serious. Stay cool, stay hydrated, and stay informed during extreme #heat. https://t.co/M…",['heat'],2021-09-15 13:57:38
