,username,retweets,likes,text,hashtags,time
0,WhiteHouse,138,684,Tune in for a briefing with Press Secretary Jen Psaki. https://t.co/pgvMdcCB9M,[],2021-09-15 16:50:56
1,WhiteHouse,398,1977,The Build Back Better Agenda is a historic tax cut for the middle class – paid for by making sure the wealthy pay their fair share. https://t.co/IKUVyHmK4m,[],2021-09-15 16:31:53
2,WhiteHouse,442,1629,Today marks the first day of National Hispanic Heritage Month. National Hispanic Heritage Month is an important reminder of the strength we draw from our immigrant roots and our values as a Nation of immigrants. Hispanic heritage is American heritage. https://t.co/R6UFUMTfND,[],2021-09-15 15:15:02
3,WhiteHouse,586,2930,"We’re proud to welcome Afghan allies home – and thankful for the generosity of so many Americans who are volunteering, donating, and welcoming them.

To welcome Afghan allies in your community, visit https://t.co/2M6O05XCvh",[],2021-09-14 22:10:54
4,WhiteHouse,390,1917,Happening Now: President Biden delivers remarks on how we can tackle the climate crisis with his Build Back Better Agenda and Bipartisan Infrastructure Deal. https://t.co/1o1X4uVwUn,[],2021-09-14 21:20:02
5,WhiteHouse,272,1665,The president believes that individuals facing illness should never have to worry about how they are going to pay for treatment. His Build Back Better Agenda will provide an average of $600 in health care premium tax cuts for more than 9 million Americans. 5/5,[],2021-09-14 19:59:00
6,WhiteHouse,245,1568,"In 2019, a family claiming a Child and Dependent Care Tax Credit received on average, less than $600 for care costs. Many low-income families got nothing. The Build Back Better Agenda will provide up to $8,000 in tax cuts for those with child care or long-term care needs. 4/5",[],2021-09-14 19:58:59
7,WhiteHouse,128,622,"The President's Build Back Better Agenda will put money back in the pockets of American workers. By extending the American Rescue Plan’s expanded Earned Income Tax Credit, the plan provides up to $1,500 in tax cuts to 17 million low-wage workers. 3/5",[],2021-09-14 19:58:59
8,WhiteHouse,125,575,"President Biden’s Build Back Better Agenda will extend the expanded Child Tax Credit benefits, providing 39 million households and the parents of nearly 90% of American children a major tax cut. The benefits of this historic plan will cut child poverty nearly in half. 2/5",[],2021-09-14 19:58:59
9,WhiteHouse,838,4328,The Build Back Better Agenda will cut taxes for over 50 million American families including nearly 4 million small business owners – continuing tax relief first provided in the President’s American Rescue Plan. 1/5,[],2021-09-14 19:58:58
10,WhiteHouse,894,4932,"The President’s Build Back Better Agenda positions the U.S. to tackle the climate crisis, increase climate resilience, and advance environmental justice. It will create good-paying, union jobs, establish clean energy tax credits, develop a new Civilian Climate Corps, and more.",[],2021-09-14 18:02:58
11,WhiteHouse,522,2907,"Last year alone, extreme weather and climate-related disasters cost the U.S. $100B in damages.

President Biden has made nearly $5B available for communities to increase their preparedness and improve their ability to recover after these events.",[],2021-09-14 16:35:36
12,WhiteHouse,988,4385,The Build Back Better Agenda is one of the biggest middle class tax cuts in history – and it’s paid for by making sure the wealthiest pay their fair share. https://t.co/VY1OomjxF6,[],2021-09-14 13:15:37
13,WhiteHouse,377,1988,"Happening Now: President Biden delivers remarks on the Administration’s response to recent wildfires, and how we can strengthen our resilience to climate change and extreme weather. https://t.co/058UdtUvQf",[],2021-09-13 23:16:51
14,WhiteHouse,5269,20864,“If some Republicans in Congress want to have a debate about whether or not we should help middle class families have more breathing room... or whether we should protect corporations and the wealthiest Americans – that’s a debate we’re happy to have.” —@PressSec https://t.co/a0HKvWM4Yq,[],2021-09-13 22:27:03
15,WhiteHouse,629,3039,"Our administration is taking action to respond to wildfires this year. We are:
-Raising firefighter pay
-Deploying more federal aircraft
-Improving wildfire response capabilities
-Utilizing data &amp; technology to protect communities
 
And more: https://t.co/99QW5oAvvP",[],2021-09-13 18:12:53
16,WhiteHouse,2184,13058,"By ensuring the wealthy pay their fair share, we can:

-Lower the cost of housing, health care, prescriptions, child care, and higher education
-Cut taxes for workers and families
-Create good-paying, clean energy union jobs
 
That's the Build Back Better Agenda.",[],2021-09-13 00:12:55
17,WhiteHouse,1095,8223,"This week, @POTUS:
-Visited NYC, Arlington, and Shanksville to commemorate the 20 year anniversary of 9/11
-Traveled to NY &amp; NJ to survey storm damage from Ida and meet with affected residents
-Announced his COVID-19 Action Plan
-Discussed safe school openings
And more. https://t.co/gK71akJMTR",[],2021-09-12 19:24:19
18,WhiteHouse,1770,7686,"On the eve of the 20th anniversary of the horrific 9/11 attacks, President Biden honors the lives of those we lost and highlights how even at our most vulnerable – unity is our greatest strength.

https://t.co/TdVhw9TVpb",[],2021-09-10 22:21:31
19,WhiteHouse,341,1725,Tune in for a briefing with Press Secretary Jen Psaki. https://t.co/shVe1TXDVu,[],2021-09-10 19:02:21
20,WhiteHouse,356,1585,"For decades, corporate consolidation has been accelerating – and that lack of competition has driven up prices for consumers and driven down wages for workers. President Biden has launched a whole-of-government effort to promote competition – read more: https://t.co/rRpVXPnWMS.",[],2021-09-10 17:11:55
21,WhiteHouse,1120,6922,"Yesterday, Vice President Harris, Senior Advisor Cedric Richmond, and White House staffers met in celebration of #HBCUWeek. We are proud to have alumni of Historically Black Colleges and Universities as integral figures within the Biden-Harris Administration. https://t.co/DBM8EyXOM2",['HBCUWeek'],2021-09-10 14:55:02
22,WhiteHouse,517,2585,Happening Now: The President and First Lady deliver remarks on how the Administration is helping keep students safe in classrooms. https://t.co/iGyG4AFRly,[],2021-09-10 14:24:07
23,WhiteHouse,444,2589,"As we fight this pandemic, the federal government has deployed nearly 1000 personnel, including doctors, nurses, and paramedics, across 18 states. The Department of Defense is announcing a commitment to double the number of DOD teams deployed to support hospitals.",[],2021-09-09 21:25:53
24,WhiteHouse,502,2896,"Since the President took office, we have had record job creation. We will not let COVID undo that progress. The President announced several programs, including an expansion of the COVID-19 Economic Injury Disaster Loan program so small businesses can borrow up to $2 million.",[],2021-09-09 21:24:55
25,WhiteHouse,832,5675,"The President’s COVID-19 Action Plan will increase testing and masking. Under the plan, every American – no matter their income – can access free, convenient tests.",[],2021-09-09 21:23:02
26,WhiteHouse,1392,8352,"President Biden’s COVID-19 Action Plan will keep schools safely open with vaccinations, masking, and ventilation. Any teacher or school official whose pay is withheld by a governor for trying to keep children safe will have that pay restored by the federal government – 100%.",[],2021-09-09 21:21:07
27,WhiteHouse,1678,11040,"Today, President Biden announced that there will be enough booster shots for everyone. A nationwide distribution system is ready. As soon as they are authorized, those eligible will be able to get a booster right away – for free.",[],2021-09-09 21:16:42
28,WhiteHouse,699,3741,President Biden just announced that the Department of Labor will require employers to give employees paid time off to get vaccinated. https://t.co/vmcoYDh4OL,[],2021-09-09 21:12:55
29,WhiteHouse,1385,7811,"The Department of Labor will require all employers with 100 or more employees to ensure their workforce is fully vaccinated or show a negative test at least once a week. Together, these companies employ more than 80 million workers. https://t.co/I9GBp6KOpF",[],2021-09-09 21:10:52
30,WhiteHouse,626,3522,"President Biden's COVID-19 Action Plan — comprised of 6 key components — will:
- Get more people vaccinated
- Decrease hospitalizations and deaths from COVID-19
- Keep schools and our economy open",[],2021-09-09 21:09:16
31,WhiteHouse,404,1569,Happening Now: President Biden delivers remarks on his plan to stop the spread of COVID-19 and boost vaccinations. https://t.co/brjkj4oaV5,[],2021-09-09 21:01:37
32,WhiteHouse,332,2063,"These numbers reaffirm what our administration has been seeing for months — a broad coalition of Americans support the President’s agenda to lower costs for working families, deliver significant tax cuts to the middle class, and create millions of jobs.",[],2021-09-09 18:17:23
33,WhiteHouse,1312,5438,New this week: Recent polling from Navigator Research shows that a large majority – 70% of the country – supports President Biden's Build Back Better Agenda and believes it should be passed urgently. https://t.co/p7DVMjT84b,[],2021-09-09 18:17:21
34,WhiteHouse,303,1301,Tune in for a briefing with Press Secretary Jen Psaki. https://t.co/bvO5F4yVEG,[],2021-09-09 17:39:39
35,WhiteHouse,884,3848,"Today's economic update shows clear signs that President Biden’s economic plan is working:
-Average new unemployment claims have declined by nearly 60% and have reached their lowest level in 18 months
-The economy created 4M jobs since January 20th https://t.co/lnb2yIY03c",[],2021-09-09 15:07:49
36,WhiteHouse,473,2479,"Vaccination Update:
-Today, over 960,000 vaccine doses were reported administered
-Newly vaccinated individuals account for 435,000 of those shots
 
For more information about the COVID-19 vaccine or find a vaccination site near you, visit https://t.co/S2DQV6MlBv.",[],2021-09-08 21:30:03
37,WhiteHouse,839,3155,"Today's tax code contains two sets of rules: one for regular wage workers who report virtually all the income they earn; and another for wealthy taxpayers. That gap costs us around $600B a year.

@POTUS’s Build Back Better Agenda means a fair tax code.
https://t.co/DxmcURa14i",[],2021-09-08 19:41:26
38,WhiteHouse,306,1752,"Tune in for a briefing with Press Secretary Jen Psaki, Secretary of Agriculture Tom Vilsack, and Director of the National Economic Council Brian Deese. https://t.co/YfoA8XLI2X",[],2021-09-08 18:16:16
39,WhiteHouse,368,1748,Happening Now: President Biden delivers remarks in honor of labor unions. https://t.co/bYTanMfujX,[],2021-09-08 15:40:49
40,WhiteHouse,285,1889,President Biden's Build Back Better Agenda is about leveling the playing field and ensuring that those who have historically prospered — the wealthiest few and large corporations — pay their fair share so middle-class Americans and working families get a fighting chance. 5/5,[],2021-09-07 22:04:54
41,WhiteHouse,285,1887,"The Build Back Better Agenda will make critical investments in our fight against the climate crisis including: 
-Providing clean energy tax credits
-Advancing environmental justice
-Creating good-paying union jobs
-Building a Civilian Climate Corps
4/5",[],2021-09-07 22:04:53
42,WhiteHouse,147,808,"The President's Build Back Better Agenda gives middle class families breathing room by lowering the cost of health care, prescription drugs, and high quality child care. The plan also puts money back in pockets through expanded tax credits for workers and families. 3/5",[],2021-09-07 22:04:53
43,WhiteHouse,173,912,"The Build Back Better Agenda cuts taxes for middle class families, puts money directly in people’s pockets, and won't add to the national deficit over the long-run. Instead, we'll cover the cost by making the wealthy and large corporations pay their fair share. 2/5",[],2021-09-07 22:04:53
44,WhiteHouse,806,5403,"A year ago, President Biden promised that we were going to Build Back Better. To do that, we must tackle the challenges that face middle class families and level the playing field so every American has a fighting chance — that's what the Build Back Better Agenda is about. 1/5",[],2021-09-07 22:04:52
45,WhiteHouse,381,1762,"Happening Now: President Biden delivers remarks from Queens, New York on the Administration’s response to storm damage from Ida.  https://t.co/NkFzvWMcyp",[],2021-09-07 20:28:20
46,WhiteHouse,266,1236,"During National Historically Black Colleges and Universities Week, our administration celebrates HBCUs for their essential role in providing opportunity for generations of American families and recommit to our support of their vital mission.
https://t.co/snETHf7hLL",[],2021-09-07 19:17:43
47,WhiteHouse,245,1583,"Today, President Biden is visiting New York and New Jersey to see the damage from Ida firsthand and speak with local officials about our continued support in this recovery.
https://t.co/59M4jW7j6P",[],2021-09-07 17:12:17
48,WhiteHouse,588,3229,"On Sunday, @POTUS approved Major Disaster Declarations in NY and NJ, making federal aid available to support Ida recovery efforts including:
-Temporary housing &amp; home repairs
-Low-cost loans to cover uninsured losses
-Repair/replacement of damaged facilities",[],2021-09-07 17:12:17
49,WhiteHouse,1033,6269,President Biden often says: The middle class built America — and unions built the middle class. Everything that supports middle-class life was made possible by unions. On Labor Day we honor all those workers — and their enduring movement — that keep our economy moving. https://t.co/qSVTqyZQKx,[],2021-09-06 16:30:55
50,WhiteHouse,4039,0,"RT @POTUS: Jill and I extend our warmest wishes to all those celebrating Rosh Hashanah in the United States, Israel, and around the world.…",[],2021-09-06 16:19:17
51,WhiteHouse,2856,0,"RT @POTUS: I believe that given half a chance, there’s not a single thing the American worker can’t do. This Labor Day, let’s celebrate the…",[],2021-09-06 14:03:23
52,WhiteHouse,1611,8884,"Economy update:

- Despite the Delta variant, our economy created 235,000 jobs last month.
- The economy has gained an average of 750K jobs a month over the last 3 months.
- President Biden has created more jobs in his first 7 months than any president in history.",[],2021-09-05 18:16:11
53,WhiteHouse,622,3986,"This week, President Biden approved disaster declarations for the areas affected by storm damage from Ida in Louisiana, New York, and New Jersey. These disaster declarations ensure those affected have access to help as they recover from this devastating storm. https://t.co/MPFb35x1qP",[],2021-09-04 20:05:00
54,WhiteHouse,533,2741,"Last month, the FDA gave full and final approval to the Pfizer COVID-19 vaccine. Watch President Biden and Stephanie, a nurse, talk about her decision to get vaccinated — and find a vaccine near you at https://t.co/S2DQV6MlBv. https://t.co/iqSVH6fOgP",[],2021-09-04 17:09:17
55,WhiteHouse,1245,6367,"An update on vaccination:
1.4 million doses were reported administered over yesterday's total, including 550K newly vaccinated people.

This is the highest total dose number since 7/1. Over 175 million Americans are now fully vaccinated.
 
Get vaccinated: https://t.co/S2DQV6MlBv.",[],2021-09-03 21:10:56
