,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,CushnerCapital,"Fallbrook, CA",822,295,4876,2,"Americans who qualify to start receiving ""family stimulus checks"" can now easily enroll for — or opt out of — the payments. ✅ #stimulus  #covid19 https://t.co/yaHeAtrK0c",[],2021-07-02 20:23:30
1,ChaseBoye1,Where The World Gets Wider✈️,3339,6958,19840,32,"🌐TTMWW🌐™▫#JoeBiden unveils  1.9 trillion dollar #stimulus plan. W/ the  democrats in control &amp; #MitchMcConnell on board; things areas looking up. However, Americans are not counted out as of yet. Who wants that $2k #stimulus check... recurring? Lmk
CB https://t.co/r3W18L6ORy","['JoeBiden', 'stimulus', 'MitchMcConnell']",2021-07-01 06:26:53
2,KPMueller,New Jersey,1175,2186,4863,0,"Child tax credit update: You can now change your direct deposit information, IRS says #ChildTaxCredit #Stimulus 
https://t.co/RZBGtAsCBu","['ChildTaxCredit', 'Stimulus']",2021-06-30 20:24:16
3,RealPhatsBlog,North America,987,6706,86017,0,"Supreme Court leaves CDC eviction moratorium in place
#Congress 
#Senate
#Stimulus
#StimulusChecks
#NancyPelosi
#ChuckSchumer 
#JoeBiden
#COVID19
#TreasuryDept
#Economy
#Pandemic
#SmallBusiness 
#PPP
#UnemploymentBenefits 
#StateAid
https://t.co/K7xKlLeqPj","['Congress', 'Senate', 'Stimulus', 'StimulusChecks', 'NancyPelosi', 'ChuckSchumer', 'JoeBiden', 'COVID19', 'TreasuryDept', 'Economy', 'Pandemic', 'SmallBusiness', 'PPP', 'UnemploymentBenefits', 'StateAid']",2021-06-30 11:56:10
4,FreeTaxPrepLA,"Los Angeles, CA",277,334,4031,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,['IRS'],2021-06-29 21:25:21
5,LizbethFriedman,Musicking Explorer,1532,472,13554,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,['IRS'],2021-06-29 19:06:43
6,YourVoiceAtIRS,United States,306,35615,11348,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,"['IRS', 'stimulus']",2021-06-29 19:01:39
7,TreasuryCurve,"Silicon Valley, CA",971,941,10827,0,Treasury Curve will provide free technology to ensure public sector entities have the tools to prudently &amp; efficiently manage #COVID-19 #stimulus cash. Join the conversation here. https://t.co/HQ8NJjV6gI #publicsector #stimuluspackage  #AmericanRescuePlanActof2021 https://t.co/IAsPBpcZGc,"['COVID', 'stimulus', 'publicsector', 'stimuluspackage', 'AmericanRescuePlanActof2021']",2021-07-02 15:00:05
8,AnyPollApp,United States,739,172,24989,0,Here's how Stamford's using millions of dollars in federal COVID-19 stimulus money... https://t.co/c31y2kSG7D #here #how #stamford #using #millions #of #dollars #in #federal #covid- #stimulus #money,"['here', 'how', 'stamford', 'using', 'millions', 'of', 'dollars', 'in', 'federal', 'covid', 'stimulus', 'money']",2021-07-02 11:19:17
9,mishaklaw,"North Ridgeville, OH",119,64,11661,0,Covid Relief Stimulus: Where’s My Payment? https://t.co/0UsVXLrThq #covidrelief #currentevents #getmypayment #stimulus,"['covidrelief', 'currentevents', 'getmypayment', 'stimulus']",2021-07-02 08:39:32
