,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,hoopitup59,"California, USA",35,16,1247,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:59:29
1,sweetly_yellow,My house,141,10,825,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:58:22
2,Rob_More,Huntington Parque,1052,526,143464,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:58:09
3,GenethebarberH,"Corona, CA",230,118,4740,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:57:02
4,ScoopDaa,"Long Beach, CA aka LBC",543,5722,151327,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:55:50
5,DariBelafonte,2 steps ahead of you,1047,1042,263779,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:54:54
6,J8sonWaterfalls,"North Carolina, USA",759,1153,215019,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:54:44
7,ItsDTruth,#LAX🛫#DFW🛫#DCA,2441,378,14832,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:54:04
8,reni_marthalena,"Tambun, Indonesia",58,225,18002,0,"COVID-19: New program brings 175,000 tests to Hamilton County - The Cincinnati Enquirer https://t.co/MfYusOASbC https://t.co/IGvWQHeUdH",[],2021-07-08 23:53:05
9,POFerriesFR8,"Dover, UK.",19,6349,251392,0,"Please use the link below to check you have all of the paperwork you need to cross the border between Great Britain and the EU in HGVs, and details on how to access COVID testing facilities;. https://t.co/iFxIaIMR6u",[],2021-07-08 23:50:01
10,Viv_Scully,Boyle Heights ,549,3549,135661,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:49:22
11,VeranosAzules,"Juana Díaz, Puerto Rico",576,193,18039,1,"Story of Hall Of Fame 🏈 coach Bobby Bowden testing positive for ""#SARSCOV2"" at almost 91 years old in October of last year &amp; being asymptomatic is an underrated contribution to debunking one main Covid narrative with football crazed families in U.S. https://t.co/9IMLUWUxl5",['SARSCOV2'],2021-07-08 23:48:59
12,Danielcramer_,ℭ𝔞𝔩𝔦𝔣𝔬𝔯𝔫𝔦𝔞,346,166,38407,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:48:42
13,thicass_lilmami,#fbgm,357,350,10378,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:46:04
14,seymourbittys,Ferenginar,641,178,10503,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:45:10
15,Erica_a_,California,623,413,28632,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:44:27
16,igbcris,Your moms ,87,110,30335,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:41:49
17,pazsergio,L.A n wherever the wind blows,294,141,16611,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:40:23
18,KymGrosso,United States,3433,5144,51049,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:38:34
19,wonderbread403,"California, USA",765,237,14437,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:37:19
20,SD_BeBe,The Gold Coast,1091,385,128360,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:36:55
21,BookerMiller8,"Indiana, USA",948,728,97894,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:35:44
22,Ugly_Anna,City of Angels,742,9645,37780,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:35:21
23,dkpetralba,Southern California,334,67,4738,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:35:15
24,AlexMar22677311,"California, USA",1181,207,71483,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:35:08
25,SDMandalorian85,"San Diego, CA",510,56,5791,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:33:05
26,Brody_Macc,Left Coast,67,46,4203,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:32:58
27,reconjerry,Huntington Park,1498,1723,132857,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:31:36
28,HausDeJudas,Twin Peaks,1969,403,33497,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:31:29
29,POferriesupdate,Dover,50,34211,244769,0,"Important: Since 04:00 on 15/01/21, it has been mandatory for all passengers travelling into the UK to have a pre-travel Covid-19 test., More info: https://t.co/d47yAbIV2I",[],2021-07-08 23:30:04
30,RiveraKike,"Lima, Perú",2802,1265,67730,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:25:15
31,natie_dread,En el centro de la tierra,1610,3363,10710,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:23:56
32,libbyliberalnyc,"New York, USA",5806,5277,518007,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:23:27
33,nk_o,"Below tha Heavens, California",710,445,158295,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:22:52
34,damnpamfromnamm,Near the Port of L.A.,6988,6361,174471,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:22:46
35,weekend27,SoCal ,229,52,16055,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:19:41
36,ItzMarena,"My head, kinda scary ngl..",98,33,3324,5,"Starting in August, @SDSU will distribute 6,000 home COVID-19 testing kits to middle schoolers in San Diego’s South Bay, one of the areas hit the hardest by the coronavirus. https://t.co/D0lyrzc1Gn https://t.co/Q10PJgWe58",[],2021-07-08 23:17:07
37,PauletteZ,"Napa, CA",2273,376,18196,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:15:55
38,BADDNTATTED69,DS,699,795,59528,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:15:04
39,rivlesss,"Palmdale, CA 📍",103,73,4082,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:14:46
40,water_sol,Wandering,160,260,18932,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:13:45
41,gunnagerg,Shirley House,588,724,75724,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:12:08
42,young_reyes,"South El Monte, CA",545,455,21423,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:11:22
