,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,JoelFarran,"Chicago, IL",3193,924,11983,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:53
1,Cupids_Psyche,"Lexington, SC",1419,240,11750,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:52
2,RoyalHoeliness,Twin Peaks,2538,9608,175085,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:51
3,PemaJempa,"United States, Florida",271,191,49654,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:51
4,lobylyn,"ᑭᕼ᙭ ᗩᘔ, ᗴᗪI ᔕᑕOTᒪᗩᑎᗪ, ᒪᗩ ᑕᗩ",1380,1423,279763,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:48
5,KristenLafavers,"Houston, TX",103,30,3217,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:46
6,bproc_,"Los Angeles, CA",582,253,16600,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:44
7,GouravM59522882, Jammu And Kashmir UT state,1965,1187,138716,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:35
8,BorealJo,Northern Ontario Canada,864,374,132926,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:29
9,Hephaestus7,Canada,16403,14911,379188,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:28
10,Manpreetss98,PB10 LDH ✈ Toronto ,270,526,165750,169,"Pfizer is about to seek U.S. authorization for a third dose of its COVID-19 vaccine, saying that another shot within 12 months could dramatically boost immunity and maybe help ward off the latest worrisome coronavirus mutant.
https://t.co/QkutLgajtj https://t.co/6zUcdjAezy",[],2021-07-08 23:59:24
11,sccspodcast,Los Angeles,362,127,807,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:24
12,MicheleNtmitch,Canada,1780,906,16956,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:17
13,KTVZ,"Bend, Oregon",223,24239,123021,0,Pfizer said today it is seeing waning immunity from its coronavirus vaccine and says it is picking up its efforts to develop a booster dose that will protect people from variants. https://t.co/W5Z28oWEPy,[],2021-07-08 23:59:12
14,KittyDreaming,"Virginia, USA",93,44,156,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:10
15,nattyman76,"Missouri, USA",13,2,40,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:06
16,Keyblade_Knight,"Vandalia, OHIO",1129,336,8962,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:59:02
17,Nhawu,"Abuja, Nigeria",3080,337,25151,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:51
18,ElaineM11584892,Living on Awabakal land,6767,9703,152676,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:50
19,bluerubytuesday,"Greater Vancouver, British Columbia",2736,1194,38977,24,Pfizer to ask FDA to authorize booster dose of COVID-19 vaccine https://t.co/OmYVSUmYEm https://t.co/WBQfb899Qt,[],2021-07-08 23:58:47
20,LolaOnThePath,CA,4151,4469,97808,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:47
21,CreechJeff,  USA,6100,6482,120897,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:46
22,DafyddU,"Calgary,Alberta,Canada",2719,844,4349,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:45
23,ryangvcci,he/him,143,78,11561,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:45
24,brish_ti,"Victoria, British Columbia",609,3119,7920,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:58:42
25,Caroleina2,Kaurna Land. ❤💛🖤,3794,2696,41550,2,Prime Minister Scott Morrison finally admits Australia will eventually have to learn to live with Covid  as his government continues to bungle it's vaccine rollout program https://t.co/8HV3D9I6mt https://t.co/0Pl5BElkfa,[],2021-07-08 23:58:37
