,username,location,following,followers,totaltweets,retweets,text,hashtags,time
0,KPMueller,New Jersey,1175,2186,4863,0,"Child tax credit update: You can now change your direct deposit information, IRS says #ChildTaxCredit #Stimulus 
https://t.co/RZBGtAsCBu","['ChildTaxCredit', 'Stimulus']",2021-06-30 20:24:16
1,RealPhatsBlog,North America,987,6706,86017,0,"Supreme Court leaves CDC eviction moratorium in place
#Congress 
#Senate
#Stimulus
#StimulusChecks
#NancyPelosi
#ChuckSchumer 
#JoeBiden
#COVID19
#TreasuryDept
#Economy
#Pandemic
#SmallBusiness 
#PPP
#UnemploymentBenefits 
#StateAid
https://t.co/K7xKlLeqPj","['Congress', 'Senate', 'Stimulus', 'StimulusChecks', 'NancyPelosi', 'ChuckSchumer', 'JoeBiden', 'COVID19', 'TreasuryDept', 'Economy', 'Pandemic', 'SmallBusiness', 'PPP', 'UnemploymentBenefits', 'StateAid']",2021-06-30 11:56:10
2,FreeTaxPrepLA,"Los Angeles, CA",277,334,4031,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,['IRS'],2021-06-29 21:25:21
3,LizbethFriedman,Musicking Explorer,1532,472,13554,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,['IRS'],2021-06-29 19:06:43
4,YourVoiceAtIRS,United States,306,35615,11345,2,The #IRS FAQ's on Economic Impact Payments can help address many questions around the relief payments and more. Visit https://t.co/lcA4P6YABc. #stimulus https://t.co/Aygbd88Lpi,"['IRS', 'stimulus']",2021-06-29 19:01:39
5,lof_man,Lifetime Illinoisan  ,144,21,1426,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 20:46:51
6,eeners,"chicago, Il",2860,1302,40468,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 16:00:01
7,FreedbyGrace17,"Belleville, IL",1938,1519,15014,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 15:55:06
8,Chicago4L,"Chicago, IL",862,721,39522,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 15:53:20
9,swizze_gfrank,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,179,207,43651,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 15:12:42
