,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.030214787,0.013935915,0.025347574,0.011086918,-0.004867213,-0.0028489968,0.8389129,0.7955644
C2_Workplace closing,0.030214787,0.013935915,0.03667436,0.0129678035,0.006459575,-0.0009681117,1.2137885,0.93053114
C3_Cancel public events,0.030214787,0.013935915,0.029141784,0.013822809,-0.0010730028,-0.00011310633,0.9644875,0.9918838
C4_Restrictions on gatherings,0.030214787,0.013935915,0.04551121,0.020509984,0.015296422,0.006574069,1.5062562,1.4717357
C5_Close public transport,0.030214787,0.013935915,0.030512458,0.01425528,0.00029767118,0.00031936448,1.0098518,1.0229167
C6_Stay at home requirements,0.030214787,0.013935915,0.031747043,0.014321718,0.0015322566,0.00038580317,1.0507121,1.0276841
C7_Restrictions on internal movement,0.030214787,0.013935915,0.024528518,0.013935915,-0.005686268,0.0,0.8118051,1.0
C8_International travel controls,0.030214787,0.013935915,0.03266514,0.013935915,0.0024503544,0.0,1.0810978,1.0
E1_Income support,0.030214787,0.013935915,0.033156443,0.011281642,0.0029416569,-0.002654273,1.0973582,0.80953723
E2_Debt/contract relief,0.030214787,0.013935915,0.036724463,0.01060835,0.0065096766,-0.0033275653,1.2154467,0.7612238
E3_Fiscal measures,0.030214787,0.013935915,0.02988251,0.013935915,-0.00033227727,0.0,0.9890028,1.0
E4_International support,0.030214787,0.013935915,0.030214787,0.013935915,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.030214787,0.013935915,0.03579767,0.014005831,0.005582884,6.991625e-05,1.1847732,1.005017
H2_Testing policy,0.030214787,0.013935915,0.042410906,0.030841865,0.01219612,0.016905949,1.4036474,2.213121
H3_Contact tracing,0.030214787,0.013935915,0.0282232,0.013534016,-0.0019915868,-0.00040189922,0.93408567,0.9711609
H4_Emergency investment in healthcare,0.030214787,0.013935915,0.029573312,0.013935915,-0.0006414745,0.0,0.97876954,1.0
H5_Investment in vaccines,0.030214787,0.013935915,0.030240264,0.013935915,2.547726e-05,0.0,1.0008432,1.0
H6_Facial Coverings,0.030214787,0.013935915,0.025407748,0.014220228,-0.004807038,0.00028431322,0.8409045,1.0204015
H7_Vaccination policy,0.030214787,0.013935915,0.039745025,0.022729252,0.009530239,0.008793336,1.3154163,1.6309838
H8_Protection of elderly people,0.030214787,0.013935915,0.029488508,0.015058042,-0.0007262789,0.0011221264,0.9759628,1.0805205
V1_Vaccine Prioritisation (summary),0.030214787,0.013935915,0.030214787,0.013935915,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.030214787,0.013935915,0.030214787,0.013935915,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.030214787,0.013935915,0.030214787,0.013935915,0.0,0.0,1.0,1.0
