,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.03721218,0.015301396,0.032016978,0.015403264,-0.005195204,0.00010186806,0.8603897,1.0066575
C2_Workplace closing,0.03721218,0.015301396,0.047765687,0.015301396,0.010553505,0.0,1.2836035,1.0
C3_Cancel public events,0.03721218,0.015301396,0.036115494,0.015301396,-0.0010966882,0.0,0.9705288,1.0
C4_Restrictions on gatherings,0.03721218,0.015301396,0.050977327,0.015021918,0.013765145,-0.0002794778,1.3699096,0.98173517
C5_Close public transport,0.03721218,0.015301396,0.04405317,0.019532807,0.006840989,0.004231411,1.1838373,1.2765375
C6_Stay at home requirements,0.03721218,0.015301396,0.038912524,0.016193679,0.0017003417,0.00089228246,1.0456932,1.0583138
C7_Restrictions on internal movement,0.03721218,0.015301396,0.030544028,0.015301396,-0.006668154,0.0,0.8208072,1.0
C8_International travel controls,0.03721218,0.015301396,0.040202633,0.015306383,0.0029904507,4.9872324e-06,1.0803622,1.0003259
E1_Income support,0.03721218,0.015301396,0.03778251,0.030296832,0.00057032704,0.014995436,1.0153264,1.9800044
E2_Debt/contract relief,0.03721218,0.015301396,0.037381466,0.036623467,0.00016928464,0.021322072,1.0045491,2.3934722
E3_Fiscal measures,0.03721218,0.015301396,0.036143657,0.015464272,-0.001068525,0.00016287621,0.97128564,1.0106446
E4_International support,0.03721218,0.015301396,0.03721218,0.015301396,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.03721218,0.015301396,0.04201404,0.0152173685,0.004801858,-8.402765e-05,1.12904,0.9945085
H2_Testing policy,0.03721218,0.015301396,0.057875313,0.012639124,0.020663131,-0.0026622722,1.5552787,0.8260112
H3_Contact tracing,0.03721218,0.015301396,0.031190896,0.046411514,-0.0060212854,0.03111012,0.8381905,3.0331554
H4_Emergency investment in healthcare,0.03721218,0.015301396,0.037294324,0.015286252,8.214265e-05,-1.5144236e-05,1.0022074,0.99901026
H5_Investment in vaccines,0.03721218,0.015301396,0.037117474,0.015301396,-9.4708055e-05,0.0,0.99745494,1.0
H6_Facial Coverings,0.03721218,0.015301396,0.030692395,0.013338097,-0.006519787,-0.0019632988,0.8247943,0.8716915
H7_Vaccination policy,0.03721218,0.015301396,0.04607068,0.033715274,0.008858498,0.018413879,1.2380537,2.2034116
H8_Protection of elderly people,0.03721218,0.015301396,0.03647272,0.015301396,-0.0007394627,0.0,0.98012847,1.0
V1_Vaccine Prioritisation (summary),0.03721218,0.015301396,0.03721218,0.015301396,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.03721218,0.015301396,0.03721218,0.015301396,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.03721218,0.015301396,0.03721218,0.015301396,0.0,0.0,1.0,1.0
