,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.043437947,0.029652579,0.03551958,0.029652579,-0.007918365,0.0,0.81770855,1.0
C2_Workplace closing,0.043437947,0.029652579,0.058176316,0.030244377,0.01473837,0.00059179775,1.339297,1.0199577
C3_Cancel public events,0.043437947,0.029652579,0.042030904,0.029652579,-0.0014070421,0.0,0.967608,1.0
C4_Restrictions on gatherings,0.043437947,0.029652579,0.06561509,0.026523717,0.022177141,-0.003128862,1.5105476,0.8944826
C5_Close public transport,0.043437947,0.029652579,0.051712837,0.029869,0.0082748905,0.00021642074,1.1904991,1.0072986
C6_Stay at home requirements,0.043437947,0.029652579,0.045209706,0.029869728,0.0017717592,0.00021714903,1.0407883,1.0073231
C7_Restrictions on internal movement,0.043437947,0.029652579,0.035675667,0.029652579,-0.0077622794,0.0,0.8213019,1.0
C8_International travel controls,0.043437947,0.029652579,0.046579737,0.03202023,0.0031417906,0.002367651,1.0723282,1.0798464
E1_Income support,0.043437947,0.029652579,0.036890045,0.06779775,-0.006547902,0.03814517,0.8492585,2.2864032
E2_Debt/contract relief,0.043437947,0.029652579,0.040246487,0.053354118,-0.00319146,0.02370154,0.9265283,1.7993078
E3_Fiscal measures,0.043437947,0.029652579,0.03986369,0.029652579,-0.0035742559,0.0,0.91771585,1.0
E4_International support,0.043437947,0.029652579,0.043437947,0.029652579,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.043437947,0.029652579,0.049661174,0.029652579,0.006223228,0.0,1.143267,1.0
H2_Testing policy,0.043437947,0.029652579,0.067520976,0.026403615,0.02408303,-0.0032489635,1.5544238,0.89043236
H3_Contact tracing,0.043437947,0.029652579,0.03143104,0.045820948,-0.012006905,0.016168369,0.7235849,1.5452601
H4_Emergency investment in healthcare,0.043437947,0.029652579,0.043485682,0.029541723,4.773587e-05,-0.000110855326,1.001099,0.99626154
H5_Investment in vaccines,0.043437947,0.029652579,0.043519504,0.036972437,8.155778e-05,0.0073198583,1.0018775,1.2468541
H6_Facial Coverings,0.043437947,0.029652579,0.03581341,0.027012272,-0.0076245368,-0.002640307,0.8244729,0.9109586
H7_Vaccination policy,0.043437947,0.029652579,0.047211915,0.042384267,0.0037739687,0.012731688,1.0868819,1.4293619
H8_Protection of elderly people,0.043437947,0.029652579,0.042377964,0.029652579,-0.0010599829,0.0,0.97559774,1.0
V1_Vaccine Prioritisation (summary),0.043437947,0.029652579,0.043437947,0.029652579,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.043437947,0.029652579,0.043437947,0.029652579,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.043437947,0.029652579,0.043437947,0.029652579,0.0,0.0,1.0,1.0
