,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.044993673,0.025731023,0.035959877,0.025731023,-0.009033795,0.0,0.79922074,1.0
C2_Workplace closing,0.044993673,0.025731023,0.06057213,0.024914755,0.015578456,-0.00081626885,1.3462366,0.96827686
C3_Cancel public events,0.044993673,0.025731023,0.043454587,0.025731023,-0.0015390851,0.0,0.9657933,1.0
C4_Restrictions on gatherings,0.044993673,0.025731023,0.07098609,0.025069084,0.02599242,-0.0006619394,1.5776906,0.97427464
C5_Close public transport,0.044993673,0.025731023,0.052253403,0.03646414,0.0072597302,0.010733116,1.16135,1.4171275
C6_Stay at home requirements,0.044993673,0.025731023,0.04773674,0.025731023,0.002743069,0.0,1.0609657,1.0
C7_Restrictions on internal movement,0.044993673,0.025731023,0.036329184,0.025731023,-0.008664489,0.0,0.8074287,1.0
C8_International travel controls,0.044993673,0.025731023,0.050999332,0.028511591,0.0060056597,0.0027805679,1.1334779,1.1080629
E1_Income support,0.044993673,0.025731023,0.03526355,0.049587585,-0.009730123,0.023856562,0.78374463,1.9271517
E2_Debt/contract relief,0.044993673,0.025731023,0.040885814,0.033945374,-0.004107859,0.008214351,0.9087014,1.3192391
E3_Fiscal measures,0.044993673,0.025731023,0.041580737,0.025731023,-0.0034129359,0.0,0.9241463,1.0
E4_International support,0.044993673,0.025731023,0.044993673,0.025731023,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.044993673,0.025731023,0.05229037,0.025731023,0.0072966963,0.0,1.1621716,1.0
H2_Testing policy,0.044993673,0.025731023,0.07110501,0.019185355,0.026111338,-0.0065456685,1.5803336,0.7456118
H3_Contact tracing,0.044993673,0.025731023,0.032092705,0.025731023,-0.012900967,0.0,0.7132715,1.0
H4_Emergency investment in healthcare,0.044993673,0.025731023,0.04508909,0.024748199,9.541586e-05,-0.0009828247,1.0021206,0.9618039
H5_Investment in vaccines,0.044993673,0.025731023,0.045058142,0.026579821,6.4469874e-05,0.0008487981,1.0014329,1.0329874
H6_Facial Coverings,0.044993673,0.025731023,0.036522552,0.023922864,-0.00847112,-0.001808159,0.8117264,0.92972845
H7_Vaccination policy,0.044993673,0.025731023,0.046584714,0.026391588,0.0015910417,0.00066056475,1.0353614,1.025672
H8_Protection of elderly people,0.044993673,0.025731023,0.043699857,0.025731023,-0.0012938157,0.0,0.9712445,1.0
V1_Vaccine Prioritisation (summary),0.044993673,0.025731023,0.044993673,0.025731023,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.044993673,0.025731023,0.044993673,0.025731023,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.044993673,0.025731023,0.044993673,0.025731023,0.0,0.0,1.0,1.0
