,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.03024936,0.020905783,0.025457395,0.015739076,-0.004791964,-0.0051667076,0.8415846,0.7528575
C2_Workplace closing,0.03024936,0.020905783,0.036235597,0.01969765,0.005986238,-0.001208134,1.1978964,0.94221056
C3_Cancel public events,0.03024936,0.020905783,0.02935474,0.020905783,-0.00089461915,0.0,0.9704252,1.0
C4_Restrictions on gatherings,0.03024936,0.020905783,0.043650184,0.0283674,0.013400825,0.007461617,1.4430119,1.3569164
C5_Close public transport,0.03024936,0.020905783,0.03264717,0.022524891,0.002397811,0.001619108,1.0792682,1.0774479
C6_Stay at home requirements,0.03024936,0.020905783,0.031792793,0.02107245,0.0015434343,0.00016666576,1.0510237,1.0079722
C7_Restrictions on internal movement,0.03024936,0.020905783,0.024594443,0.020905783,-0.005654916,0.0,0.81305665,1.0
C8_International travel controls,0.03024936,0.020905783,0.032781802,0.020905783,0.002532443,0.0,1.0837189,1.0
E1_Income support,0.03024936,0.020905783,0.03249963,0.01629218,0.002250271,-0.0046136025,1.0743906,0.7793145
E2_Debt/contract relief,0.03024936,0.020905783,0.035301797,0.01737959,0.005052438,-0.003526194,1.1670263,0.8313293
E3_Fiscal measures,0.03024936,0.020905783,0.02947902,0.020905783,-0.00077033974,0.0,0.9745337,1.0
E4_International support,0.03024936,0.020905783,0.03024936,0.020905783,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.03024936,0.020905783,0.03515733,0.0209608,0.0049079712,5.501695e-05,1.1622504,1.0026317
H2_Testing policy,0.03024936,0.020905783,0.043330655,0.040707324,0.013081295,0.01980154,1.4324486,1.94718
H3_Contact tracing,0.03024936,0.020905783,0.02824583,0.019592937,-0.0020035282,-0.0013128463,0.93376625,0.93720174
H4_Emergency investment in healthcare,0.03024936,0.020905783,0.03022025,0.020905783,-2.9109418e-05,0.0,0.9990377,1.0
H5_Investment in vaccines,0.03024936,0.020905783,0.030310346,0.020905783,6.0986727e-05,0.0,1.0020162,1.0
H6_Facial Coverings,0.03024936,0.020905783,0.024930304,0.020905783,-0.005319055,0.0,0.82415974,1.0
H7_Vaccination policy,0.03024936,0.020905783,0.039603468,0.023932798,0.009354109,0.0030270144,1.3092333,1.1447932
H8_Protection of elderly people,0.03024936,0.020905783,0.029458303,0.020905783,-0.0007910561,0.0,0.9738488,1.0
V1_Vaccine Prioritisation (summary),0.03024936,0.020905783,0.03024936,0.020905783,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.03024936,0.020905783,0.03024936,0.020905783,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.03024936,0.020905783,0.03024936,0.020905783,0.0,0.0,1.0,1.0
