,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.031062232,0.016486803,0.025970176,0.022773128,-0.0050920565,0.006286325,0.8360692,1.3812944
C2_Workplace closing,0.031062232,0.016486803,0.037207097,0.016449023,0.0061448645,-3.778003e-05,1.1978244,0.99770844
C3_Cancel public events,0.031062232,0.016486803,0.03002153,0.016486803,-0.0010407027,0.0,0.9664962,1.0
C4_Restrictions on gatherings,0.031062232,0.016486803,0.04390342,0.01611072,0.012841189,-0.00037608296,1.413402,0.9771888
C5_Close public transport,0.031062232,0.016486803,0.036700718,0.018277965,0.005638486,0.0017911624,1.1815223,1.1086422
C6_Stay at home requirements,0.031062232,0.016486803,0.032638468,0.01639139,0.0015762355,-9.5414e-05,1.0507444,0.9942127
C7_Restrictions on internal movement,0.031062232,0.016486803,0.025014035,0.016486803,-0.006048197,0.0,0.8052878,1.0
C8_International travel controls,0.031062232,0.016486803,0.03380766,0.016486803,0.002745429,0.0,1.0883847,1.0
E1_Income support,0.031062232,0.016486803,0.032456215,0.027431723,0.0013939831,0.01094492,1.044877,1.6638595
E2_Debt/contract relief,0.031062232,0.016486803,0.031937804,0.0366106,0.00087557174,0.020123797,1.0281876,2.2206004
E3_Fiscal measures,0.031062232,0.016486803,0.029167002,0.016486803,-0.0018952303,0.0,0.938986,1.0
E4_International support,0.031062232,0.016486803,0.031062232,0.016486803,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.031062232,0.016486803,0.03578902,0.016905759,0.004726788,0.00041895546,1.1521715,1.0254116
H2_Testing policy,0.031062232,0.016486803,0.047588337,0.017692609,0.016526105,0.0012058057,1.5320321,1.0731376
H3_Contact tracing,0.031062232,0.016486803,0.027105276,0.043054085,-0.003956957,0.026567282,0.87261194,2.611427
H4_Emergency investment in healthcare,0.031062232,0.016486803,0.031126298,0.016486803,6.406568e-05,0.0,1.0020624,1.0
H5_Investment in vaccines,0.031062232,0.016486803,0.031183371,0.016486803,0.00012113899,0.0,1.0038999,1.0
H6_Facial Coverings,0.031062232,0.016486803,0.025326619,0.016765604,-0.0057356134,0.00027880073,0.8153509,1.0169106
H7_Vaccination policy,0.031062232,0.016486803,0.039071854,0.032689378,0.008009622,0.016202575,1.2578572,1.9827602
H8_Protection of elderly people,0.031062232,0.016486803,0.030294474,0.016486803,-0.0007677581,0.0,0.9752832,1.0
V1_Vaccine Prioritisation (summary),0.031062232,0.016486803,0.031062232,0.016486803,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.031062232,0.016486803,0.031062232,0.016486803,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.031062232,0.016486803,0.031062232,0.016486803,0.0,0.0,1.0,1.0
