,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.035999816,0.009524801,0.030850928,0.019657783,-0.0051488876,0.010132982,0.8569746,2.0638523
C2_Workplace closing,0.035999816,0.009524801,0.04455212,0.011273676,0.008552305,0.0017488748,1.2375653,1.1836127
C3_Cancel public events,0.035999816,0.009524801,0.03488412,0.009524801,-0.0011156946,0.0,0.9690083,1.0
C4_Restrictions on gatherings,0.035999816,0.009524801,0.047946736,0.006949601,0.01194692,-0.0025751996,1.3318605,0.7296322
C5_Close public transport,0.035999816,0.009524801,0.0422411,0.01267565,0.0062412843,0.0031508496,1.1733699,1.3308048
C6_Stay at home requirements,0.035999816,0.009524801,0.037676767,0.009428189,0.0016769506,-9.661168e-05,1.0465822,0.98985684
C7_Restrictions on internal movement,0.035999816,0.009524801,0.029435934,0.009524801,-0.0065638814,0.0,0.81766903,1.0
C8_International travel controls,0.035999816,0.009524801,0.038990963,0.0094921375,0.0029911473,-3.2663345e-05,1.0830878,0.9965707
E1_Income support,0.035999816,0.009524801,0.036558602,0.023352686,0.0005587861,0.0138278855,1.0155219,2.451777
E2_Debt/contract relief,0.035999816,0.009524801,0.036914475,0.030388854,0.00091465935,0.020864055,1.0254073,3.1904976
E3_Fiscal measures,0.035999816,0.009524801,0.03441705,0.009524801,-0.0015827641,0.0,0.9560341,1.0
E4_International support,0.035999816,0.009524801,0.035999816,0.009524801,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.035999816,0.009524801,0.040569793,0.008844364,0.0045699775,-0.0006804364,1.1269444,0.9285616
H2_Testing policy,0.035999816,0.009524801,0.0546294,0.006594332,0.018629584,-0.0029304689,1.5174911,0.6923328
H3_Contact tracing,0.035999816,0.009524801,0.030704396,0.034418218,-0.00529542,0.024893418,0.85290426,3.6135368
H4_Emergency investment in healthcare,0.035999816,0.009524801,0.036082998,0.009518944,8.318201e-05,-5.8570877e-06,1.0023106,0.99938506
H5_Investment in vaccines,0.035999816,0.009524801,0.036040056,0.009524801,4.0240586e-05,0.0,1.0011178,1.0
H6_Facial Coverings,0.035999816,0.009524801,0.029387847,0.00847451,-0.0066119693,-0.0010502907,0.81633323,0.88973093
H7_Vaccination policy,0.035999816,0.009524801,0.044878,0.024168294,0.008878183,0.014643493,1.2466174,2.5374067
H8_Protection of elderly people,0.035999816,0.009524801,0.03522937,0.009524801,-0.0007704459,0.0,0.9785986,1.0
V1_Vaccine Prioritisation (summary),0.035999816,0.009524801,0.035999816,0.009524801,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.035999816,0.009524801,0.035999816,0.009524801,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.035999816,0.009524801,0.035999816,0.009524801,0.0,0.0,1.0,1.0
