,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.02963169,0.008726395,0.024779536,0.0069785044,-0.0048521534,-0.0017478904,0.8362512,0.79970074
C2_Workplace closing,0.02963169,0.008726395,0.035675734,0.007182116,0.006044045,-0.0015442786,1.2039723,0.82303363
C3_Cancel public events,0.02963169,0.008726395,0.028613854,0.008522173,-0.001017835,-0.00020422135,0.96565044,0.9765973
C4_Restrictions on gatherings,0.02963169,0.008726395,0.044690568,0.009789745,0.015058879,0.0010633506,1.5082018,1.1218545
C5_Close public transport,0.02963169,0.008726395,0.030011335,0.008378346,0.0003796462,-0.00034804828,1.0128121,0.96011543
C6_Stay at home requirements,0.02963169,0.008726395,0.031129384,0.008726395,0.0014976952,0.0,1.0505437,1.0
C7_Restrictions on internal movement,0.02963169,0.008726395,0.024237799,0.008726395,-0.0053938907,0.0,0.81796885,1.0
C8_International travel controls,0.02963169,0.008726395,0.03195605,0.008726395,0.0023243614,0.0,1.0784417,1.0
E1_Income support,0.02963169,0.008726395,0.032259427,0.0064951754,0.0026277378,-0.0022312193,1.08868,0.7443137
E2_Debt/contract relief,0.02963169,0.008726395,0.035718,0.0049637873,0.0060863122,-0.0037626075,1.2053988,0.5688245
E3_Fiscal measures,0.02963169,0.008726395,0.029316496,0.008726395,-0.0003151931,0.0,0.98936296,1.0
E4_International support,0.02963169,0.008726395,0.02963169,0.008726395,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.02963169,0.008726395,0.034912694,0.008142536,0.005281005,-0.00058385916,1.1782216,0.9330927
H2_Testing policy,0.02963169,0.008726395,0.04224761,0.020284254,0.012615919,0.011557859,1.4257576,2.3244712
H3_Contact tracing,0.02963169,0.008726395,0.027850814,0.007586837,-0.001780875,-0.0011395579,0.9398996,0.86941254
H4_Emergency investment in healthcare,0.02963169,0.008726395,0.029023198,0.008726395,-0.0006084908,0.0,0.9794649,1.0
H5_Investment in vaccines,0.02963169,0.008726395,0.029655855,0.008726395,2.4165958e-05,0.0,1.0008155,1.0
H6_Facial Coverings,0.02963169,0.008726395,0.025072508,0.008726395,-0.0045591816,0.0,0.8461383,1.0
H7_Vaccination policy,0.02963169,0.008726395,0.038929094,0.021103315,0.009297404,0.01237692,1.3137656,2.4183314
H8_Protection of elderly people,0.02963169,0.008726395,0.02894275,0.010752456,-0.0006889384,0.0020260615,0.97674996,1.2321762
V1_Vaccine Prioritisation (summary),0.02963169,0.008726395,0.02963169,0.008726395,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.02963169,0.008726395,0.02963169,0.008726395,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.02963169,0.008726395,0.02963169,0.008726395,0.0,0.0,1.0,1.0
