,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.05916158,0.027791718,0.01546386,0.058201596,-0.043697722,0.030409878,0.26138347,2.0942066
C2_Workplace closing,0.05916158,0.027791718,0.015883252,0.057925094,-0.04327833,0.030133376,0.2684724,2.0842574
C3_Cancel public events,0.05916158,0.027791718,0.016012006,0.05255756,-0.043149576,0.024765844,0.27064872,1.8911232
C4_Restrictions on gatherings,0.05916158,0.027791718,0.020654643,0.21528429,-0.03850694,0.18749256,0.34912255,7.746347
C5_Close public transport,0.05916158,0.027791718,0.05748641,0.21929741,-0.0016751699,0.19150569,0.9716848,7.8907466
C6_Stay at home requirements,0.05916158,0.027791718,0.063697,0.15394667,0.0045354217,0.12615494,1.0766616,5.5393
C7_Restrictions on internal movement,0.05916158,0.027791718,0.09548249,0.20010164,0.03632091,0.17230992,1.6139272,7.200046
C8_International travel controls,0.05916158,0.027791718,0.17752832,0.059618957,0.11836674,0.03182724,3.0007367,2.145206
E1_Income support,0.05916158,0.027791718,1.3140594,1.6821722,1.2548978,1.6543804,22.211363,60.527824
E2_Debt/contract relief,0.05916158,0.027791718,3.6562965,5.521243,3.5971348,5.4934516,61.801872,198.66505
E3_Fiscal measures,0.05916158,0.027791718,0.79992265,0.76512957,0.74076104,0.7373378,13.520982,27.530848
E4_International support,0.05916158,0.027791718,0.79707676,0.9615136,0.73791516,0.93372184,13.4728775,34.597126
H1_Public information campaigns,0.05916158,0.027791718,1.4047137,3.0196147,1.3455522,2.991823,23.743681,108.6516
H2_Testing policy,0.05916158,0.027791718,1.391242,3.013676,1.3320805,2.9858842,23.51597,108.43791
H3_Contact tracing,0.05916158,0.027791718,0.6792624,0.83863246,0.6201008,0.8108407,11.481478,30.175625
H4_Emergency investment in healthcare,0.05916158,0.027791718,1.035077,3.9992332,0.9759154,3.9714415,17.495762,143.90018
H5_Investment in vaccines,0.05916158,0.027791718,0.44693398,0.3513325,0.3877724,0.32354078,7.5544634,12.641625
H6_Facial Coverings,0.05916158,0.027791718,1.4448187,1.6627091,1.3856572,1.6349174,24.42157,59.827503
H7_Vaccination policy,0.05916158,0.027791718,1.4111046,1.058343,1.351943,1.0305513,23.851706,38.081238
H8_Protection of elderly people,0.05916158,0.027791718,0.74758524,0.5590432,0.68842363,0.5312515,12.63633,20.115461
V1_Vaccine Prioritisation (summary),0.05916158,0.027791718,2.1152072,4.2125444,2.0560455,4.184753,35.753056,151.57553
V2_Vaccine Availability (summary),0.05916158,0.027791718,0.8711566,2.3117983,0.81199497,2.2840066,14.725039,83.18299
V3_Vaccine Financial Support (summary),0.05916158,0.027791718,4.9001584,11.1306715,4.8409967,11.10288,82.8267,400.50317
