,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.047166202,0.14235343,0.015596986,0.07837313,-0.031569216,-0.0639803,0.3306814,0.55055314
C2_Workplace closing,0.047166202,0.14235343,0.03598853,0.05748205,-0.011177674,-0.08487138,0.76301515,0.40379813
C3_Cancel public events,0.047166202,0.14235343,0.056316342,0.24872163,0.00915014,0.1063682,1.1939979,1.747212
C4_Restrictions on gatherings,0.047166202,0.14235343,0.22030295,0.057284757,0.17313676,-0.08506867,4.67078,0.4024122
C5_Close public transport,0.047166202,0.14235343,2.7111242,3.551894,2.663958,3.4095404,57.480232,24.951235
C6_Stay at home requirements,0.047166202,0.14235343,3.644585,5.879475,3.5974188,5.7371216,77.27111,41.301956
C7_Restrictions on internal movement,0.047166202,0.14235343,6.65124,12.056172,6.6040735,11.913819,141.01707,84.691826
C8_International travel controls,0.047166202,0.14235343,0.3018647,0.7931262,0.25469851,0.6507728,6.4000216,5.571529
E1_Income support,0.047166202,0.14235343,0.5098803,1.1588866,0.4627141,1.0165331,10.810289,8.14091
E2_Debt/contract relief,0.047166202,0.14235343,12.601854,18.261229,12.554688,18.118876,267.17975,128.28091
E3_Fiscal measures,0.047166202,0.14235343,2.6706023,5.610475,2.6234362,5.4681215,56.6211,39.412292
E4_International support,0.047166202,0.14235343,2.4432085,6.440991,2.3960423,6.2986374,51.799984,45.246475
H1_Public information campaigns,0.047166202,0.14235343,7.922726,21.19947,7.87556,21.057117,167.97464,148.92139
H2_Testing policy,0.047166202,0.14235343,1.2864249,4.584959,1.2392586,4.4426055,27.274294,32.20828
H3_Contact tracing,0.047166202,0.14235343,5.028734,11.954637,4.981568,11.8122835,106.617325,83.97856
H4_Emergency investment in healthcare,0.047166202,0.14235343,8.93887,25.657707,8.891705,25.515354,189.51855,180.23947
H5_Investment in vaccines,0.047166202,0.14235343,12.108958,12.068778,12.061792,11.926425,256.72955,84.78038
H6_Facial Coverings,0.047166202,0.14235343,1.8616986,4.3944416,1.8145324,4.252088,39.47103,30.869938
H7_Vaccination policy,0.047166202,0.14235343,9.390606,7.5457373,9.34344,7.4033837,199.09608,53.007065
H8_Protection of elderly people,0.047166202,0.14235343,55.14775,52.745358,55.100586,52.603004,1169.2218,370.52396
V1_Vaccine Prioritisation (summary),0.047166202,0.14235343,23.810308,17.93717,23.763142,17.794817,504.81717,126.00448
V2_Vaccine Availability (summary),0.047166202,0.14235343,1.2050415,2.4240382,1.1578753,2.2816846,25.548836,17.028309
V3_Vaccine Financial Support (summary),0.047166202,0.14235343,23.61878,23.876062,23.571613,23.73371,500.75644,167.72383
