,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.004306455,0.13442884,0.0062619178,0.17615929,0.0019554626,0.04173045,1.4540771,1.3104278
C2_Workplace closing,0.004306455,0.13442884,0.0103512965,0.10431588,0.0060448414,-0.030112967,2.4036698,0.7759933
C3_Cancel public events,0.004306455,0.13442884,0.007462741,0.102097,0.0031562857,-0.032331847,1.7329197,0.7594873
C4_Restrictions on gatherings,0.004306455,0.13442884,0.0055948673,0.13442884,0.0012884121,0.0,1.2991816,1.0
C5_Close public transport,0.004306455,0.13442884,0.006176863,0.16231526,0.0018704077,0.02788642,1.4343265,1.2074437
C6_Stay at home requirements,0.004306455,0.13442884,0.0036257533,0.14623222,-0.0006807018,0.011803374,0.84193456,1.0878038
C7_Restrictions on internal movement,0.004306455,0.13442884,0.006354908,0.1354648,0.0020484529,0.0010359585,1.4756703,1.0077064
C8_International travel controls,0.004306455,0.13442884,0.0040083677,0.14612682,-0.00029808749,0.011697978,0.93078125,1.0870198
E1_Income support,0.004306455,0.13442884,0.0053125746,0.13442884,0.0010061194,0.0,1.2336305,1.0
E2_Debt/contract relief,0.004306455,0.13442884,0.0044894456,0.2833153,0.00018299045,0.14888646,1.0424922,2.1075485
E3_Fiscal measures,0.004306455,0.13442884,0.0043063043,0.13442884,-1.5087426e-07,0.0,0.99996495,1.0
E4_International support,0.004306455,0.13442884,0.0043284236,0.13442884,2.1968503e-05,0.0,1.0051013,1.0
H1_Public information campaigns,0.004306455,0.13442884,0.005625454,0.13442884,0.0013189986,0.0,1.3062841,1.0
H2_Testing policy,0.004306455,0.13442884,0.0033476069,0.16391057,-0.0009588483,0.029481724,0.77734625,1.219311
H3_Contact tracing,0.004306455,0.13442884,0.004154775,0.121991806,-0.00015168032,-0.012437038,0.96477836,0.9074824
H4_Emergency investment in healthcare,0.004306455,0.13442884,0.004291116,0.13442884,-1.5339348e-05,0.0,0.9964381,1.0
H5_Investment in vaccines,0.004306455,0.13442884,0.004293469,0.13442884,-1.2986362e-05,0.0,0.9969844,1.0
H6_Facial Coverings,0.004306455,0.13442884,0.0045041703,0.124026805,0.00019771513,-0.010402039,1.0459113,0.9226205
H7_Vaccination policy,0.004306455,0.13442884,0.004167275,0.26855218,-0.0001391801,0.13412334,0.96768105,1.9977274
H8_Protection of elderly people,0.004306455,0.13442884,0.006699466,0.19290945,0.002393011,0.058480605,1.55568,1.4350302
V1_Vaccine Prioritisation (summary),0.004306455,0.13442884,0.0037817205,0.18198088,-0.0005247346,0.047552034,0.8781516,1.3537339
V2_Vaccine Availability (summary),0.004306455,0.13442884,0.0038015917,0.10382977,-0.00050486345,-0.030599073,0.8827659,0.7723772
V3_Vaccine Financial Support (summary),0.004306455,0.13442884,0.004867987,0.08326128,0.00056153163,-0.051167563,1.130393,0.61937064
