,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.019352097,0.0002962177,0.022752656,0.00034819898,0.0034005586,5.1981275e-05,1.1757205,1.1754833
C2_Workplace closing,0.019352097,0.0002962177,0.020349525,0.00048618438,0.0009974279,0.00018996667,1.0515411,1.6413076
C3_Cancel public events,0.019352097,0.0002962177,0.017364994,0.00031693565,-0.0019871034,2.071794e-05,0.8973184,1.0699416
C4_Restrictions on gatherings,0.019352097,0.0002962177,0.020885216,0.00040325837,0.001533119,0.00010704066,1.0792223,1.361358
C5_Close public transport,0.019352097,0.0002962177,0.027888343,0.0002985076,0.008536246,2.2898894e-06,1.4411018,1.0077305
C6_Stay at home requirements,0.019352097,0.0002962177,0.018915726,0.0002803089,-0.0004363712,-1.5908823e-05,0.97745097,0.9462935
C7_Restrictions on internal movement,0.019352097,0.0002962177,0.019839365,0.0002962177,0.00048726797,0.0,1.025179,1.0
C8_International travel controls,0.019352097,0.0002962177,0.019331526,0.00036836407,-2.0571053e-05,7.214636e-05,0.998937,1.2435585
E1_Income support,0.019352097,0.0002962177,0.028320862,0.0002962177,0.008968765,0.0,1.4634519,1.0
E2_Debt/contract relief,0.019352097,0.0002962177,0.043679517,0.00093751616,0.02432742,0.0006412985,2.2570949,3.1649566
E3_Fiscal measures,0.019352097,0.0002962177,0.019349976,0.0002962177,-2.1215528e-06,0.0,0.9998904,1.0
E4_International support,0.019352097,0.0002962177,0.019378282,0.00029753408,2.6185066e-05,1.3163663e-06,1.0013531,1.0044439
H1_Public information campaigns,0.019352097,0.0002962177,0.019941133,0.0002962177,0.00058903545,0.0,1.0304378,1.0
H2_Testing policy,0.019352097,0.0002962177,0.02238379,0.00029818818,0.0030316934,1.9704748e-06,1.1566597,1.0066521
H3_Contact tracing,0.019352097,0.0002962177,0.019583827,0.0011171869,0.00023172982,0.0008209691,1.0119745,3.7715058
H4_Emergency investment in healthcare,0.019352097,0.0002962177,0.019339865,0.0002962177,-1.2231991e-05,0.0,0.99936795,1.0
H5_Investment in vaccines,0.019352097,0.0002962177,0.019342974,0.0002962177,-9.123236e-06,0.0,0.9995286,1.0
H6_Facial Coverings,0.019352097,0.0002962177,0.018041862,0.00029833146,-0.0013102349,2.113753e-06,0.93229496,1.0071359
H7_Vaccination policy,0.019352097,0.0002962177,0.042858828,0.0006806276,0.02350673,0.00038440988,2.2146864,2.2977276
H8_Protection of elderly people,0.019352097,0.0002962177,0.029141843,0.0006221924,0.009789746,0.0003259747,1.5058752,2.1004565
V1_Vaccine Prioritisation (summary),0.019352097,0.0002962177,0.020617943,0.00093454163,0.0012658462,0.00063832395,1.0654113,3.1549149
V2_Vaccine Availability (summary),0.019352097,0.0002962177,0.01905795,0.0002483418,-0.00029414706,-4.7875918e-05,0.9848002,0.8383759
V3_Vaccine Financial Support (summary),0.019352097,0.0002962177,0.017325297,0.00031560994,-0.0020268,1.9392231e-05,0.8952672,1.0654662
