,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.103040166,0.010652593,0.12943101,0.012598859,0.026390843,0.0019462658,1.2561219,1.1827035
C2_Workplace closing,0.103040166,0.010652593,0.14719097,0.006571337,0.044150807,-0.004081256,1.4284816,0.6168767
C3_Cancel public events,0.103040166,0.010652593,0.1359716,0.00915347,0.03293144,-0.0014991229,1.3195981,0.8592715
C4_Restrictions on gatherings,0.103040166,0.010652593,0.09658569,0.010652593,-0.006454475,0.0,0.93735963,1.0
C5_Close public transport,0.103040166,0.010652593,0.09775442,0.015708454,-0.0052857473,0.0050558606,0.9487021,1.4746131
C6_Stay at home requirements,0.103040166,0.010652593,0.09641991,0.010777424,-0.006620258,0.00012483075,0.9357507,1.0117184
C7_Restrictions on internal movement,0.103040166,0.010652593,0.12015164,0.013475755,0.017111473,0.002823162,1.166066,1.2650211
C8_International travel controls,0.103040166,0.010652593,0.09322678,0.011477818,-0.009813383,0.00082522444,0.90476155,1.077467
E1_Income support,0.103040166,0.010652593,0.105223715,0.011198712,0.002183549,0.00054611824,1.0211912,1.0512662
E2_Debt/contract relief,0.103040166,0.010652593,0.1108702,0.010652593,0.007830031,0.0,1.0759901,1.0
E3_Fiscal measures,0.103040166,0.010652593,0.103041254,0.010652593,1.0877848e-06,0.0,1.0000106,1.0
E4_International support,0.103040166,0.010652593,0.10326292,0.010652593,0.00022275746,0.0,1.0021619,1.0
H1_Public information campaigns,0.103040166,0.010652593,0.10689846,0.010652593,0.0038582906,0.0,1.0374445,1.0
H2_Testing policy,0.103040166,0.010652593,0.088434376,0.00986212,-0.01460579,-0.0007904731,0.8582515,0.92579526
H3_Contact tracing,0.103040166,0.010652593,0.111622594,0.0073706377,0.008582428,-0.0032819556,1.083292,0.69191015
H4_Emergency investment in healthcare,0.103040166,0.010652593,0.10303258,0.010652593,-7.584691e-06,0.0,0.9999264,1.0
H5_Investment in vaccines,0.103040166,0.010652593,0.10298066,0.010652593,-5.9507787e-05,0.0,0.9994225,1.0
H6_Facial Coverings,0.103040166,0.010652593,0.1088142,0.010192025,0.005774036,-0.00046056788,1.0560367,0.9567647
H7_Vaccination policy,0.103040166,0.010652593,0.10790102,0.016686754,0.0048608556,0.006034161,1.0471743,1.56645
H8_Protection of elderly people,0.103040166,0.010652593,0.103144005,0.014836522,0.00010383874,0.0041839285,1.0010078,1.3927615
V1_Vaccine Prioritisation (summary),0.103040166,0.010652593,0.1043891,0.009257887,0.0013489351,-0.0013947068,1.0130913,0.8690735
V2_Vaccine Availability (summary),0.103040166,0.010652593,0.106829524,0.008098348,0.0037893578,-0.0025542453,1.0367756,0.76022315
V3_Vaccine Financial Support (summary),0.103040166,0.010652593,0.11033056,0.0042287717,0.007290393,-0.0064238217,1.070753,0.3969711
