,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.10930273,0.026450237,0.13759921,0.027016671,0.028296486,0.0005664341,1.2588818,1.0214151
C2_Workplace closing,0.10930273,0.026450237,0.15852898,0.015200574,0.049226254,-0.011249663,1.4503661,0.57468575
C3_Cancel public events,0.10930273,0.026450237,0.14293657,0.02079693,0.033633843,-0.005653307,1.3077128,0.7862663
C4_Restrictions on gatherings,0.10930273,0.026450237,0.100058734,0.026450237,-0.009243995,0.0,0.91542757,1.0
C5_Close public transport,0.10930273,0.026450237,0.10577433,0.02834759,-0.0035284013,0.0018973518,0.967719,1.0717329
C6_Stay at home requirements,0.10930273,0.026450237,0.10103134,0.026500685,-0.008271389,5.044788e-05,0.9243259,1.0019072
C7_Restrictions on internal movement,0.10930273,0.026450237,0.12600017,0.023424655,0.016697437,-0.003025582,1.1527632,0.8856123
C8_International travel controls,0.10930273,0.026450237,0.10105827,0.028604673,-0.008244462,0.002154436,0.9245722,1.0814524
E1_Income support,0.10930273,0.026450237,0.11324199,0.027956162,0.0039392635,0.0015059244,1.03604,1.0569342
E2_Debt/contract relief,0.10930273,0.026450237,0.11237011,0.026450237,0.0030673817,0.0,1.0280632,1.0
E3_Fiscal measures,0.10930273,0.026450237,0.10930599,0.026450237,3.2633543e-06,0.0,1.0000298,1.0
E4_International support,0.10930273,0.026450237,0.10959532,0.026450237,0.00029259175,0.0,1.0026768,1.0
H1_Public information campaigns,0.10930273,0.026450237,0.11319351,0.026450237,0.0038907826,0.0,1.0355964,1.0
H2_Testing policy,0.10930273,0.026450237,0.09071413,0.026534347,-0.018588603,8.4109604e-05,0.8299347,1.0031799
H3_Contact tracing,0.10930273,0.026450237,0.11877317,0.014159775,0.00947044,-0.012290462,1.0866442,0.53533643
H4_Emergency investment in healthcare,0.10930273,0.026450237,0.10929146,0.026450237,-1.1272728e-05,0.0,0.9998969,1.0
H5_Investment in vaccines,0.10930273,0.026450237,0.10926157,0.026450237,-4.1157007e-05,0.0,0.9996235,1.0
H6_Facial Coverings,0.10930273,0.026450237,0.115945876,0.026450237,0.0066431463,0.0,1.0607775,1.0
H7_Vaccination policy,0.10930273,0.026450237,0.11183205,0.026507271,0.002529323,5.7034194e-05,1.0231405,1.0021563
H8_Protection of elderly people,0.10930273,0.026450237,0.106411815,0.026450237,-0.0028909147,0.0,0.97355133,1.0
V1_Vaccine Prioritisation (summary),0.10930273,0.026450237,0.10980134,0.026055131,0.00049860775,-0.00039510615,1.0045617,0.9850623
V2_Vaccine Availability (summary),0.10930273,0.026450237,0.11121843,0.026212785,0.0019157007,-0.00023745187,1.0175265,0.9910227
V3_Vaccine Financial Support (summary),0.10930273,0.026450237,0.11328819,0.025884436,0.003985457,-0.0005658008,1.0364625,0.97860885
