,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.007595718,0.0005941651,0.00662029,0.0006143234,-0.0009754277,2.0158303e-05,0.8715819,1.0339271
C2_Workplace closing,0.007595718,0.0005941651,0.0073839515,0.00060262927,-0.00021176646,8.464151e-06,0.9721203,1.0142455
C3_Cancel public events,0.007595718,0.0005941651,0.0044367583,0.0006614197,-0.0031589596,6.725459e-05,0.5841131,1.1131917
C4_Restrictions on gatherings,0.007595718,0.0005941651,0.0125394985,0.0005941651,0.0049437806,0.0,1.6508641,1.0
C5_Close public transport,0.007595718,0.0005941651,0.0050053457,0.0005951827,-0.0025903722,1.0175863e-06,0.6589694,1.0017127
C6_Stay at home requirements,0.007595718,0.0005941651,0.0097392555,0.00060400827,0.0021435376,9.843148e-06,1.2822034,1.0165664
C7_Restrictions on internal movement,0.007595718,0.0005941651,0.004012219,0.0005941651,-0.0035834988,0.0,0.5282212,1.0
C8_International travel controls,0.007595718,0.0005941651,0.0076223454,0.0006090734,2.6627444e-05,1.49082625e-05,1.0035056,1.025091
E1_Income support,0.007595718,0.0005941651,0.008168359,0.0005941651,0.0005726414,0.0,1.07539,1.0
E2_Debt/contract relief,0.007595718,0.0005941651,0.006343846,0.0011933813,-0.0012518717,0.00059921615,0.8351872,2.008501
E3_Fiscal measures,0.007595718,0.0005941651,0.007591161,0.0005941651,-4.5569614e-06,0.0,0.9994001,1.0
E4_International support,0.007595718,0.0005941651,0.0075960667,0.00059300434,3.487803e-07,-1.1607772e-06,1.0000459,0.9980464
H1_Public information campaigns,0.007595718,0.0005941651,0.006233564,0.0005941651,-0.0013621538,0.0,0.8206682,1.0
H2_Testing policy,0.007595718,0.0005941651,0.010591767,0.0005941651,0.002996049,0.0,1.3944392,1.0
H3_Contact tracing,0.007595718,0.0005941651,0.014358796,0.0005955205,0.0067630783,1.3553654e-06,1.8903804,1.0022811
H4_Emergency investment in healthcare,0.007595718,0.0005941651,0.0075957365,0.0005941651,1.8626451e-08,0.0,1.0000025,1.0
H5_Investment in vaccines,0.007595718,0.0005941651,0.0075378143,0.0005941651,-5.7903584e-05,0.0,0.9923768,1.0
H6_Facial Coverings,0.007595718,0.0005941651,0.00650251,0.00059127586,-0.0010932079,-2.8892537e-06,0.85607576,0.9951373
H7_Vaccination policy,0.007595718,0.0005941651,0.013451502,0.000612024,0.005855784,1.7858867e-05,1.7709322,1.0300571
H8_Protection of elderly people,0.007595718,0.0005941651,0.006509179,0.00059734087,-0.0010865391,3.1757518e-06,0.85695374,1.0053449
V1_Vaccine Prioritisation (summary),0.007595718,0.0005941651,0.011783304,0.0006459498,0.004187586,5.178468e-05,1.5513088,1.0871553
V2_Vaccine Availability (summary),0.007595718,0.0005941651,0.01204548,0.0006394173,0.0044497624,4.5252207e-05,1.5858251,1.076161
V3_Vaccine Financial Support (summary),0.007595718,0.0005941651,0.008976589,0.0007184917,0.001380871,0.00012432656,1.181796,1.2092458
