,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.096406475,0.09412919,0.12118378,0.116583854,0.024777308,0.022454664,1.2570088,1.2385515
C2_Workplace closing,0.096406475,0.09412919,0.13402328,0.0635473,0.037616804,-0.030581892,1.3901896,0.67510724
C3_Cancel public events,0.096406475,0.09412919,0.12521692,0.08409674,0.028810441,-0.010032453,1.2988434,0.89341825
C4_Restrictions on gatherings,0.096406475,0.09412919,0.094980806,0.09412919,-0.0014256686,0.0,0.9852119,1.0
C5_Close public transport,0.096406475,0.09412919,0.09063567,0.11169536,-0.0057708025,0.017566167,0.9401409,1.1866176
C6_Stay at home requirements,0.096406475,0.09412919,0.09085898,0.097582474,-0.0055474937,0.0034532845,0.94245726,1.0366867
C7_Restrictions on internal movement,0.096406475,0.09412919,0.112632476,0.10221735,0.016226001,0.008088157,1.1683083,1.0859262
C8_International travel controls,0.096406475,0.09412919,0.085760616,0.09810373,-0.010645859,0.003974542,0.8895732,1.0422243
E1_Income support,0.096406475,0.09412919,0.09756776,0.09453232,0.0011612847,0.00040312856,1.0120457,1.0042827
E2_Debt/contract relief,0.096406475,0.09412919,0.105281845,0.09412919,0.00887537,0.0,1.092062,1.0
E3_Fiscal measures,0.096406475,0.09412919,0.09640609,0.09412919,-3.874302e-07,0.0,0.999996,1.0
E4_International support,0.096406475,0.09412919,0.09662119,0.09412919,0.00021471828,0.0,1.0022272,1.0
H1_Public information campaigns,0.096406475,0.09412919,0.103137754,0.09412919,0.006731279,0.0,1.0698218,1.0
H2_Testing policy,0.096406475,0.09412919,0.08534797,0.09469153,-0.011058502,0.00056234,0.88529295,1.0059742
H3_Contact tracing,0.096406475,0.09412919,0.10013397,0.08455981,0.0037274957,-0.009569377,1.0386643,0.89833784
H4_Emergency investment in healthcare,0.096406475,0.09412919,0.09640127,0.09412919,-5.207956e-06,0.0,0.999946,1.0
H5_Investment in vaccines,0.096406475,0.09412919,0.096362434,0.09412919,-4.4040382e-05,0.0,0.9995432,1.0
H6_Facial Coverings,0.096406475,0.09412919,0.10049331,0.0910382,0.004086837,-0.0030909926,1.0423918,0.96716225
H7_Vaccination policy,0.096406475,0.09412919,0.102892086,0.12616341,0.006485611,0.03203422,1.0672736,1.3403218
H8_Protection of elderly people,0.096406475,0.09412919,0.09981485,0.11382156,0.0034083724,0.019692369,1.0353541,1.2092057
V1_Vaccine Prioritisation (summary),0.096406475,0.09412919,0.09977954,0.09134357,0.003373064,-0.002785623,1.0349879,0.9704064
V2_Vaccine Availability (summary),0.096406475,0.09412919,0.10135086,0.0797123,0.004944384,-0.014416888,1.0512868,0.84683937
V3_Vaccine Financial Support (summary),0.096406475,0.09412919,0.10256302,0.06572506,0.006156549,-0.028404132,1.0638603,0.6982431
