,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.008533199,0.0019889383,0.009058712,0.0016010863,0.00052551273,-0.00038785196,1.0615845,0.8049955
C2_Workplace closing,0.008533199,0.0019889383,0.008525462,0.0020743636,-7.737428e-06,8.542533e-05,0.99909323,1.0429503
C3_Cancel public events,0.008533199,0.0019889383,0.0041575297,0.0032824613,-0.0043756696,0.001293523,0.48721817,1.6503586
C4_Restrictions on gatherings,0.008533199,0.0019889383,0.013340519,0.0019889383,0.0048073195,0.0,1.5633667,1.0
C5_Close public transport,0.008533199,0.0019889383,0.005514532,0.008000301,-0.0030186675,0.006011363,0.64624435,4.022398
C6_Stay at home requirements,0.008533199,0.0019889383,0.010641733,0.001526004,0.0021085339,-0.00046293426,1.2470977,0.76724553
C7_Restrictions on internal movement,0.008533199,0.0019889383,0.003230312,0.0019889383,-0.0053028874,0.0,0.37855813,1.0
C8_International travel controls,0.008533199,0.0019889383,0.008548604,0.0017634521,1.5405007e-05,-0.00022548623,1.0018053,0.8866299
E1_Income support,0.008533199,0.0019889383,0.008793784,0.0019889383,0.000260585,0.0,1.0305377,1.0
E2_Debt/contract relief,0.008533199,0.0019889383,0.005373017,0.039062932,-0.0031601824,0.037073992,0.6296603,19.640093
E3_Fiscal measures,0.008533199,0.0019889383,0.00853232,0.0019889383,-8.791685e-07,0.0,0.99989694,1.0
E4_International support,0.008533199,0.0019889383,0.008557017,0.0019889383,2.3817644e-05,0.0,1.0027912,1.0
H1_Public information campaigns,0.008533199,0.0019889383,0.0069978717,0.0019889383,-0.0015353276,0.0,0.820076,1.0
H2_Testing policy,0.008533199,0.0019889383,0.012045588,0.0038349868,0.003512389,0.0018460485,1.4116145,1.9281578
H3_Contact tracing,0.008533199,0.0019889383,0.014443821,0.003049545,0.005910622,0.0010606067,1.6926619,1.5332527
H4_Emergency investment in healthcare,0.008533199,0.0019889383,0.0085332785,0.0019889383,7.916242e-08,0.0,1.0000093,1.0
H5_Investment in vaccines,0.008533199,0.0019889383,0.008566766,0.0019889383,3.356673e-05,0.0,1.0039337,1.0
H6_Facial Coverings,0.008533199,0.0019889383,0.0072752354,0.0019495195,-0.001257964,-3.941881e-05,0.85258,0.980181
H7_Vaccination policy,0.008533199,0.0019889383,0.0138191795,0.012186322,0.00528598,0.010197384,1.6194606,6.127049
H8_Protection of elderly people,0.008533199,0.0019889383,0.007258729,0.0014595416,-0.0012744702,-0.0005293967,0.85064566,0.7338295
V1_Vaccine Prioritisation (summary),0.008533199,0.0019889383,0.011572837,0.003803994,0.0030396376,0.0018150557,1.3562131,1.9125751
V2_Vaccine Availability (summary),0.008533199,0.0019889383,0.010852325,0.009092844,0.0023191255,0.007103906,1.2717768,4.5717072
V3_Vaccine Financial Support (summary),0.008533199,0.0019889383,0.009748278,0.0031680001,0.0012150789,0.0011790618,1.1423943,1.5928097
