,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0071216845,0.0005399227,0.005318198,0.0003784246,-0.0018034866,-0.00016149809,0.7467612,0.70088667
C2_Workplace closing,0.0071216845,0.0005399227,0.006878067,0.0005634602,-0.00024361769,2.3537548e-05,0.9657921,1.0435942
C3_Cancel public events,0.0071216845,0.0005399227,0.0043322756,0.00039691446,-0.002789409,-0.00014300822,0.6083217,0.73513204
C4_Restrictions on gatherings,0.0071216845,0.0005399227,0.013119459,0.00055008166,0.0059977747,1.0158983e-05,1.8421848,1.0188156
C5_Close public transport,0.0071216845,0.0005399227,0.0046661873,0.00082319335,-0.0024554972,0.00028327067,0.65520835,1.5246505
C6_Stay at home requirements,0.0071216845,0.0005399227,0.009288776,0.00053388235,0.0021670912,-6.0403254e-06,1.3042947,0.9888126
C7_Restrictions on internal movement,0.0071216845,0.0005399227,0.003913349,0.0005399227,-0.0032083355,0.0,0.54949766,1.0
C8_International travel controls,0.0071216845,0.0005399227,0.007098057,0.00040578947,-2.3627654e-05,-0.00013413321,0.9966823,0.75156957
E1_Income support,0.0071216845,0.0005399227,0.0080231195,0.0005399227,0.00090143504,0.0,1.1265761,1.0
E2_Debt/contract relief,0.0071216845,0.0005399227,0.0059930854,0.0016094111,-0.001128599,0.0010694885,0.8415264,2.9808178
E3_Fiscal measures,0.0071216845,0.0005399227,0.0071202856,0.0005399227,-1.3988465e-06,0.0,0.9998036,1.0
E4_International support,0.0071216845,0.0005399227,0.007122023,0.000599997,3.3853576e-07,6.0074322e-05,1.0000476,1.1112647
H1_Public information campaigns,0.0071216845,0.0005399227,0.0058725686,0.0005399227,-0.0012491159,0.0,0.82460386,1.0
H2_Testing policy,0.0071216845,0.0005399227,0.009696116,0.00060404465,0.0025744312,6.412197e-05,1.3614919,1.1187614
H3_Contact tracing,0.0071216845,0.0005399227,0.012726875,0.0032991362,0.0056051905,0.0027592136,1.7870597,6.1103864
H4_Emergency investment in healthcare,0.0071216845,0.0005399227,0.0071215597,0.0005399227,-1.2479722e-07,0.0,0.9999825,1.0
H5_Investment in vaccines,0.0071216845,0.0005399227,0.007109091,0.0005399227,-1.2593344e-05,0.0,0.9982317,1.0
H6_Facial Coverings,0.0071216845,0.0005399227,0.0060968935,0.0005978574,-0.001024791,5.7934725e-05,0.8561027,1.107302
H7_Vaccination policy,0.0071216845,0.0005399227,0.012657883,0.00045284815,0.005536198,-8.707453e-05,1.777372,0.8387278
H8_Protection of elderly people,0.0071216845,0.0005399227,0.006127755,0.00039498767,-0.0009939293,-0.00014493501,0.8604362,0.7315634
V1_Vaccine Prioritisation (summary),0.0071216845,0.0005399227,0.010698537,0.0007061804,0.0035768528,0.00016625773,1.5022482,1.3079288
V2_Vaccine Availability (summary),0.0071216845,0.0005399227,0.010955024,0.00036077408,0.003833339,-0.0001791486,1.538263,0.66819584
V3_Vaccine Financial Support (summary),0.0071216845,0.0005399227,0.00842966,0.0004988701,0.001307976,-4.1052583e-05,1.183661,0.9239658
