,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0016502792,0.0009910553,0.0013052716,0.008530475,-0.00034500752,0.00753942,0.7909399,8.607467
C2_Workplace closing,0.0016502792,0.0009910553,0.0031961913,0.0036429353,0.0015459121,0.00265188,1.9367579,3.6758144
C3_Cancel public events,0.0016502792,0.0009910553,0.0011817834,0.0688563,-0.00046849577,0.067865245,0.7161112,69.47776
C4_Restrictions on gatherings,0.0016502792,0.0009910553,0.005147912,0.029981067,0.003497633,0.028990012,3.1194189,30.25166
C5_Close public transport,0.0016502792,0.0009910553,0.004441438,0.052356936,0.0027911586,0.051365882,2.6913252,52.829483
C6_Stay at home requirements,0.0016502792,0.0009910553,0.027073195,0.12041164,0.025422916,0.11942059,16.405222,121.49841
C7_Restrictions on internal movement,0.0016502792,0.0009910553,0.17401376,0.3237872,0.17236349,0.32279617,105.445045,326.70953
C8_International travel controls,0.0016502792,0.0009910553,0.13114935,0.29130918,0.12949908,0.29031813,79.47101,293.9384
E1_Income support,0.0016502792,0.0009910553,0.12591866,0.45583427,0.124268375,0.45484322,76.30143,459.9484
E2_Debt/contract relief,0.0016502792,0.0009910553,0.22820467,0.6534135,0.2265544,0.6524224,138.28247,659.31085
E3_Fiscal measures,0.0016502792,0.0009910553,0.0513314,0.3012264,0.049681123,0.30023536,31.104677,303.9451
E4_International support,0.0016502792,0.0009910553,0.0827579,0.4354797,0.08110762,0.43448865,50.147816,439.4101
H1_Public information campaigns,0.0016502792,0.0009910553,0.31944302,0.07233562,0.31779274,0.07134457,193.56908,72.98849
H2_Testing policy,0.0016502792,0.0009910553,2.5498822,1.4468393,2.5482318,1.4458482,1545.1217,1459.8977
H3_Contact tracing,0.0016502792,0.0009910553,1.0216705,1.9226645,1.0200201,1.9216734,619.0895,1940.0175
H4_Emergency investment in healthcare,0.0016502792,0.0009910553,0.78885657,1.2325045,0.7872063,1.2315134,478.014,1243.6284
H5_Investment in vaccines,0.0016502792,0.0009910553,0.3484504,0.1328894,0.34680012,0.13189834,211.14633,134.08879
H6_Facial Coverings,0.0016502792,0.0009910553,1.9970782,5.0831323,1.9954278,5.0821414,1210.1456,5129.01
H7_Vaccination policy,0.0016502792,0.0009910553,2.9364161,4.5581355,2.9347658,4.5571446,1779.3451,4599.275
H8_Protection of elderly people,0.0016502792,0.0009910553,0.58113235,2.1900063,0.5794821,2.1890152,352.14185,2209.772
V1_Vaccine Prioritisation (summary),0.0016502792,0.0009910553,4.994902,3.1502395,4.993252,3.1492484,3026.7014,3178.6719
V2_Vaccine Availability (summary),0.0016502792,0.0009910553,9.589624,13.249218,9.587975,13.248227,5810.9106,13368.798
V3_Vaccine Financial Support (summary),0.0016502792,0.0009910553,5.606806,22.361143,5.6051555,22.360151,3397.4893,22562.963
