,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.003945407,0.03665749,0.019515557,0.16360007,0.015570151,0.12694257,4.946399,4.4629374
C2_Workplace closing,0.003945407,0.03665749,0.01815294,0.16482648,0.014207533,0.128169,4.601031,4.496393
C3_Cancel public events,0.003945407,0.03665749,0.028403431,0.15225713,0.024458025,0.11559964,7.199113,4.1535068
C4_Restrictions on gatherings,0.003945407,0.03665749,0.017890945,0.15980645,0.013945539,0.123148955,4.534626,4.3594484
C5_Close public transport,0.003945407,0.03665749,0.027235452,0.14990345,0.023290046,0.11324596,6.903078,4.089299
C6_Stay at home requirements,0.003945407,0.03665749,0.021711126,0.1689931,0.01776572,0.1323356,5.5028863,4.6100564
C7_Restrictions on internal movement,0.003945407,0.03665749,0.018331897,0.16075146,0.01438649,0.12409397,4.646389,4.385228
C8_International travel controls,0.003945407,0.03665749,0.019995978,0.13379003,0.016050572,0.09713254,5.0681663,3.6497326
E1_Income support,0.003945407,0.03665749,0.033674885,0.14556876,0.029729478,0.10891127,8.535212,3.971051
E2_Debt/contract relief,0.003945407,0.03665749,0.013973534,0.14920534,0.010028128,0.11254785,3.5417218,4.0702553
E3_Fiscal measures,0.003945407,0.03665749,0.019754523,0.16075146,0.015809117,0.12409397,5.006967,4.385228
E4_International support,0.003945407,0.03665749,0.019754319,0.16075146,0.015808912,0.12409397,5.006915,4.385228
H1_Public information campaigns,0.003945407,0.03665749,0.014049337,0.16300648,0.01010393,0.126349,3.5609348,4.4467444
H2_Testing policy,0.003945407,0.03665749,0.026587289,0.16075146,0.022641882,0.12409397,6.738795,4.385228
H3_Contact tracing,0.003945407,0.03665749,0.022699535,0.15880784,0.018754128,0.122150354,5.7534075,4.332207
H4_Emergency investment in healthcare,0.003945407,0.03665749,0.019775372,0.16075146,0.015829965,0.12409397,5.0122514,4.385228
H5_Investment in vaccines,0.003945407,0.03665749,0.019754319,0.16075146,0.015808912,0.12409397,5.006915,4.385228
H6_Facial Coverings,0.003945407,0.03665749,0.018553745,0.16049503,0.0146083385,0.12383754,4.7026186,4.378233
H7_Vaccination policy,0.003945407,0.03665749,0.019480411,0.19974859,0.015535004,0.1630911,4.937491,5.449053
H8_Protection of elderly people,0.003945407,0.03665749,0.021850042,0.16075146,0.017904636,0.12409397,5.538096,4.385228
V1_Vaccine Prioritisation (summary),0.003945407,0.03665749,0.019754319,0.16075146,0.015808912,0.12409397,5.006915,4.385228
V2_Vaccine Availability (summary),0.003945407,0.03665749,0.019754319,0.16075146,0.015808912,0.12409397,5.006915,4.385228
V3_Vaccine Financial Support (summary),0.003945407,0.03665749,0.019754319,0.16075146,0.015808912,0.12409397,5.006915,4.385228
