,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0083773015,0.028619805,0.009061737,0.02953173,0.0006844355,0.000911925,1.0817012,1.0318635
C2_Workplace closing,0.0083773015,0.028619805,0.00877014,0.028108604,0.00039283838,-0.0005112011,1.0468932,0.9821382
C3_Cancel public events,0.0083773015,0.028619805,0.009955735,0.028907498,0.0015784334,0.000287693,1.1884179,1.0100522
C4_Restrictions on gatherings,0.0083773015,0.028619805,0.009819604,0.026491603,0.001442303,-0.0021282025,1.172168,0.9256388
C5_Close public transport,0.0083773015,0.028619805,0.011026306,0.027017716,0.0026490046,-0.001602089,1.3162122,0.94402164
C6_Stay at home requirements,0.0083773015,0.028619805,0.010534946,0.02905073,0.0021576444,0.00043092482,1.2575583,1.0150568
C7_Restrictions on internal movement,0.0083773015,0.028619805,0.0079646595,0.028619805,-0.00041264202,0.0,0.95074284,1.0
C8_International travel controls,0.0083773015,0.028619805,0.010735157,0.028919224,0.0023578554,0.00029941835,1.2814577,1.0104619
E1_Income support,0.0083773015,0.028619805,0.031039601,0.031597845,0.0226623,0.00297804,3.7052028,1.1040552
E2_Debt/contract relief,0.0083773015,0.028619805,0.0067213536,0.028120968,-0.0016559479,-0.00049883686,0.8023292,0.98257023
E3_Fiscal measures,0.0083773015,0.028619805,0.00842686,0.028619805,4.9558468e-05,0.0,1.0059158,1.0
E4_International support,0.0083773015,0.028619805,0.0083773015,0.028619805,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.0083773015,0.028619805,0.008065184,0.028497376,-0.00031211786,-0.0001224298,0.96274245,0.9957222
H2_Testing policy,0.0083773015,0.028619805,0.006971436,0.028619805,-0.0014058654,0.0,0.8321816,1.0
H3_Contact tracing,0.0083773015,0.028619805,0.007241494,0.026985446,-0.0011358075,-0.0016343594,0.86441845,0.9428941
H4_Emergency investment in healthcare,0.0083773015,0.028619805,0.008379193,0.028619805,1.8915161e-06,0.0,1.0002258,1.0
H5_Investment in vaccines,0.0083773015,0.028619805,0.0083773015,0.028619805,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.0083773015,0.028619805,0.009861768,0.028619805,0.0014844667,0.0,1.177201,1.0
H7_Vaccination policy,0.0083773015,0.028619805,0.017453913,0.071625285,0.009076611,0.04300548,2.0834768,2.5026474
H8_Protection of elderly people,0.0083773015,0.028619805,0.007737541,0.028619805,-0.0006397604,0.0,0.92363167,1.0
V1_Vaccine Prioritisation (summary),0.0083773015,0.028619805,0.0083773015,0.028619805,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.0083773015,0.028619805,0.0083773015,0.028619805,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.0083773015,0.028619805,0.0083773015,0.028619805,0.0,0.0,1.0,1.0
