,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.030865965,0.06438689,0.033772837,0.064286985,0.002906872,-9.9904835e-05,1.0941772,0.9984484
C2_Workplace closing,0.030865965,0.06438689,0.031001456,0.06357017,0.00013549067,-0.00081671774,1.0043896,0.9873155
C3_Cancel public events,0.030865965,0.06438689,0.036685392,0.06469523,0.005819427,0.00030834228,1.1885387,1.0047889
C4_Restrictions on gatherings,0.030865965,0.06438689,0.029052181,0.06438689,-0.0018137842,0.0,0.94123673,1.0
C5_Close public transport,0.030865965,0.06438689,0.03928644,0.07464776,0.008420473,0.010260873,1.2728077,1.1593628
C6_Stay at home requirements,0.030865965,0.06438689,0.03162092,0.06438689,0.0007549543,0.0,1.0244591,1.0
C7_Restrictions on internal movement,0.030865965,0.06438689,0.031427175,0.06438689,0.0005612094,0.0,1.0181822,1.0
C8_International travel controls,0.030865965,0.06438689,0.02529651,0.046524934,-0.005569456,-0.017861955,0.81955993,0.72258395
E1_Income support,0.030865965,0.06438689,0.045306463,0.09297779,0.014440497,0.028590903,1.4678453,1.4440485
E2_Debt/contract relief,0.030865965,0.06438689,0.02510903,0.063867554,-0.005756935,-0.00051933527,0.813486,0.9919341
E3_Fiscal measures,0.030865965,0.06438689,0.03085814,0.06438689,-7.824972e-06,0.0,0.9997465,1.0
E4_International support,0.030865965,0.06438689,0.030865965,0.06438689,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.030865965,0.06438689,0.029057356,0.06438689,-0.0018086098,0.0,0.9414044,1.0
H2_Testing policy,0.030865965,0.06438689,0.034458283,0.06438689,0.003592318,0.0,1.1163844,1.0
H3_Contact tracing,0.030865965,0.06438689,0.032321736,0.06691001,0.0014557708,0.0025231242,1.0471643,1.039187
H4_Emergency investment in healthcare,0.030865965,0.06438689,0.03088553,0.06438689,1.9565225e-05,0.0,1.0006338,1.0
H5_Investment in vaccines,0.030865965,0.06438689,0.030865965,0.06438689,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.030865965,0.06438689,0.026866712,0.06438689,-0.0039992537,0.0,0.8704316,1.0
H7_Vaccination policy,0.030865965,0.06438689,0.028894141,0.069030136,-0.001971824,0.0046432465,0.9361166,1.0721148
H8_Protection of elderly people,0.030865965,0.06438689,0.036675658,0.06438689,0.0058096927,0.0,1.1882232,1.0
V1_Vaccine Prioritisation (summary),0.030865965,0.06438689,0.030865965,0.06438689,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.030865965,0.06438689,0.030865965,0.06438689,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.030865965,0.06438689,0.030865965,0.06438689,0.0,0.0,1.0,1.0
