,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.018739322,0.13566412,0.022267113,0.13566412,0.0035277903,0.0,1.188256,1.0
C2_Workplace closing,0.018739322,0.13566412,0.018201644,0.14557725,-0.0005376786,0.009913132,0.97130746,1.0730711
C3_Cancel public events,0.018739322,0.13566412,0.024901181,0.13566412,0.0061618593,0.0,1.3288198,1.0
C4_Restrictions on gatherings,0.018739322,0.13566412,0.016427213,0.13559881,-0.0023121089,-6.531179e-05,0.87661725,0.9995186
C5_Close public transport,0.018739322,0.13566412,0.026836067,0.17549238,0.008096745,0.039828256,1.4320725,1.2935799
C6_Stay at home requirements,0.018739322,0.13566412,0.019545792,0.13564819,0.00080646947,-1.5929341e-05,1.0430362,0.9998826
C7_Restrictions on internal movement,0.018739322,0.13566412,0.01927871,0.13559733,0.0005393885,-6.6787004e-05,1.0287838,0.9995077
C8_International travel controls,0.018739322,0.13566412,0.01756725,0.041814342,-0.0011720713,-0.09384978,0.9374539,0.3082196
E1_Income support,0.018739322,0.13566412,0.027102295,0.20170854,0.008362973,0.06604442,1.4462794,1.4868231
E2_Debt/contract relief,0.018739322,0.13566412,0.018517433,0.09206417,-0.00022188947,-0.04359995,0.9881592,0.67861843
E3_Fiscal measures,0.018739322,0.13566412,0.018733151,0.13566412,-6.1709434e-06,0.0,0.9996707,1.0
E4_International support,0.018739322,0.13566412,0.018739322,0.13566412,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.018739322,0.13566412,0.016565816,0.13566412,-0.0021735057,0.0,0.88401365,1.0
H2_Testing policy,0.018739322,0.13566412,0.022660784,0.13566412,0.003921462,0.0,1.2092638,1.0
H3_Contact tracing,0.018739322,0.13566412,0.019477785,0.1154411,0.00073846243,-0.020223022,1.0394071,0.85093313
H4_Emergency investment in healthcare,0.018739322,0.13566412,0.018758405,0.13566412,1.90828e-05,0.0,1.0010183,1.0
H5_Investment in vaccines,0.018739322,0.13566412,0.018739322,0.13566412,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.018739322,0.13566412,0.014038151,0.13566412,-0.004701171,0.0,0.749128,1.0
H7_Vaccination policy,0.018739322,0.13566412,0.018268136,0.14466803,-0.0004711859,0.009003907,0.9748558,1.066369
H8_Protection of elderly people,0.018739322,0.13566412,0.026023759,0.13566412,0.0072844364,0.0,1.3887247,1.0
V1_Vaccine Prioritisation (summary),0.018739322,0.13566412,0.018739322,0.13566412,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.018739322,0.13566412,0.018739322,0.13566412,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.018739322,0.13566412,0.018739322,0.13566412,0.0,0.0,1.0,1.0
