,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.019078327,0.103456706,0.019754535,0.10718691,0.00067620724,0.0037302077,1.0354438,1.0360557
C2_Workplace closing,0.019078327,0.103456706,0.017918622,0.09912885,-0.0011597052,-0.004327856,0.93921345,0.9581675
C3_Cancel public events,0.019078327,0.103456706,0.02572672,0.08304507,0.0066483933,-0.020411633,1.3484788,0.8027036
C4_Restrictions on gatherings,0.019078327,0.103456706,0.017156715,0.072506346,-0.0019216128,-0.03095036,0.8992777,0.70083755
C5_Close public transport,0.019078327,0.103456706,0.026236411,0.082590014,0.007158084,-0.020866692,1.3751945,0.7983051
C6_Stay at home requirements,0.019078327,0.103456706,0.021977618,0.11478636,0.002899291,0.011329651,1.1519678,1.109511
C7_Restrictions on internal movement,0.019078327,0.103456706,0.018804494,0.103456706,-0.00027383305,0.0,0.9856469,1.0
C8_International travel controls,0.019078327,0.103456706,0.01932407,0.09288675,0.0002457425,-0.010569952,1.0128807,0.8978321
E1_Income support,0.019078327,0.103456706,0.03413916,0.103456706,0.015060833,0.0,1.7894211,1.0
E2_Debt/contract relief,0.019078327,0.103456706,0.013328925,0.063063756,-0.0057494026,-0.04039295,0.6986422,0.6095666
E3_Fiscal measures,0.019078327,0.103456706,0.019084916,0.103456706,6.588176e-06,0.0,1.0003453,1.0
E4_International support,0.019078327,0.103456706,0.019078327,0.103456706,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.019078327,0.103456706,0.015802883,0.103456706,-0.0032754447,0.0,0.8283159,1.0
H2_Testing policy,0.019078327,0.103456706,0.02518355,0.103456706,0.006105222,0.0,1.3200083,1.0
H3_Contact tracing,0.019078327,0.103456706,0.022120127,0.07586142,0.0030418,-0.027595289,1.1594374,0.73326725
H4_Emergency investment in healthcare,0.019078327,0.103456706,0.019100195,0.103456706,2.1867454e-05,0.0,1.0011462,1.0
H5_Investment in vaccines,0.019078327,0.103456706,0.019078327,0.103456706,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.019078327,0.103456706,0.01837751,0.103456706,-0.0007008165,0.0,0.9632664,1.0
H7_Vaccination policy,0.019078327,0.103456706,0.01884728,0.09961616,-0.00023104809,-0.0038405433,0.9878895,0.96287775
H8_Protection of elderly people,0.019078327,0.103456706,0.01940867,0.103456706,0.00033034198,0.0,1.017315,1.0
V1_Vaccine Prioritisation (summary),0.019078327,0.103456706,0.019078327,0.103456706,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.019078327,0.103456706,0.019078327,0.103456706,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.019078327,0.103456706,0.019078327,0.103456706,0.0,0.0,1.0,1.0
