,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.012171619,0.023889123,0.012177197,0.019155668,5.578622e-06,-0.0047334544,1.0004584,0.80185735
C2_Workplace closing,0.012171619,0.023889123,0.011312926,0.015297148,-0.00085869245,-0.008591974,0.9294512,0.6403395
C3_Cancel public events,0.012171619,0.023889123,0.013192273,0.015933463,0.0010206541,-0.007955659,1.0838553,0.6669757
C4_Restrictions on gatherings,0.012171619,0.023889123,0.011041902,0.010061988,-0.0011297166,-0.013827135,0.90718436,0.42119536
C5_Close public transport,0.012171619,0.023889123,0.015584991,0.024414279,0.0034133727,0.00052515604,1.280437,1.021983
C6_Stay at home requirements,0.012171619,0.023889123,0.014302096,0.020472564,0.0021304777,-0.0034165587,1.1750365,0.85698265
C7_Restrictions on internal movement,0.012171619,0.023889123,0.010380095,0.023889123,-0.0017915238,0.0,0.8528114,1.0
C8_International travel controls,0.012171619,0.023889123,0.021274962,0.07173433,0.009103343,0.047845207,1.7479155,3.002803
E1_Income support,0.012171619,0.023889123,0.03581518,0.023889123,0.02364356,0.0,2.9425159,1.0
E2_Debt/contract relief,0.012171619,0.023889123,0.011270537,0.019599099,-0.0009010816,-0.004290024,0.92596865,0.8204194
E3_Fiscal measures,0.012171619,0.023889123,0.012453592,0.023889123,0.00028197374,0.0,1.0231665,1.0
E4_International support,0.012171619,0.023889123,0.012171619,0.023889123,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.012171619,0.023889123,0.011745798,0.023889123,-0.00042582024,0.0,0.9650153,1.0
H2_Testing policy,0.012171619,0.023889123,0.010700089,0.023889123,-0.0014715297,0.0,0.8791016,1.0
H3_Contact tracing,0.012171619,0.023889123,0.0127305,0.034103308,0.0005588811,0.010214185,1.0459168,1.4275664
H4_Emergency investment in healthcare,0.012171619,0.023889123,0.0121736545,0.023889123,2.0358711e-06,0.0,1.0001673,1.0
H5_Investment in vaccines,0.012171619,0.023889123,0.012171619,0.023889123,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.012171619,0.023889123,0.013412545,0.023889123,0.0012409268,0.0,1.1019524,1.0
H7_Vaccination policy,0.012171619,0.023889123,0.010702963,0.005435952,-0.0014686557,-0.01845317,0.87933767,0.22754925
H8_Protection of elderly people,0.012171619,0.023889123,0.011359626,0.023889123,-0.0008119922,0.0,0.93328804,1.0
V1_Vaccine Prioritisation (summary),0.012171619,0.023889123,0.012171619,0.023889123,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.012171619,0.023889123,0.012171619,0.023889123,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.012171619,0.023889123,0.012171619,0.023889123,0.0,0.0,1.0,1.0
