,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.032273024,0.011187742,0.03455704,0.011732218,0.0022840165,0.0005444754,1.0707717,1.0486672
C2_Workplace closing,0.032273024,0.011187742,0.032223687,0.013191268,-4.9337745e-05,0.0020035254,0.99847126,1.1790822
C3_Cancel public events,0.032273024,0.011187742,0.037753005,0.00937408,0.0054799803,-0.0018136622,1.1698006,0.8378885
C4_Restrictions on gatherings,0.032273024,0.011187742,0.030656366,0.009772393,-0.0016166586,-0.0014153495,0.9499068,0.87349105
C5_Close public transport,0.032273024,0.011187742,0.04126697,0.011187742,0.008993946,0.0,1.2786831,1.0
C6_Stay at home requirements,0.032273024,0.011187742,0.033312414,0.01678837,0.0010393895,0.0056006284,1.0322062,1.500604
C7_Restrictions on internal movement,0.032273024,0.011187742,0.033124536,0.011187742,0.00085151196,0.0,1.0263846,1.0
C8_International travel controls,0.032273024,0.011187742,0.025637902,0.019029308,-0.006635122,0.007841566,0.79440653,1.7009069
E1_Income support,0.032273024,0.011187742,0.049589418,0.011187742,0.017316394,0.0,1.5365593,1.0
E2_Debt/contract relief,0.032273024,0.011187742,0.024107188,0.008213293,-0.008165836,-0.0029744497,0.74697644,0.7341332
E3_Fiscal measures,0.032273024,0.011187742,0.032269426,0.011187768,-3.5986304e-06,2.514571e-08,0.9998885,1.0000023
E4_International support,0.032273024,0.011187742,0.032273024,0.011187742,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.032273024,0.011187742,0.030816069,0.011187742,-0.0014569554,0.0,0.9548553,1.0
H2_Testing policy,0.032273024,0.011187742,0.03569059,0.011187742,0.0034175664,0.0,1.1058954,1.0
H3_Contact tracing,0.032273024,0.011187742,0.033136122,0.0075903814,0.0008630976,-0.003597361,1.0267437,0.6784552
H4_Emergency investment in healthcare,0.032273024,0.011187742,0.032290805,0.011187742,1.778081e-05,0.0,1.000551,1.0
H5_Investment in vaccines,0.032273024,0.011187742,0.032273024,0.011187742,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.032273024,0.011187742,0.029420074,0.0111575825,-0.0028529502,-3.015995e-05,0.9115995,0.9973042
H7_Vaccination policy,0.032273024,0.011187742,0.0305036,0.019623492,-0.0017694235,0.008435749,0.9451733,1.7540171
H8_Protection of elderly people,0.032273024,0.011187742,0.036432233,0.011187742,0.0041592084,0.0,1.1288757,1.0
V1_Vaccine Prioritisation (summary),0.032273024,0.011187742,0.032273024,0.011187742,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.032273024,0.011187742,0.032273024,0.011187742,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.032273024,0.011187742,0.032273024,0.011187742,0.0,0.0,1.0,1.0
