,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.029951598,0.0032059997,0.031657442,0.0028129485,0.001705844,-0.0003930512,1.0569533,0.87740135
C2_Workplace closing,0.029951598,0.0032059997,0.028903527,0.0064194985,-0.0010480713,0.0032134987,0.96500784,2.0023391
C3_Cancel public events,0.029951598,0.0032059997,0.036717977,0.00796652,0.006766379,0.0047605205,1.2259104,2.4848785
C4_Restrictions on gatherings,0.029951598,0.0032059997,0.027049674,0.014504797,-0.0029019248,0.011298797,0.9031128,4.5242662
C5_Close public transport,0.029951598,0.0032059997,0.037990715,0.0032059997,0.008039117,0.0,1.2684036,1.0
C6_Stay at home requirements,0.029951598,0.0032059997,0.032995585,0.001723854,0.0030439869,-0.0014821457,1.1016302,0.53769624
C7_Restrictions on internal movement,0.029951598,0.0032059997,0.030069139,0.0032059997,0.00011754036,0.0,1.0039244,1.0
C8_International travel controls,0.029951598,0.0032059997,0.025936773,0.04208253,-0.0040148254,0.03887653,0.86595625,13.12618
E1_Income support,0.029951598,0.0032059997,0.04770319,0.0032059997,0.017751593,0.0,1.592676,1.0
E2_Debt/contract relief,0.029951598,0.0032059997,0.02178046,0.008895938,-0.008171139,0.0056899386,0.7271885,2.7747781
E3_Fiscal measures,0.029951598,0.0032059997,0.029946303,0.0032060076,-5.2955e-06,7.916242e-09,0.9998232,1.0000025
E4_International support,0.029951598,0.0032059997,0.029951598,0.0032059997,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.029951598,0.0032059997,0.027285803,0.0032059997,-0.0026657954,0.0,0.91099656,1.0
H2_Testing policy,0.029951598,0.0032059997,0.035019234,0.0032059997,0.0050676353,0.0,1.1691941,1.0
H3_Contact tracing,0.029951598,0.0032059997,0.031124407,0.0110246865,0.0011728089,0.007818687,1.0391568,3.4387672
H4_Emergency investment in healthcare,0.029951598,0.0032059997,0.029974708,0.0032059997,2.3109838e-05,0.0,1.0007715,1.0
H5_Investment in vaccines,0.029951598,0.0032059997,0.029951598,0.0032059997,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.029951598,0.0032059997,0.028372241,0.0032059997,-0.0015793573,0.0,0.9472697,1.0
H7_Vaccination policy,0.029951598,0.0032059997,0.028648365,0.0015461133,-0.0013032332,-0.0016598864,0.95648867,0.4822562
H8_Protection of elderly people,0.029951598,0.0032059997,0.032215197,0.0032059997,0.0022635981,0.0,1.0755752,1.0
V1_Vaccine Prioritisation (summary),0.029951598,0.0032059997,0.029951598,0.0032059997,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.029951598,0.0032059997,0.029951598,0.0032059997,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.029951598,0.0032059997,0.029951598,0.0032059997,0.0,0.0,1.0,1.0
