,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.029437112,0.16113184,0.029670289,0.15888391,0.0002331771,-0.0022479296,1.0079212,0.9860491
C2_Workplace closing,0.029437112,0.16113184,0.028349902,0.16243881,-0.0010872092,0.001306966,0.9630667,1.0081111
C3_Cancel public events,0.029437112,0.16113184,0.036758117,0.16130131,0.0073210057,0.0001694709,1.2486999,1.0010518
C4_Restrictions on gatherings,0.029437112,0.16113184,0.02730759,0.17058183,-0.0021295212,0.009449989,0.9276586,1.0586475
C5_Close public transport,0.029437112,0.16113184,0.036070056,0.14256848,0.0066329446,-0.01856336,1.225326,0.884794
C6_Stay at home requirements,0.029437112,0.16113184,0.03195798,0.16907471,0.0025208686,0.00794287,1.0856358,1.0492942
C7_Restrictions on internal movement,0.029437112,0.16113184,0.028090978,0.16113184,-0.0013461336,0.0,0.95427084,1.0
C8_International travel controls,0.029437112,0.16113184,0.026861582,0.16113184,-0.0025755297,0.0,0.9125074,1.0
E1_Income support,0.029437112,0.16113184,0.04261107,0.13287517,0.013173958,-0.02825667,1.447529,0.82463634
E2_Debt/contract relief,0.029437112,0.16113184,0.02149399,0.18044043,-0.007943122,0.019308582,0.7301664,1.119831
E3_Fiscal measures,0.029437112,0.16113184,0.029437304,0.16113184,1.9185245e-07,0.0,1.0000066,1.0
E4_International support,0.029437112,0.16113184,0.029437112,0.16113184,0.0,0.0,1.0,1.0
H1_Public information campaigns,0.029437112,0.16113184,0.024038106,0.16532868,-0.0053990055,0.0041968375,0.81659186,1.026046
H2_Testing policy,0.029437112,0.16113184,0.035903603,0.16113184,0.006466491,0.0,1.2196714,1.0
H3_Contact tracing,0.029437112,0.16113184,0.031977274,0.16470164,0.0025401618,0.0035697967,1.0862912,1.0221545
H4_Emergency investment in healthcare,0.029437112,0.16113184,0.029457033,0.16113184,1.992099e-05,0.0,1.0006768,1.0
H5_Investment in vaccines,0.029437112,0.16113184,0.029437112,0.16113184,0.0,0.0,1.0,1.0
H6_Facial Coverings,0.029437112,0.16113184,0.028300926,0.16065462,-0.0011361856,-0.0004772246,0.96140295,0.9970383
H7_Vaccination policy,0.029437112,0.16113184,0.030679459,0.22367245,0.0012423471,0.062540606,1.0422034,1.3881332
H8_Protection of elderly people,0.029437112,0.16113184,0.031420432,0.16113184,0.0019833203,0.0,1.0673748,1.0
V1_Vaccine Prioritisation (summary),0.029437112,0.16113184,0.029437112,0.16113184,0.0,0.0,1.0,1.0
V2_Vaccine Availability (summary),0.029437112,0.16113184,0.029437112,0.16113184,0.0,0.0,1.0,1.0
V3_Vaccine Financial Support (summary),0.029437112,0.16113184,0.029437112,0.16113184,0.0,0.0,1.0,1.0
