,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0027651128,0.01946811,0.0055559194,0.022503585,0.0027908066,0.0030354746,2.0092921,1.1559204
C2_Workplace closing,0.0027651128,0.01946811,0.032567825,0.020091055,0.029802712,0.0006229449,11.778118,1.0319983
C3_Cancel public events,0.0027651128,0.01946811,0.006264517,0.021343905,0.0034994043,0.0018757954,2.2655556,1.0963522
C4_Restrictions on gatherings,0.0027651128,0.01946811,0.0043847486,0.025453271,0.0016196358,0.0059851613,1.5857395,1.3074341
C5_Close public transport,0.0027651128,0.01946811,0.0068777273,0.01946811,0.0041126143,0.0,2.4873226,1.0
C6_Stay at home requirements,0.0027651128,0.01946811,0.009842392,0.020156298,0.0070772795,0.0006881878,3.5594902,1.0353495
C7_Restrictions on internal movement,0.0027651128,0.01946811,0.013499843,0.01946811,0.01073473,0.0,4.8822036,1.0
C8_International travel controls,0.0027651128,0.01946811,0.003692218,0.019467037,0.0009271053,-1.0728836e-06,1.3352866,0.99994487
E1_Income support,0.0027651128,0.01946811,0.0053496137,0.024116646,0.002584501,0.0046485364,1.9346819,1.2387769
E2_Debt/contract relief,0.0027651128,0.01946811,0.0042445003,0.019805288,0.0014793875,0.0003371779,1.5350189,1.0173194
E3_Fiscal measures,0.0027651128,0.01946811,0.0049348157,0.01946811,0.002169703,0.0,1.7846707,1.0
E4_International support,0.0027651128,0.01946811,0.00277931,0.01946811,1.4197314e-05,0.0,1.0051345,1.0
H1_Public information campaigns,0.0027651128,0.01946811,0.0069515184,0.01946811,0.004186406,0.0,2.514009,1.0
H2_Testing policy,0.0027651128,0.01946811,0.0069486112,0.01946811,0.004183498,0.0,2.5129576,1.0
H3_Contact tracing,0.0027651128,0.01946811,0.006796511,0.01946811,0.0040313983,0.0,2.4579506,1.0
H4_Emergency investment in healthcare,0.0027651128,0.01946811,0.002760597,0.01946811,-4.5157503e-06,0.0,0.9983669,1.0
H5_Investment in vaccines,0.0027651128,0.01946811,0.0027787292,0.01946811,1.3616402e-05,0.0,1.0049243,1.0
H6_Facial Coverings,0.0027651128,0.01946811,0.0032753863,0.022119116,0.0005102735,0.002651006,1.1845398,1.1361717
H7_Vaccination policy,0.0027651128,0.01946811,0.0074274987,0.033554524,0.004662386,0.014086414,2.6861467,1.7235636
H8_Protection of elderly people,0.0027651128,0.01946811,0.008313043,0.020321067,0.0055479305,0.00085295737,3.006403,1.0438131
V1_Vaccine Prioritisation (summary),0.0027651128,0.01946811,0.0047941846,0.01946811,0.0020290718,0.0,1.7338116,1.0
V2_Vaccine Availability (summary),0.0027651128,0.01946811,0.00378729,0.01946811,0.0010221773,0.0,1.3696693,1.0
V3_Vaccine Financial Support (summary),0.0027651128,0.01946811,0.006372786,0.01946811,0.0036076733,0.0,2.304711,1.0
