,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0029927006,0.0065167956,0.0045831124,0.0051640887,0.0015904119,-0.0013527069,1.5314304,0.7924276
C2_Workplace closing,0.0029927006,0.0065167956,0.019194499,0.006486126,0.016201798,-3.0669384e-05,6.413772,0.9952938
C3_Cancel public events,0.0029927006,0.0065167956,0.0060782474,0.007241694,0.003085547,0.0007248982,2.0310242,1.1112354
C4_Restrictions on gatherings,0.0029927006,0.0065167956,0.027368031,0.0065167956,0.02437533,0.0,9.144928,1.0
C5_Close public transport,0.0029927006,0.0065167956,0.005799483,0.0031756137,0.0028067825,-0.003341182,1.9378761,0.48729682
C6_Stay at home requirements,0.0029927006,0.0065167956,0.0035563707,0.0022414841,0.0005636702,-0.0042753117,1.1883483,0.34395495
C7_Restrictions on internal movement,0.0029927006,0.0065167956,0.009836969,0.006306507,0.006844268,-0.00021028845,3.2869873,0.9677313
C8_International travel controls,0.0029927006,0.0065167956,0.0030830586,0.0065167956,9.035808e-05,0.0,1.0301929,1.0
E1_Income support,0.0029927006,0.0065167956,0.007146968,0.0065167956,0.0041542677,0.0,2.3881333,1.0
E2_Debt/contract relief,0.0029927006,0.0065167956,0.007699509,0.0065167956,0.0047068084,0.0,2.572763,1.0
E3_Fiscal measures,0.0029927006,0.0065167956,0.0034187115,0.0065167956,0.00042601093,0.0,1.14235,1.0
E4_International support,0.0029927006,0.0065167956,0.0030000925,0.006516762,7.3919073e-06,-3.3527613e-08,1.00247,0.9999949
H1_Public information campaigns,0.0029927006,0.0065167956,0.0067716218,0.0065167956,0.0037789212,0.0,2.2627127,1.0
H2_Testing policy,0.0029927006,0.0065167956,0.0031219,0.0065167956,0.00012919935,0.0,1.0431715,1.0
H3_Contact tracing,0.0029927006,0.0065167956,0.011750012,0.0065167956,0.008757311,0.0,3.9262238,1.0
H4_Emergency investment in healthcare,0.0029927006,0.0065167956,0.00303374,0.0065166485,4.1039428e-05,-1.4714897e-07,1.0137131,0.9999774
H5_Investment in vaccines,0.0029927006,0.0065167956,0.0030135354,0.0066406187,2.083485e-05,0.00012382306,1.006962,1.0190006
H6_Facial Coverings,0.0029927006,0.0065167956,0.007806176,0.0065167956,0.0048134755,0.0,2.6084054,1.0
H7_Vaccination policy,0.0029927006,0.0065167956,0.0047659776,0.010765987,0.0017732771,0.004249192,1.5925341,1.652037
H8_Protection of elderly people,0.0029927006,0.0065167956,0.0030761121,0.0065167956,8.341158e-05,0.0,1.0278717,1.0
V1_Vaccine Prioritisation (summary),0.0029927006,0.0065167956,0.006032069,0.0047541168,0.0030393687,-0.0017626788,2.015594,0.7295175
V2_Vaccine Availability (summary),0.0029927006,0.0065167956,0.004208925,0.0052709305,0.0012162246,-0.0012458651,1.406397,0.80882245
V3_Vaccine Financial Support (summary),0.0029927006,0.0065167956,0.0069819237,0.024300277,0.0039892234,0.017783482,2.3329844,3.728869
