,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0030813774,0.028277708,0.0060247453,0.03232564,0.002943368,0.004047932,1.9552118,1.1431493
C2_Workplace closing,0.0030813774,0.028277708,0.030629115,0.028959636,0.027547738,0.0006819274,9.940073,1.0241153
C3_Cancel public events,0.0030813774,0.028277708,0.006602083,0.031991184,0.0035207055,0.0037134755,2.1425753,1.1313217
C4_Restrictions on gatherings,0.0030813774,0.028277708,0.004600705,0.031582527,0.0015193278,0.0033048186,1.4930677,1.11687
C5_Close public transport,0.0030813774,0.028277708,0.006990459,0.028277708,0.003909081,0.0,2.268615,1.0
C6_Stay at home requirements,0.0030813774,0.028277708,0.009694593,0.030384263,0.0066132154,0.0021065548,3.1461883,1.0744952
C7_Restrictions on internal movement,0.0030813774,0.028277708,0.01402033,0.028277708,0.010938953,0.0,4.5500207,1.0
C8_International travel controls,0.0030813774,0.028277708,0.0038330455,0.028277708,0.0007516681,0.0,1.243939,1.0
E1_Income support,0.0030813774,0.028277708,0.005335947,0.032608066,0.0022545697,0.0043303575,1.731676,1.1531368
E2_Debt/contract relief,0.0030813774,0.028277708,0.004670405,0.028895864,0.0015890275,0.00061815605,1.5156873,1.0218602
E3_Fiscal measures,0.0030813774,0.028277708,0.005263172,0.028277708,0.0021817947,0.0,1.7080582,1.0
E4_International support,0.0030813774,0.028277708,0.0030864642,0.028277708,5.086884e-06,0.0,1.0016508,1.0
H1_Public information campaigns,0.0030813774,0.028277708,0.0071850684,0.028277708,0.0041036913,0.0,2.3317716,1.0
H2_Testing policy,0.0030813774,0.028277708,0.00690834,0.028277708,0.0038269626,0.0,2.2419648,1.0
H3_Contact tracing,0.0030813774,0.028277708,0.007777002,0.028277708,0.004695625,0.0,2.5238721,1.0
H4_Emergency investment in healthcare,0.0030813774,0.028277708,0.0030742204,0.028277708,-7.156981e-06,0.0,0.9976773,1.0
H5_Investment in vaccines,0.0030813774,0.028277708,0.0030944904,0.028277708,1.3113022e-05,0.0,1.0042555,1.0
H6_Facial Coverings,0.0030813774,0.028277708,0.003789787,0.032406885,0.0007084096,0.004129177,1.2299004,1.1460223
H7_Vaccination policy,0.0030813774,0.028277708,0.0076566883,0.050877586,0.004575311,0.022599878,2.4848266,1.7992117
H8_Protection of elderly people,0.0030813774,0.028277708,0.008033576,0.02765934,0.004952199,-0.0006183684,2.6071382,0.9781323
V1_Vaccine Prioritisation (summary),0.0030813774,0.028277708,0.0050098225,0.028277708,0.0019284452,0.0,1.6258386,1.0
V2_Vaccine Availability (summary),0.0030813774,0.028277708,0.0040474166,0.028277708,0.00096603925,0.0,1.3135089,1.0
V3_Vaccine Financial Support (summary),0.0030813774,0.028277708,0.0065366523,0.028277708,0.003455275,0.0,2.121341,1.0
