,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0031156477,0.0055435398,0.0038659573,0.0055931723,0.00075030955,4.963251e-05,1.2408198,1.0089532
C2_Workplace closing,0.0031156477,0.0055435398,0.012779803,0.005191153,0.009664156,-0.00035238685,4.1018124,0.9364329
C3_Cancel public events,0.0031156477,0.0055435398,0.006565653,0.0055435398,0.003450005,0.0,2.1073155,1.0
C4_Restrictions on gatherings,0.0031156477,0.0055435398,0.043072183,0.0055435398,0.039956536,0.0,13.824471,1.0
C5_Close public transport,0.0031156477,0.0055435398,0.0060194633,0.0024593403,0.0029038156,-0.0030841995,1.9320103,0.44364077
C6_Stay at home requirements,0.0031156477,0.0055435398,0.0049049137,0.0054640677,0.001789266,-7.947208e-05,1.5742838,0.985664
C7_Restrictions on internal movement,0.0031156477,0.0055435398,0.0063255797,0.0055435398,0.003209932,0.0,2.0302615,1.0
C8_International travel controls,0.0031156477,0.0055435398,0.003138727,0.0055435398,2.3079338e-05,0.0,1.0074075,1.0
E1_Income support,0.0031156477,0.0055435398,0.0077365097,0.0055435398,0.004620862,0.0,2.4831145,1.0
E2_Debt/contract relief,0.0031156477,0.0055435398,0.00575498,0.0055435398,0.002639332,0.0,1.8471215,1.0
E3_Fiscal measures,0.0031156477,0.0055435398,0.0039861253,0.0055435398,0.00087047764,0.0,1.279389,1.0
E4_International support,0.0031156477,0.0055435398,0.0031167404,0.005543551,1.0926742e-06,1.1175871e-08,1.0003507,1.000002
H1_Public information campaigns,0.0031156477,0.0055435398,0.0035866883,0.0055435398,0.0004710406,0.0,1.1511854,1.0
H2_Testing policy,0.0031156477,0.0055435398,0.003150122,0.0055435398,3.4474302e-05,0.0,1.0110649,1.0
H3_Contact tracing,0.0031156477,0.0055435398,0.013230273,0.0055435398,0.010114625,0.0,4.2463956,1.0
H4_Emergency investment in healthcare,0.0031156477,0.0055435398,0.003128423,0.0055435398,1.2775185e-05,0.0,1.0041003,1.0
H5_Investment in vaccines,0.0031156477,0.0055435398,0.0030628215,0.006112129,-5.2826246e-05,0.0005685892,0.98304486,1.1025679
H6_Facial Coverings,0.0031156477,0.0055435398,0.007914713,0.0054070754,0.004799065,-0.00013646437,2.5403106,0.97538316
H7_Vaccination policy,0.0031156477,0.0055435398,0.0042264606,0.045770116,0.0011108129,0.040226575,1.3565271,8.256478
H8_Protection of elderly people,0.0031156477,0.0055435398,0.0031593577,0.0055435398,4.3709995e-05,0.0,1.0140291,1.0
V1_Vaccine Prioritisation (summary),0.0031156477,0.0055435398,0.0061455155,0.03013375,0.0030298678,0.024590211,1.972468,5.435832
V2_Vaccine Availability (summary),0.0031156477,0.0055435398,0.010929809,0.02503465,0.0078141615,0.01949111,3.5080376,4.516004
V3_Vaccine Financial Support (summary),0.0031156477,0.0055435398,0.0031374837,0.01814946,2.1836022e-05,0.01260592,1.0070086,3.273984
