,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0025006763,0.054777965,0.0031679755,0.054777965,0.00066729914,0.0,1.2668475,1.0
C2_Workplace closing,0.0025006763,0.054777965,0.011286346,0.08626963,0.00878567,0.031491667,4.5133176,1.5748966
C3_Cancel public events,0.0025006763,0.054777965,0.006198231,0.054777965,0.0036975548,0.0,2.478622,1.0
C4_Restrictions on gatherings,0.0025006763,0.054777965,0.049427394,0.054777965,0.04692672,0.0,19.76561,1.0
C5_Close public transport,0.0025006763,0.054777965,0.0038022057,0.06195934,0.0013015294,0.007181376,1.520471,1.1310997
C6_Stay at home requirements,0.0025006763,0.054777965,0.004534304,0.054777965,0.0020336278,0.0,1.8132311,1.0
C7_Restrictions on internal movement,0.0025006763,0.054777965,0.005152375,0.054777965,0.0026516987,0.0,2.0603926,1.0
C8_International travel controls,0.0025006763,0.054777965,0.002484653,0.054777965,-1.6023405e-05,0.0,0.9935924,1.0
E1_Income support,0.0025006763,0.054777965,0.0056242803,0.054777965,0.003123604,0.0,2.2491038,1.0
E2_Debt/contract relief,0.0025006763,0.054777965,0.004325214,0.054777965,0.0018245375,0.0,1.7296176,1.0
E3_Fiscal measures,0.0025006763,0.054777965,0.0025901417,0.066176295,8.946541e-05,0.01139833,1.0357765,1.2080824
E4_International support,0.0025006763,0.054777965,0.002505646,0.054777965,4.96977e-06,0.0,1.0019873,1.0
H1_Public information campaigns,0.0025006763,0.054777965,0.00298295,0.054777965,0.00048227375,0.0,1.1928574,1.0
H2_Testing policy,0.0025006763,0.054777965,0.0024554636,0.054777965,-4.5212684e-05,0.0,0.9819198,1.0
H3_Contact tracing,0.0025006763,0.054777965,0.019651616,0.054777965,0.01715094,0.0,7.8585205,1.0
H4_Emergency investment in healthcare,0.0025006763,0.054777965,0.0025025522,0.054777965,1.8759165e-06,0.0,1.0007502,1.0
H5_Investment in vaccines,0.0025006763,0.054777965,0.0025049313,0.054070354,4.25498e-06,-0.00070761144,1.0017015,0.9870822
H6_Facial Coverings,0.0025006763,0.054777965,0.0070461626,0.054519303,0.0045454865,-0.0002586618,2.8177028,0.995278
H7_Vaccination policy,0.0025006763,0.054777965,0.0017660321,0.034752365,-0.00073464424,-0.0200256,0.70622176,0.63442236
H8_Protection of elderly people,0.0025006763,0.054777965,0.0024607019,0.054777965,-3.997446e-05,0.0,0.9840145,1.0
V1_Vaccine Prioritisation (summary),0.0025006763,0.054777965,0.0028996302,0.02314531,0.0003989539,-0.031632654,1.1595384,0.42252958
V2_Vaccine Availability (summary),0.0025006763,0.054777965,0.003288632,0.10497342,0.0007879557,0.050195456,1.3150971,1.9163439
V3_Vaccine Financial Support (summary),0.0025006763,0.054777965,0.002066749,0.036434792,-0.0004339274,-0.018343173,0.826476,0.6651359
