,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0027717724,0.006936483,0.0057981024,0.006603577,0.00302633,-0.0003329059,2.0918393,0.9520065
C2_Workplace closing,0.0027717724,0.006936483,0.02902776,0.008089898,0.026255988,0.0011534151,10.472634,1.1662824
C3_Cancel public events,0.0027717724,0.006936483,0.006638733,0.0068044127,0.0038669608,-0.00013207039,2.395122,0.98096
C4_Restrictions on gatherings,0.0027717724,0.006936483,0.0060874787,0.0056815646,0.0033157063,-0.0012549185,2.1962404,0.81908435
C5_Close public transport,0.0027717724,0.006936483,0.0069368775,0.006936483,0.004165105,0.0,2.5026865,1.0
C6_Stay at home requirements,0.0027717724,0.006936483,0.008612652,0.006728445,0.00584088,-0.0002080379,3.1072726,0.97000813
C7_Restrictions on internal movement,0.0027717724,0.006936483,0.015062597,0.0069243377,0.012290824,-1.2145378e-05,5.4342833,0.99824905
C8_International travel controls,0.0027717724,0.006936483,0.0031497998,0.0069115884,0.00037802733,-2.4894718e-05,1.1363847,0.996411
E1_Income support,0.0027717724,0.006936483,0.0041512307,0.0059009492,0.0013794582,-0.0010355338,1.4976809,0.850712
E2_Debt/contract relief,0.0027717724,0.006936483,0.0050548594,0.006936483,0.002283087,0.0,1.8236921,1.0
E3_Fiscal measures,0.0027717724,0.006936483,0.00477245,0.006936483,0.0020006774,0.0,1.7218044,1.0
E4_International support,0.0027717724,0.006936483,0.002767473,0.006936483,-4.2994507e-06,0.0,0.99844885,1.0
H1_Public information campaigns,0.0027717724,0.006936483,0.007677098,0.006936483,0.0049053254,0.0,2.7697432,1.0
H2_Testing policy,0.0027717724,0.006936483,0.004836391,0.006936483,0.0020646187,0.0,1.744873,1.0
H3_Contact tracing,0.0027717724,0.006936483,0.021498244,0.006936483,0.018726472,0.0,7.756136,1.0
H4_Emergency investment in healthcare,0.0027717724,0.006936483,0.0027504251,0.006936483,-2.134731e-05,0.0,0.9922983,1.0
H5_Investment in vaccines,0.0027717724,0.006936483,0.002774354,0.006936483,2.5816262e-06,0.0,1.0009314,1.0
H6_Facial Coverings,0.0027717724,0.006936483,0.003969805,0.009330484,0.0011980324,0.002394001,1.4322261,1.3451319
H7_Vaccination policy,0.0027717724,0.006936483,0.0072742896,0.010802817,0.004502517,0.0038663335,2.624418,1.557391
H8_Protection of elderly people,0.0027717724,0.006936483,0.005919837,0.007735721,0.0031480645,0.00079923775,2.1357586,1.1152223
V1_Vaccine Prioritisation (summary),0.0027717724,0.006936483,0.0047164415,0.0069291424,0.001944669,-7.3406845e-06,1.7015977,0.9989417
V2_Vaccine Availability (summary),0.0027717724,0.006936483,0.0038340564,0.006936483,0.001062284,0.0,1.3832508,1.0
V3_Vaccine Financial Support (summary),0.0027717724,0.006936483,0.0064387983,0.006936483,0.0036670258,0.0,2.3229895,1.0
