,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0028251463,0.002224414,0.0063500335,0.0014725601,0.0035248871,-0.0007518538,2.247683,0.66199917
C2_Workplace closing,0.0028251463,0.002224414,0.028102636,0.0017816578,0.02527749,-0.0004427561,9.947321,0.8009561
C3_Cancel public events,0.0028251463,0.002224414,0.0068264543,0.0022412678,0.004001308,1.6853912e-05,2.416319,1.0075768
C4_Restrictions on gatherings,0.0028251463,0.002224414,0.011042271,0.0019431673,0.008217124,-0.0002812466,3.908566,0.8735637
C5_Close public transport,0.0028251463,0.002224414,0.0066236896,0.002224414,0.0037985432,0.0,2.3445475,1.0
C6_Stay at home requirements,0.0028251463,0.002224414,0.0056886524,0.00071403227,0.002863506,-0.0015103817,2.013578,0.32099792
C7_Restrictions on internal movement,0.0028251463,0.002224414,0.015907539,0.0008482228,0.0130823925,-0.0013761912,5.630696,0.38132417
C8_International travel controls,0.0028251463,0.002224414,0.0032257717,0.0021503372,0.0004006254,-7.40767e-05,1.141807,0.96669835
E1_Income support,0.0028251463,0.002224414,0.0057654097,0.00078221253,0.0029402634,-0.0014422014,2.0407474,0.35164884
E2_Debt/contract relief,0.0028251463,0.002224414,0.0060707806,0.002224414,0.0032456343,0.0,2.1488376,1.0
E3_Fiscal measures,0.0028251463,0.002224414,0.0028789698,0.002224414,5.382346e-05,0.0,1.0190516,1.0
E4_International support,0.0028251463,0.002224414,0.0028200385,0.002224414,-5.1078387e-06,0.0,0.998192,1.0
H1_Public information campaigns,0.0028251463,0.002224414,0.0073910723,0.002224414,0.0045659263,0.0,2.6161733,1.0
H2_Testing policy,0.0028251463,0.002224414,0.0038957023,0.002224414,0.001070556,0.0,1.3789382,1.0
H3_Contact tracing,0.0028251463,0.002224414,0.024782216,0.002224414,0.02195707,0.0,8.772012,1.0
H4_Emergency investment in healthcare,0.0028251463,0.002224414,0.0028757788,0.002224414,5.0632516e-05,0.0,1.017922,1.0
H5_Investment in vaccines,0.0028251463,0.002224414,0.0028321135,0.002224414,6.967224e-06,0.0,1.0024662,1.0
H6_Facial Coverings,0.0028251463,0.002224414,0.004832014,0.0013115817,0.0020068677,-0.0009128322,1.7103589,0.58963025
H7_Vaccination policy,0.0028251463,0.002224414,0.0060898475,0.025657803,0.0032647012,0.02343339,2.1555867,11.534636
H8_Protection of elderly people,0.0028251463,0.002224414,0.0033174627,0.0022629872,0.00049231644,3.8573286e-05,1.1742623,1.0173409
V1_Vaccine Prioritisation (summary),0.0028251463,0.002224414,0.004819094,0.0022648047,0.001993948,4.039076e-05,1.7057858,1.018158
V2_Vaccine Availability (summary),0.0028251463,0.002224414,0.004073094,0.0011338873,0.0012479478,-0.0010905266,1.4417286,0.50974655
V3_Vaccine Financial Support (summary),0.0028251463,0.002224414,0.006750483,0.0022069952,0.0039253365,-1.7418759e-05,2.3894277,0.99216926
