,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.002999568,0.0020274445,0.003945634,0.0019196274,0.0009460659,-0.00010781712,1.3154007,0.94682115
C2_Workplace closing,0.002999568,0.0020274445,0.015505453,0.001985039,0.012505885,-4.2405445e-05,5.1692286,0.9790843
C3_Cancel public events,0.002999568,0.0020274445,0.0062902956,0.0019778875,0.0032907277,-4.955707e-05,2.0970674,0.97555685
C4_Restrictions on gatherings,0.002999568,0.0020274445,0.03602802,0.0020274445,0.033028454,0.0,12.01107,1.0
C5_Close public transport,0.002999568,0.0020274445,0.005981091,0.003648344,0.002981523,0.0016208994,1.9939842,1.799479
C6_Stay at home requirements,0.002999568,0.0020274445,0.004448975,0.001556451,0.0014494071,-0.00047099357,1.4832053,0.767691
C7_Restrictions on internal movement,0.002999568,0.0020274445,0.006827645,0.0020274445,0.003828077,0.0,2.2762096,1.0
C8_International travel controls,0.002999568,0.0020274445,0.0030905209,0.0020274445,9.095296e-05,0.0,1.0303221,1.0
E1_Income support,0.002999568,0.0020274445,0.0076088733,0.0020274445,0.0046093054,0.0,2.5366564,1.0
E2_Debt/contract relief,0.002999568,0.0020274445,0.0071354285,0.0020274445,0.0041358606,0.0,2.3788188,1.0
E3_Fiscal measures,0.002999568,0.0020274445,0.0047545847,0.0033908635,0.0017550169,0.001363419,1.5850899,1.6724815
E4_International support,0.002999568,0.0020274445,0.0030037807,0.0020274357,4.2128377e-06,-8.8475645e-09,1.0014045,0.99999565
H1_Public information campaigns,0.002999568,0.0020274445,0.00404688,0.0020274445,0.0010473123,0.0,1.3491544,1.0
H2_Testing policy,0.002999568,0.0020274445,0.0030428434,0.0020274445,4.3275533e-05,0.0,1.0144273,1.0
H3_Contact tracing,0.002999568,0.0020274445,0.009955626,0.0020274445,0.006956058,0.0,3.31902,1.0
H4_Emergency investment in healthcare,0.002999568,0.0020274445,0.0029840644,0.0020274445,-1.5503494e-05,0.0,0.99483144,1.0
H5_Investment in vaccines,0.002999568,0.0020274445,0.003015083,0.0020259835,1.5515136e-05,-1.4610123e-06,1.0051725,0.9992794
H6_Facial Coverings,0.002999568,0.0020274445,0.007823861,0.0020275915,0.0048242933,1.4691614e-07,2.6083295,1.0000725
H7_Vaccination policy,0.002999568,0.0020274445,0.0043379166,0.00969574,0.0013383487,0.007668296,1.4461805,4.782247
H8_Protection of elderly people,0.002999568,0.0020274445,0.0031113073,0.0020274445,0.000111739384,0.0,1.0372518,1.0
V1_Vaccine Prioritisation (summary),0.002999568,0.0020274445,0.004952994,0.0046764794,0.0019534263,0.0026490348,1.6512359,2.3065882
V2_Vaccine Availability (summary),0.002999568,0.0020274445,0.004817467,0.002940005,0.0018178993,0.0009125604,1.6060537,1.4501038
V3_Vaccine Financial Support (summary),0.002999568,0.0020274445,0.0062367753,0.0036398019,0.0032372074,0.0016123573,2.0792246,1.7952658
