,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.0029566756,0.0027361603,0.005253554,0.0011930456,0.0022968783,-0.0015431147,1.7768449,0.43602914
C2_Workplace closing,0.0029566756,0.0027361603,0.028224329,0.0020234443,0.025267653,-0.000712716,9.545967,0.73951966
C3_Cancel public events,0.0029566756,0.0027361603,0.0059432792,0.0029071192,0.0029866036,0.00017095893,2.0101223,1.0624813
C4_Restrictions on gatherings,0.0029566756,0.0027361603,0.02006572,0.0027361603,0.017109044,0.0,6.7865815,1.0
C5_Close public transport,0.0029566756,0.0027361603,0.0066334307,0.0011084597,0.0036767551,-0.0016277006,2.2435436,0.40511504
C6_Stay at home requirements,0.0029566756,0.0027361603,0.0037708427,0.0017756878,0.0008141671,-0.0009604725,1.2753657,0.64897066
C7_Restrictions on internal movement,0.0029566756,0.0027361603,0.012550728,0.0016695551,0.009594053,-0.0010666052,4.2448783,0.61018175
C8_International travel controls,0.0029566756,0.0027361603,0.0030268708,0.0027361603,7.019518e-05,0.0,1.0237412,1.0
E1_Income support,0.0029566756,0.0027361603,0.006811871,0.0019390732,0.0038551956,-0.0007970871,2.3038955,0.7086841
E2_Debt/contract relief,0.0029566756,0.0027361603,0.0075110644,0.0027361603,0.004554389,0.0,2.540375,1.0
E3_Fiscal measures,0.0029566756,0.0027361603,0.0044010337,0.0027361603,0.0014443581,0.0,1.4885075,1.0
E4_International support,0.0029566756,0.0027361603,0.0029573557,0.0027361603,6.800983e-07,0.0,1.0002301,1.0
H1_Public information campaigns,0.0029566756,0.0027361603,0.007517073,0.0027361603,0.004560397,0.0,2.542407,1.0
H2_Testing policy,0.0029566756,0.0027361603,0.0031514515,0.0027361603,0.00019477587,0.0,1.0658766,1.0
H3_Contact tracing,0.0029566756,0.0027361603,0.014546299,0.0027361603,0.011589624,0.0,4.919816,1.0
H4_Emergency investment in healthcare,0.0029566756,0.0027361603,0.0029457957,0.0027361603,-1.0879943e-05,0.0,0.9963202,1.0
H5_Investment in vaccines,0.0029566756,0.0027361603,0.002964685,0.0027350057,8.009374e-06,-1.1546072e-06,1.0027089,0.999578
H6_Facial Coverings,0.0029566756,0.0027361603,0.0072716926,0.0027215763,0.004315017,-1.4584046e-05,2.4594152,0.9946699
H7_Vaccination policy,0.0029566756,0.0027361603,0.0037533864,0.03241919,0.00079671084,0.02968303,1.2694618,11.848425
H8_Protection of elderly people,0.0029566756,0.0027361603,0.0030391605,0.0027361603,8.248491e-05,0.0,1.0278978,1.0
V1_Vaccine Prioritisation (summary),0.0029566756,0.0027361603,0.0049085817,0.003413546,0.0019519061,0.0006773856,1.6601692,1.2475679
V2_Vaccine Availability (summary),0.0029566756,0.0027361603,0.003933077,0.00086369895,0.0009764016,-0.0018724613,1.3302363,0.31566095
V3_Vaccine Financial Support (summary),0.0029566756,0.0027361603,0.007231163,0.009410869,0.0042744875,0.006674709,2.4457073,3.4394438
