,Old loss,Old Validation loss,New Loss,New Validation Loss,Changes in loss,Changes in validation loss,Ratio of new-old loss,Ratio of new-old validation loss
C1_School closing,0.003747573,0.02762529,0.003560068,0.051847246,-0.0001875048,0.024221955,0.9499663,1.8768036
C2_Workplace closing,0.003747573,0.02762529,0.003412816,0.12565784,-0.0003347569,0.09803255,0.9106737,4.548652
C3_Cancel public events,0.003747573,0.02762529,0.0034657829,0.12520263,-0.00028179004,0.09757733,0.9248073,4.532174
C4_Restrictions on gatherings,0.003747573,0.02762529,0.004916915,0.08097498,0.0011693423,0.05334969,1.3120266,2.9311903
C5_Close public transport,0.003747573,0.02762529,0.015580537,0.11135955,0.011832964,0.08373426,4.1575007,4.0310726
C6_Stay at home requirements,0.003747573,0.02762529,0.07402278,0.043556307,0.0702752,0.015931016,19.752192,1.5766823
C7_Restrictions on internal movement,0.003747573,0.02762529,0.45873922,0.6725974,0.45499164,0.64497215,122.40968,24.347162
C8_International travel controls,0.003747573,0.02762529,0.8230532,0.11435651,0.8193056,0.08673122,219.623,4.139559
E1_Income support,0.003747573,0.02762529,3.885086,3.1368537,3.8813386,3.1092284,1036.694,113.55007
E2_Debt/contract relief,0.003747573,0.02762529,1.7278306,3.26987,1.7240831,3.2422447,461.05325,118.36509
E3_Fiscal measures,0.003747573,0.02762529,1.0261518,1.6260333,1.0224042,1.598408,273.8177,58.860313
E4_International support,0.003747573,0.02762529,0.82552093,0.46485567,0.82177335,0.43723038,220.2815,16.827177
H1_Public information campaigns,0.003747573,0.02762529,1.1525131,2.9014075,1.1487656,2.8737822,307.5359,105.02722
H2_Testing policy,0.003747573,0.02762529,0.7851472,0.56982154,0.7813996,0.5421963,209.50818,20.626806
H3_Contact tracing,0.003747573,0.02762529,6.359882,4.827963,6.3561344,4.800338,1697.0669,174.76605
H4_Emergency investment in healthcare,0.003747573,0.02762529,27.327225,27.907629,27.323477,27.880003,7291.9795,1010.2203
H5_Investment in vaccines,0.003747573,0.02762529,24.044144,18.45422,24.040396,18.426594,6415.9243,668.01904
H6_Facial Coverings,0.003747573,0.02762529,3.9832463,2.6549225,3.9794989,2.6272972,1062.887,96.10478
H7_Vaccination policy,0.003747573,0.02762529,2.80717,1.8857139,2.8034225,1.8580886,749.0635,68.26042
H8_Protection of elderly people,0.003747573,0.02762529,11.491933,7.2423563,11.488185,7.214731,3066.5002,262.16397
V1_Vaccine Prioritisation (summary),0.003747573,0.02762529,3.9222727,3.0186403,3.9185252,2.991015,1046.6168,109.2709
V2_Vaccine Availability (summary),0.003747573,0.02762529,3.0431588,3.2647004,3.0394113,3.237075,812.0346,118.177956
V3_Vaccine Financial Support (summary),0.003747573,0.02762529,3.0079608,3.990189,3.0042133,3.9625638,802.6424,144.43971
