,Loss,Validation Loss
C1_School closing,-0.00030213688,0.040708773
C2_Workplace closing,-4.7691865e-05,0.044112273
C3_Cancel public events,-0.0003895976,0.037234396
C4_Restrictions on gatherings,-0.00013786484,0.03601712
C5_Close public transport,-6.5599335e-05,0.03790994
C6_Stay at home requirements,-0.00024154806,0.038806193
C7_Restrictions on internal movement,-5.027349e-05,0.0480617
C8_International travel controls,-0.00013878313,0.044019625
E1_Income support,-4.8558228e-05,0.0465684
E2_Debt/contract relief,-0.0003391381,0.038403966
E3_Fiscal measures,0.08556801,0.048636258
E4_International support,8.0131926e-05,0.032365903
H1_Public information campaigns,-0.00023614289,0.0439618
H2_Testing policy,-0.00020066462,0.04748123
H3_Contact tracing,1.331768e-05,0.016791308
H4_Emergency investment in healthcare,0.08556801,0.048636258
H5_Investment in vaccines,-3.59572e-05,0.045059115
H6_Facial Coverings,-0.0001685801,0.019326067
H7_Vaccination policy,-0.00020210026,0.007873591
H8_Protection of elderly people,-0.0002650346,0.034127384
V1_Vaccine Prioritisation (summary),-2.441532e-05,0.009895168
V2_Vaccine Availability (summary),0.0003965483,0.030186104
V3_Vaccine Financial Support (summary),-0.00020333985,0.04209485
