,Loss,Validation Loss
C1_School closing,-0.0018070089,0.14366329
C2_Workplace closing,-0.0009950462,0.007863961
C3_Cancel public events,-0.0014416802,0.023540232
C4_Restrictions on gatherings,-0.0013442328,0.013304424
C5_Close public transport,0.09406658,0.46011704
C6_Stay at home requirements,-0.0012985934,0.01115375
C7_Restrictions on internal movement,-0.0017409708,0.07168247
C8_International travel controls,-0.0016039818,0.016340774
E1_Income support,-0.0017876518,0.15428689
E2_Debt/contract relief,-0.0015938635,0.07169706
E3_Fiscal measures,-0.0014376509,0.03715904
E4_International support,-0.0012212307,0.05730299
H1_Public information campaigns,-0.0017114606,0.06352834
H2_Testing policy,-0.0013740242,0.19847628
H3_Contact tracing,-0.0017371554,0.09234119
H4_Emergency investment in healthcare,-0.0017189416,0.076620705
H5_Investment in vaccines,-0.0016419186,0.18129691
H6_Facial Coverings,-0.0013289654,0.14171919
H7_Vaccination policy,-0.0015511543,0.080526195
H8_Protection of elderly people,-0.0014342818,0.008508984
V1_Vaccine Prioritisation (summary),-0.001277419,0.14018112
V2_Vaccine Availability (summary),-0.0013438733,0.068428755
V3_Vaccine Financial Support (summary),-0.0015642003,0.054074742
