,Loss,Validation Loss
C1_School closing,0.04949089,0.6003605
C2_Workplace closing,-0.0006932509,0.05181773
C3_Cancel public events,-6.30297e-05,0.041686006
C4_Restrictions on gatherings,-0.00084203784,-0.003460003
C5_Close public transport,0.04949089,0.6003605
C6_Stay at home requirements,-0.000674205,-0.007211406
C7_Restrictions on internal movement,-0.0007303818,-0.0039949045
C8_International travel controls,0.04949089,0.6003605
E1_Income support,-0.00061626977,-0.0063383896
E2_Debt/contract relief,0.04949089,0.6003605
E3_Fiscal measures,-0.00090220966,0.012520954
E4_International support,-0.00014388782,0.009008639
H1_Public information campaigns,0.00041603413,0.02340512
H2_Testing policy,0.04949089,0.6003605
H3_Contact tracing,-0.00066501135,-0.007604124
H4_Emergency investment in healthcare,-0.00060614315,-0.0045082346
H5_Investment in vaccines,-0.00084496196,0.0030739717
H6_Facial Coverings,0.04949089,0.6003605
H7_Vaccination policy,-0.0008197393,0.010658283
H8_Protection of elderly people,0.04949089,0.6003605
V1_Vaccine Prioritisation (summary),-0.00071460847,0.00073259324
V2_Vaccine Availability (summary),-0.0006053975,-0.006868314
V3_Vaccine Financial Support (summary),-0.0006971252,0.060059518
