,Loss,Validation Loss
C1_School closing,-0.00094716786,0.021861857
C2_Workplace closing,-0.0006387951,-0.0033834781
C3_Cancel public events,0.09045146,0.038946986
C4_Restrictions on gatherings,-0.00081502204,0.012733491
C5_Close public transport,-0.00094429613,-0.0039635785
C6_Stay at home requirements,-0.0005645,0.002313979
C7_Restrictions on internal movement,-0.0006866688,-0.0048007593
C8_International travel controls,-0.00072838576,-0.00042613223
E1_Income support,-0.0008594694,-0.005737258
E2_Debt/contract relief,-0.00082694483,0.0012520328
E3_Fiscal measures,-0.00073142815,-0.0019177999
E4_International support,-0.0002666663,0.012674676
H1_Public information campaigns,-0.0009259051,0.0044945125
H2_Testing policy,-0.0010281745,-0.0037425887
H3_Contact tracing,-0.00049153925,-0.0048254896
H4_Emergency investment in healthcare,-0.00043587456,0.005156575
H5_Investment in vaccines,-0.0009641738,0.00081723
H6_Facial Coverings,-0.0007914149,-0.0025927015
H7_Vaccination policy,-0.00040792418,0.019530678
H8_Protection of elderly people,-0.0005167369,0.004377665
V1_Vaccine Prioritisation (summary),-0.0006770217,-0.0018166397
V2_Vaccine Availability (summary),-0.0004921253,-0.0042578485
V3_Vaccine Financial Support (summary),-0.00070421654,-0.005155215
