,Loss,Validation Loss
C1_School closing,-0.00022743712,0.08004756
C2_Workplace closing,-0.00033940538,0.056836206
C3_Cancel public events,-0.00033453037,0.06128953
C4_Restrictions on gatherings,0.00012420653,0.048794124
C5_Close public transport,0.08379675,0.11888121
C6_Stay at home requirements,4.3424312e-05,0.028976236
C7_Restrictions on internal movement,-4.8234826e-05,0.041805346
C8_International travel controls,-6.449036e-05,0.04796834
E1_Income support,-0.0004381393,0.08977565
E2_Debt/contract relief,-4.83247e-05,0.06899047
E3_Fiscal measures,-0.00011805259,0.040142935
E4_International support,-0.00036065746,0.047282595
H1_Public information campaigns,-0.0003600591,0.06338793
H2_Testing policy,-0.00043623336,0.057504404
H3_Contact tracing,-0.00018127868,0.08823843
H4_Emergency investment in healthcare,-0.0003620712,0.094187394
H5_Investment in vaccines,-0.00010448252,0.06574546
H6_Facial Coverings,0.08379675,0.11888121
H7_Vaccination policy,-0.00012974162,0.070680544
H8_Protection of elderly people,-0.00033343537,0.069320515
V1_Vaccine Prioritisation (summary),-7.586181e-05,0.03476287
V2_Vaccine Availability (summary),-0.0004079314,0.07540235
V3_Vaccine Financial Support (summary),-6.814487e-05,0.022810083
