Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
1/1/2021,0,S,S,S,L,U,S,S,S,U,U,L,S,S,L,S,U,U,S,S,S,S,S,L
2/1/2021,0,S,S,S,L,S,S,S,S,U,S,L,S,S,L,S,U,U,S,S,S,S,S,S
3/1/2021,0,S,S,S,L,S,S,S,S,S,S,L,S,S,S,S,U,U,S,S,S,S,S,S
4/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,U,S,S,S,S,S,S
5/1/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,U,U,U,S,S,L,L
6/1/2021,0,S,S,S,L,S,S,S,S,U,S,L,S,S,S,S,U,U,U,S,S,S,S,S
7/1/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,U,U,S,S,S,L,L
8/1/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,S,U,S,S,S,L,S
9/1/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,U,U,S,S,S,L,S
10/1/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,U,U,U,S,S,L,S
11/1/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,U,U,U,S,S,L,S
14/1/2021,0,U,S,S,L,S,L,S,S,U,U,L,S,S,L,S,U,S,U,S,S,S,L,S
22/1/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,S,U,S,S,S,L,S
24/1/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,L,U,S,S,S,L,S
6/2/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,L,U,S,S,S,L,S
8/2/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
9/2/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
12/2/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,S,U,S,S,S,L,S
14/2/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
16/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,L,U,L,S
17/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,L,L,U,L,L
18/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,L,S,U,L,L
19/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,L,U,U,U,U,L,L,U,L,L
20/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,L,U,U,S,U,L,L,U,L,S
21/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
22/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,S,U,U,S,U,L,L,U,L,S
23/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,S,U,U,U,U,L,L,U,L,L
24/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,L,L,U,L,L
25/2/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,L,S,U,U,U,L,L,U,L,L
26/2/2021,0,S,U,S,L,S,S,U,S,U,S,L,S,S,L,S,U,U,U,L,L,U,L,L
27/2/2021,0,S,S,S,L,S,S,S,S,U,S,L,S,S,S,S,U,S,U,L,S,U,L,S
28/2/2021,0,U,U,S,L,S,S,S,S,U,U,L,S,S,S,S,U,S,U,L,S,U,L,S
1/3/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,S,S,U,S,U,L,S,U,L,S
2/3/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,S,S,U,U,U,L,L,U,L,L
3/3/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,S,U,U,U,L,L,U,L,L
4/3/2021,0,S,U,S,L,S,S,U,S,U,U,L,S,S,S,S,U,U,U,L,L,U,L,S
5/3/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,U,U,L,S,U,L,S
6/3/2021,0,S,S,S,L,S,S,S,S,U,S,L,S,S,S,S,U,U,S,L,S,U,S,S
8/3/2021,0,U,S,S,S,S,S,U,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
9/3/2021,0,S,S,S,S,S,S,U,S,U,U,L,S,S,S,S,U,U,U,L,L,U,L,S
10/3/2021,0,U,U,S,L,S,S,U,S,U,U,L,S,S,L,U,U,U,U,L,L,U,L,L
11/3/2021,0,S,S,S,L,S,S,U,S,U,S,L,S,S,S,S,U,U,U,L,L,U,L,S
12/3/2021,0,S,S,S,L,S,S,S,S,U,S,L,S,S,S,S,U,U,U,L,S,U,L,S
13/3/2021,0,S,S,S,S,S,S,S,S,U,U,L,S,S,S,S,U,S,U,L,S,S,L,S
14/3/2021,0,S,S,S,S,S,S,S,S,U,U,L,S,S,S,S,U,S,U,S,S,S,L,S
15/3/2021,0,S,S,S,S,S,S,S,S,U,U,L,S,S,S,S,U,S,U,S,S,S,L,S
16/3/2021,0,S,S,S,S,S,S,U,S,U,U,L,S,S,L,U,U,U,U,S,L,U,L,L
17/3/2021,0,S,S,S,S,S,S,U,S,U,U,L,S,S,L,U,U,U,U,L,L,U,L,L
18/3/2021,0,S,S,S,L,S,S,S,S,U,U,L,S,S,S,S,U,U,U,L,L,U,L,S
19/3/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,U,U,S,S,S,L,S
20/3/2021,0,S,S,S,L,S,S,S,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
21/3/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
23/3/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,L
24/3/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,U,U,S,L,U,L,L
3/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,S,U,S,S,S,L,S
4/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
5/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,S,U,S,S,S,L,S
6/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,U,U,S,L,U,L,S
7/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,U,U,S,L,U,L,S
8/4/2021,0,U,S,S,L,S,S,U,S,U,S,L,S,S,S,S,U,U,U,L,S,U,L,L
22/4/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,S,L,S
23/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,S,U,U,U,U,S,S,S,L,S
24/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
25/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
26/4/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
27/4/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
28/4/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
30/4/2021,0,U,S,S,L,S,S,S,S,U,U,L,S,S,L,S,U,U,U,S,S,S,L,S
1/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
2/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
3/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,S,U,S,S,S,L,S
4/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
5/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
6/5/2021,0,U,S,S,L,S,S,U,S,U,S,L,S,S,L,S,U,U,U,L,L,U,L,S
7/5/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,U,U,S,S,S,L,S
8/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
9/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,S,U,S,S,S,L,S
10/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,S,U,S,L,S,L,S
11/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
12/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
13/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,S
14/5/2021,0,U,S,S,L,S,S,U,S,U,S,L,S,S,L,U,U,U,U,S,L,S,L,S
15/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
16/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
17/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
18/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,L,U,L,S
19/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,S,U,S,L,U,L,S
27/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,L,L,U,L,L
28/5/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,S,S,S,S,S,L,S
29/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,S,U,S,S,U,L,S
30/5/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,S,S,L,S
31/5/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,L,S,L,S
4/6/2021,0,S,S,S,L,S,S,S,S,U,U,L,S,S,S,S,U,S,U,S,S,S,L,S
5/6/2021,0,S,S,S,L,S,S,S,S,U,U,L,S,S,S,U,U,S,U,S,S,S,L,S
6/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,S,U,U,S,U,S,S,S,L,S
7/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,L,S,L,S
8/6/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,L,L,U,L,L
9/6/2021,0,U,U,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,L,L,U,L,S
10/6/2021,0,S,S,S,S,S,S,S,S,U,U,L,S,S,S,S,U,U,U,S,L,S,L,S
11/6/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,U,S,S,S,S,L,S
12/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,S,S,L,S
13/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,L,S,L,S
14/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,S,U,S,L,U,L,L
15/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,L
16/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,L
17/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,L
18/6/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,L,U,L,L
16/7/2021,0,U,S,S,L,S,S,U,S,U,U,L,U,S,L,U,U,U,U,S,S,S,L,L
17/7/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,L,U,U,S,U,S,S,S,L,S
18/7/2021,0,U,S,S,L,S,S,U,S,U,U,L,S,S,S,U,U,L,U,S,S,S,L,S
19/7/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,S,U,S,S,S,L,S
20/7/2021,0,U,S,S,L,S,S,S,S,S,S,L,S,S,S,U,U,S,U,S,S,S,L,S
21/7/2021,0,U,S,S,L,S,S,U,S,U,S,L,S,S,L,U,U,U,U,U,S,S,L,S
22/7/2021,0,U,S,S,S,S,S,S,S,S,S,L,S,S,S,S,U,S,S,S,S,S,L,S
