Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
8/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
11/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
12/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
13/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
14/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
15/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
17/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
18/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
19/2/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S
20/2/2021,0,S,S,S,S,S,S,S,S,S,U,L,S,S,S,L,S,S,S,S,S,S,S,S
21/2/2021,0,S,S,S,S,S,S,S,S,S,U,L,S,S,S,L,S,S,S,S,S,S,S,S
22/2/2021,0,S,S,S,S,S,S,S,S,S,U,L,S,S,S,L,S,S,S,L,S,S,S,S
23/2/2021,0,S,S,S,S,S,S,S,S,S,U,L,S,S,S,L,S,S,S,S,S,S,S,S
24/2/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
25/2/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
26/2/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,L,S,S,S,L,S,S,S,S
27/2/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,L,S,S,S,S
28/2/2021,0,S,S,S,S,U,S,S,S,S,U,S,S,S,S,L,S,S,S,L,S,S,S,S
1/3/2021,0,S,S,S,S,U,S,S,S,S,U,S,S,S,S,L,S,S,S,L,S,S,S,S
2/3/2021,0,S,S,S,S,U,S,S,S,S,U,S,S,S,S,L,S,S,S,L,S,S,S,S
3/3/2021,0,S,S,S,S,U,S,S,S,S,U,S,S,S,S,L,S,S,S,L,S,S,S,S
4/3/2021,0,S,S,S,S,U,S,S,S,S,U,S,S,S,S,L,S,S,S,L,S,S,S,S
5/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,S,L,S,S,S,L,S,S,S,U
6/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,S,S,L,S,S,S,U
7/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,S,S,L,S,L,U,U
8/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
9/3/2021,0,U,S,U,S,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
10/3/2021,0,U,S,U,L,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
11/3/2021,0,U,S,U,L,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
12/3/2021,0,U,S,U,L,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
13/3/2021,0,U,S,U,L,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
14/3/2021,0,U,S,U,L,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
15/3/2021,0,U,S,U,S,U,L,U,U,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
16/3/2021,0,U,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
17/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,L,S,L,S,L,U,U
18/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,S,S,L,S,L,U,U
19/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,S,S,L,S,S,U,U
20/3/2021,0,S,S,U,S,U,L,U,S,S,U,L,S,S,L,L,S,S,S,L,S,S,S,U
21/3/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,L,L,S,S,S,L,S,S,S,S
22/3/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,L,L,S,S,S,L,S,S,S,S
23/3/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,L,L,S,S,S,L,S,S,S,S
24/3/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,L,S,S,S,S
25/3/2021,0,S,S,S,S,S,S,S,S,U,U,S,S,S,L,S,S,S,S,L,S,S,U,S
26/3/2021,0,S,S,U,S,S,S,S,S,U,U,S,S,S,L,S,S,S,S,L,S,S,U,S
27/3/2021,0,S,S,U,S,U,S,S,S,U,U,S,S,S,L,S,S,S,S,L,S,S,U,S
28/3/2021,0,S,S,U,L,U,S,S,S,U,U,S,S,S,L,S,S,S,S,L,S,S,U,S
29/3/2021,0,L,S,U,L,S,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
30/3/2021,0,L,S,U,L,S,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
31/3/2021,0,L,S,U,L,S,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
1/4/2021,0,L,S,U,L,S,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
2/4/2021,0,L,S,U,L,S,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
3/4/2021,0,L,S,U,L,U,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
4/4/2021,0,S,S,U,L,U,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
5/4/2021,0,L,S,U,L,S,U,S,S,U,U,S,L,S,L,S,S,S,S,S,S,S,U,S
6/4/2021,0,S,S,U,S,S,S,S,S,U,U,S,S,S,L,S,S,S,S,S,S,S,U,S
7/4/2021,0,S,S,U,S,U,S,S,S,U,U,S,S,S,L,S,S,S,S,S,S,S,U,S
8/4/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,L,S,S,S,S,S,S,S,S,S
9/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,L,S,S,S,S,S,S,S,S,S
10/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,L,S,S,S,S,S,S,S,U,S
11/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,L,S,S,S,S,S,S,S,U,S
12/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
13/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
14/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
15/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
16/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
17/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
18/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
19/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,L,S,S,S,S,S,S,S,S,S,U,S
20/4/2021,0,S,S,S,S,S,S,S,S,U,U,S,L,S,S,S,S,S,S,S,S,S,U,S
21/4/2021,0,S,S,S,S,S,S,S,S,U,U,S,L,S,S,S,S,S,S,S,S,S,U,S
22/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
23/4/2021,0,S,S,S,S,S,S,S,S,U,U,S,L,S,S,S,S,S,S,S,S,S,U,S
24/4/2021,0,S,S,S,S,S,S,S,S,U,U,S,S,S,L,S,S,S,S,S,S,S,U,S
25/4/2021,0,S,S,S,S,S,S,S,S,U,U,S,L,S,S,S,S,S,S,S,S,S,U,S
26/4/2021,0,S,S,S,S,S,S,S,S,U,U,S,S,S,L,S,S,S,S,S,S,S,U,S
27/4/2021,0,S,S,S,S,S,U,S,S,U,U,S,S,S,S,S,S,S,S,S,S,S,U,S
28/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
29/4/2021,0,S,S,S,S,S,U,S,S,U,U,S,S,S,S,S,S,S,S,S,S,S,U,S
30/4/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
1/5/2021,0,S,S,U,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
2/5/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
3/5/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,U,S
4/5/2021,0,S,S,U,S,U,S,S,S,S,U,S,S,S,S,S,S,S,S,L,S,S,U,S
21/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
22/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
23/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
24/7/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
25/7/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
26/7/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
27/7/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
28/7/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
29/7/2021,0,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S
