Date,Decreased?,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),% of recommended policies adopted
14/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
15/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
16/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
17/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
18/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
19/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
20/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
21/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
22/6/2020,1,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
23/6/2020,0,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
24/6/2020,0,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
25/6/2020,0,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
26/6/2020,0,,UMatched,,U,,U,U,,,,,,,,,,,,,,,,,0.3333333333333333
30/6/2020,1,,UMatched,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
1/7/2020,1,,UMatched,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
2/7/2020,1,,UMatched,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
3/7/2020,1,,UMatched,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
4/7/2020,1,,UMatched,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
24/8/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
25/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
26/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
27/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
28/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
29/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
30/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
31/8/2020,1,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
1/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
2/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
3/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,1.0
4/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
5/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,1.0
6/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,1.0
7/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,1.0
9/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,1.0
10/9/2020,0,,L,,,,,,,,,UMatched,,,,,,,,,,,,,0.5
11/9/2020,0,,L,,,,U,,,,,UMatched,,,,,,,,,,,,,0.5
12/9/2020,0,,L,,,,U,,,,,UMatched,,,,,,,,,,,,,0.5
15/9/2020,0,,UMatched,,,,U,,,,,,,,,,,,,,,,,,0.3333333333333333
19/9/2020,1,,UMatched,,,L,U,,U,,,,,,,,,,,,,,,,0.25
20/9/2020,1,,UMatched,,,L,U,,UMatched,,,,,,,,,,,,,,,,0.5
21/9/2020,1,,UMatched,,,L,U,,UMatched,,,,,,,,,,,,,,,,0.5
22/9/2020,1,,UMatched,,,L,U,,U,,,,,,,,,,,,,,,,0.25
23/9/2020,1,,UMatched,,,L,U,,U,,,,,,,,,,,,,,,,0.25
24/9/2020,1,,UMatched,,,L,U,,U,,,,,,,,,,,,,,,,0.25
25/9/2020,1,,UMatched,,,L,U,,U,,,,,,,,,,,,,,,,0.3333333333333333
26/9/2020,0,,UMatched,,,L,L,,U,,,,,,,,,,,,,,,,0.25
27/9/2020,0,,UMatched,,,L,LMatched,,U,,,,,,,,,,,,,,,,0.4
28/9/2020,1,,UMatched,,,L,L,,U,,,,,,,,,,,,,,,,0.25
29/9/2020,1,,UMatched,,,L,L,,U,,,,,,,,,,,,,,,,0.3333333333333333
9/10/2020,0,,L,,,L,L,,U,LMatched,L,,,,,,,,,,,,,,0.25
10/10/2020,0,,L,,,L,L,,U,LMatched,L,,,,,,,,,,,,,,0.25
11/10/2020,0,,L,,,L,L,,U,LMatched,L,,,,,,,,,,,,,,0.25
12/10/2020,1,,L,,,L,L,,U,LMatched,L,,,,,,,,,,,,,,0.25
13/10/2020,1,,L,,,L,L,,U,LMatched,L,,,,,,,,,,,,,,0.25
