Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
16/6/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
22/6/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
30/6/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
1/7/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
2/7/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
3/7/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
15/7/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
16/7/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
18/7/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
19/7/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
24/7/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
28/7/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
30/7/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
1/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
7/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
9/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
10/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
11/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
17/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
20/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
21/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
22/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
23/8/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
26/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
28/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
29/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
30/8/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
1/9/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
5/9/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
11/9/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
12/9/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
13/9/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
14/9/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
20/9/2020,0,S,U,S,S,S,S,S,U,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
21/9/2020,0,S,U,S,S,S,S,S,U,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
22/9/2020,0,S,U,S,S,S,S,U,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
23/9/2020,0,S,U,S,S,S,S,U,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
24/9/2020,0,S,U,S,S,S,S,U,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
25/9/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
2/10/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
4/10/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
5/10/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S
6/10/2020,0,S,U,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
7/10/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
13/10/2020,0,S,U,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
14/10/2020,0,S,U,S,U,S,S,U,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
15/10/2020,0,S,U,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
16/10/2020,0,S,U,S,U,S,S,U,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
17/10/2020,0,S,U,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
31/10/2020,0,S,U,S,S,S,S,U,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
2/11/2020,0,S,U,S,S,S,S,U,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
5/11/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
6/11/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
7/11/2020,0,S,S,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
8/11/2020,0,S,U,S,S,S,S,U,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
9/11/2020,0,S,U,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
18/11/2020,0,S,U,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
19/11/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,L,S,S,S,S
20/11/2020,0,S,S,S,S,S,S,S,S,L,S,U,S,S,S,S,S,S,S,L,S,S,S,S
