,% of recommended policies adopted,Decrease rate,count
0,0.05555555555555555,1.0,1
1,0.058823529411764705,1.0,1
2,0.0625,1.0,1
3,0.06666666666666667,0.5714285714285714,7
4,0.07142857142857142,0.5,6
5,0.07692307692307693,1.0,7
6,0.08333333333333333,1.0,8
7,0.09090909090909091,1.0,14
8,0.1,1.0,3
9,0.10526315789473684,1.0,1
10,0.1111111111111111,0.3333333333333333,3
11,0.11764705882352941,0.7272727272727273,11
12,0.125,0.5833333333333334,24
13,0.13333333333333333,0.7777777777777778,9
14,0.14285714285714285,0.72,25
15,0.15384615384615385,0.25,4
16,0.16666666666666666,0.875,16
17,0.17647058823529413,1.0,2
18,0.18181818181818182,1.0,4
19,0.2,0.75,8
20,0.25,0.8,15
21,0.3333333333333333,0.6923076923076923,13
22,0.4,1.0,5
23,0.5,0.6666666666666666,6
24,1.0,0.7777777777777778,9
