Date,Decreased?,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),% of recommended policies adopted
15/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.14285714285714285
16/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
17/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.14285714285714285
18/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
19/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
20/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
21/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.14285714285714285
22/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.14285714285714285
23/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.14285714285714285
24/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
25/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
26/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
27/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.25
28/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
29/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
30/6/2020,1,,UMatched,,,,,,,,,,,,,,,U,,,,,,,0.16666666666666666
1/7/2020,1,,UMatched,,,,,,,,,,,,,,,,L,,,,,,0.25
2/7/2020,1,,UMatched,,,,,,,,,,,,,,,,L,,,,,,0.25
3/7/2020,1,,UMatched,,,,,,,,,,,,,,,,L,,,,,,0.25
4/7/2020,1,,UMatched,,,,,,,,,,,,,,,,L,,,,,,0.25
5/7/2020,1,,UMatched,,,,,,,,,,,,,,,,L,,,,,,0.2
6/7/2020,1,,UMatched,,,,,,,,,,,,,,,,L,,,,,,0.16666666666666666
7/7/2020,1,,UMatched,,,,,,,,,,,,,,,L,L,,,,,,0.25
8/7/2020,1,,UMatched,,,,,,,,,,,,,,,L,L,,,,,,0.16666666666666666
9/7/2020,1,,UMatched,,,,,,,,,,,,,,,L,L,,,,,,0.16666666666666666
10/7/2020,1,,UMatched,,,,,,,,,,,,,,,L,L,,,,,,0.14285714285714285
11/7/2020,1,,UMatched,,,,,,,,,,,,,,,L,L,,,,,,0.14285714285714285
29/7/2020,0,,,,,,U,,,,,,L,,,,,LMatched,,,,,,,0.125
31/7/2020,0,,,,,,U,,,,,,L,,,,,LMatched,,,,,,,0.125
2/8/2020,0,,,,,,U,,,,,,L,,,,,LMatched,,,,,,,0.125
12/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,U,,,,,,,0.125
13/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,U,,,,,,,0.125
14/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,U,,,,,,,0.125
15/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
16/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
17/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
18/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
19/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.14285714285714285
20/9/2020,1,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.14285714285714285
21/9/2020,0,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
22/9/2020,0,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
23/9/2020,0,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.125
24/9/2020,0,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.14285714285714285
25/9/2020,0,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.14285714285714285
26/9/2020,0,,,,UMatched,,U,,,,,,,,,,U,,,,,,,,0.14285714285714285
27/9/2020,0,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.14285714285714285
28/9/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.14285714285714285
29/9/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.14285714285714285
30/9/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.14285714285714285
1/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.16666666666666666
2/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.2
3/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.25
4/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.25
5/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.2
6/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.25
7/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.25
8/10/2020,1,,,,UMatched,,U,,,,,,,,,,,,,,,,,,0.25
26/10/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.058823529411764705
27/10/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.06666666666666667
28/10/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.07142857142857142
29/10/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.07692307692307693
30/10/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.08333333333333333
31/10/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.07692307692307693
1/11/2020,1,,,,,,LMatched,,,,,,,,,,,,,,,,,,0.08333333333333333
13/11/2020,1,,,,,LMatched,U,,,,,,,,,,,,,,,,,,0.05555555555555555
14/11/2020,1,,,,,LMatched,U,,,,,,,,,,,,,,,,,,0.07692307692307693
15/11/2020,1,,,,,LMatched,U,,,,,,,,,,,,,,,,,,0.08333333333333333
16/11/2020,1,,L,,L,LMatched,U,,,,,,,,,,,,,,,,,,0.09090909090909091
17/11/2020,1,,L,,L,LMatched,U,,,,,,,,,,,,,,,,,,0.09090909090909091
18/11/2020,1,,L,,L,LMatched,U,,,,,,,,,,,,,,,,,,0.08333333333333333
19/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.15384615384615385
20/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.16666666666666666
21/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.15384615384615385
22/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.15384615384615385
23/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
24/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
25/11/2020,0,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
26/11/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
27/11/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
28/11/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
29/11/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.14285714285714285
30/11/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,,,,0.15384615384615385
1/12/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,L,,,0.125
2/12/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,L,,,0.14285714285714285
3/12/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,L,,,0.13333333333333333
4/12/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,L,,,0.13333333333333333
5/12/2020,1,,L,,L,LMatched,LMatched,,,,,,,,,,,,,,,L,,,0.13333333333333333
6/12/2020,1,,L,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.06666666666666667
7/12/2020,1,,,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.06666666666666667
8/12/2020,1,,UMatched,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.125
9/12/2020,1,,UMatched,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.125
10/12/2020,1,,UMatched,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.13333333333333333
11/12/2020,1,,UMatched,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.125
12/12/2020,1,,UMatched,,L,,LMatched,,,,,,,,,,,,,,,L,,,0.11764705882352941
13/12/2020,1,,UMatched,,,,,,,,,,,,,,,,,,,L,,,0.07142857142857142
14/12/2020,1,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.10526315789473684
15/12/2020,1,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.11764705882352941
16/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.125
17/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.125
18/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.125
19/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.1111111111111111
20/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.125
21/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.11764705882352941
22/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.1111111111111111
23/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.11764705882352941
24/12/2020,0,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.11764705882352941
25/12/2020,1,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.11764705882352941
26/12/2020,1,,UMatched,,,,,,,,,,,,,,,,,L,,L,LMatched,L,0.11764705882352941
27/12/2020,1,,UMatched,,,,,,,,,LMatched,,,,,,,,L,,L,LMatched,L,0.17647058823529413
28/12/2020,1,,UMatched,,,,,,,,,LMatched,,,,,,,,L,,,LMatched,L,0.17647058823529413
29/12/2020,1,,,,,,,,,,,LMatched,,,,,,,,L,,,LMatched,L,0.11764705882352941
30/12/2020,1,,,,,,,,,,,LMatched,,,,,,,,L,,,LMatched,L,0.11764705882352941
31/12/2020,1,,,,,,,,,,,LMatched,,,,,,,,L,,,LMatched,L,0.11764705882352941
1/1/2021,1,,,,,,,,,,,LMatched,,,,,,,,L,,,LMatched,L,0.125
