Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
1/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
2/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
3/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
4/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
5/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
6/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
7/1/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,L,L
20/2/2021,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
21/2/2021,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
22/2/2021,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
13/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
14/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
17/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
18/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
19/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
20/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
21/3/2021,0,S,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
22/3/2021,0,L,S,S,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
23/3/2021,0,L,U,U,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
24/3/2021,0,L,U,U,S,S,U,S,S,S,S,L,S,S,S,S,S,S,S,L,S,L,L,S
25/3/2021,0,L,U,U,S,S,U,S,S,S,S,L,S,S,S,S,L,L,S,L,S,L,L,S
26/3/2021,0,L,U,U,S,S,U,S,S,S,S,L,S,S,S,S,L,L,S,S,S,L,L,S
27/3/2021,0,L,U,U,S,S,U,S,S,S,S,L,S,S,S,S,L,L,S,S,S,L,L,S
28/3/2021,0,L,U,U,S,S,U,S,S,S,S,L,S,S,S,S,L,L,S,S,S,L,L,S
31/3/2021,0,L,U,U,S,S,S,U,S,S,S,L,S,S,S,S,L,L,S,L,S,L,L,S
1/4/2021,0,L,U,U,S,S,S,U,S,S,S,U,S,S,S,S,L,L,S,L,S,L,L,S
2/4/2021,0,L,U,U,S,S,S,U,S,S,S,U,S,S,S,S,L,L,S,L,S,L,L,S
3/4/2021,0,L,U,U,S,S,S,U,S,S,S,U,S,S,S,S,L,L,S,L,S,L,L,S
4/4/2021,0,L,U,U,S,S,S,U,S,S,S,U,S,S,S,S,L,L,S,L,S,L,L,S
5/4/2021,0,L,U,U,S,S,S,U,S,S,S,U,S,S,S,S,L,L,S,L,S,S,S,S
6/4/2021,0,L,U,U,S,S,S,U,S,S,S,U,S,S,S,S,L,L,S,L,S,S,S,S
