Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
10/6/2020,0,S,U,S,S,L,L,S,S,S,S,L,S,S,S,U,S,S,S,U,S,S,S,S
12/6/2020,0,S,U,S,S,L,L,S,S,S,S,L,S,S,S,U,S,S,S,U,S,S,S,S
15/6/2020,0,S,U,S,U,L,L,S,S,S,S,L,S,S,S,U,S,S,S,U,S,S,S,S
26/7/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,S,S,S,S,U,S,U
29/7/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
4/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
6/8/2020,0,S,U,S,U,S,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,U,S,U
7/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
8/8/2020,0,S,U,S,U,S,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,U
10/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
14/8/2020,0,S,U,S,U,S,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,U,S,U
16/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,U
20/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
22/8/2020,0,S,U,S,U,S,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,U,S,U
23/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
24/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
25/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
26/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
28/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
29/8/2020,0,S,U,S,U,L,L,L,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,U
3/9/2020,0,S,U,S,U,S,L,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
9/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
10/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
11/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
12/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
13/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
14/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
15/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,L,S,S,S,U,S,U
28/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,S,S,S,S,U,S,U
30/9/2020,0,S,U,S,U,S,S,L,S,S,S,L,S,S,S,U,S,S,S,S,S,U,S,U
